subject,calibration_run,condition,balanced_accuracy,fists_recall,feet_recall,test_trial_count,test_offset_before,test_offset_after_B,test_alignment_before,test_alignment_after_C
40,6,B,0.3973214285714286,0.35714285714285715,0.4375,30,9.41468750587487,2.7500376258402053,-0.0473447523911664,
40,6,C,0.5535714285714286,0.35714285714285715,0.75,30,9.41468750587487,,-0.0473447523911664,0.00714986508714023
40,10,A,0.36666666666666664,0.13333333333333333,0.6,30,9.75794713771094,,-0.0627339878094919,
40,10,B,0.3666666666666667,0.4666666666666667,0.26666666666666666,30,9.75794713771094,2.251380216294636,-0.0627339878094919,
40,10,C,0.6666666666666667,0.8,0.5333333333333333,30,9.75794713771094,,-0.0627339878094919,0.0736942514158341
40,14,A,0.36666666666666664,0.06666666666666667,0.6666666666666666,30,9.907178920771747,,-0.034928000507280524,
40,14,B,0.30000000000000004,0.2,0.4,30,9.907178920771747,2.5682435037187554,-0.034928000507280524,
40,14,C,0.5,0.7333333333333333,0.26666666666666666,30,9.907178920771747,,-0.034928000507280524,0.08258908571762459
41,6,A,0.7857142857142857,0.7142857142857143,0.8571428571428571,28,7.365700567083637,,0.22381345498539254,
41,6,B,0.7857142857142857,0.7142857142857143,0.8571428571428571,28,7.365700567083637,2.571230462753986,0.22381345498539254,
41,6,C,0.39285714285714285,0.42857142857142855,0.35714285714285715,28,7.365700567083637,,0.22381345498539254,0.008543182609796047
41,10,A,0.6428571428571429,0.6428571428571429,0.6428571428571429,28,7.295118470254385,,0.17952703709583206,
41,10,B,0.6428571428571429,0.6428571428571429,0.6428571428571429,28,7.295118470254385,3.0412878343753413,0.17952703709583206,
41,10,C,0.5357142857142857,0.5714285714285714,0.5,28,7.295118470254385,,0.17952703709583206,0.07194333921024115
41,14,A,0.6428571428571429,0.6428571428571429,0.6428571428571429,28,7.350226128757974,,0.1382852508043738,
41,14,B,0.6785714285714286,0.7142857142857143,0.6428571428571429,28,7.350226128757974,3.5351684644906913,0.1382852508043738,
41,14,C,0.6071428571428571,0.7857142857142857,0.42857142857142855,28,7.350226128757974,,0.1382852508043738,0.08459828716912078
42,6,A,0.8616071428571428,0.9375,0.7857142857142857,30,9.883824189315513,,0.45701953239917287,
42,6,B,0.8973214285714286,0.9375,0.8571428571428571,30,9.883824189315513,2.546990138298752,0.45701953239917287,
42,6,C,0.8214285714285714,1.0,0.6428571428571429,30,9.883824189315513,,0.45701953239917287,0.8147158448268071
42,10,A,0.8660714285714286,0.875,0.8571428571428571,30,9.477032619885819,,0.4461663682148269,
42,10,B,0.8348214285714286,0.8125,0.8571428571428571,30,9.477032619885819,2.366491163044172,0.4461663682148269,
42,10,C,0.875,0.75,1.0,30,9.477032619885819,,0.4461663682148269,0.7957489339372675
42,14,A,0.8616071428571428,0.9375,0.7857142857142857,30,9.583938150201035,,0.4599575565034511,
42,14,B,0.8973214285714286,0.9375,0.8571428571428571,30,9.583938150201035,3.0497054457771084,0.4599575565034511,
42,14,C,0.9375,0.875,1.0,30,9.583938150201035,,0.4599575565034511,0.7417902351824996
43,6,A,0.6666666666666666,0.7333333333333333,0.6,30,7.1539472296022755,,0.2038742943844231,
43,6,B,0.6666666666666666,0.7333333333333333,0.6,30,7.1539472296022755,5.399732160909956,0.2038742943844231,
43,6,C,0.4666666666666667,0.4666666666666667,0.4666666666666667,30,7.1539472296022755,,0.2038742943844231,0.20937030386652153
43,10,A,0.6666666666666667,0.8,0.5333333333333333,30,7.0248204618112595,,0.14552150914031312,
43,10,B,0.7333333333333333,0.7333333333333333,0.7333333333333333,30,7.0248204618112595,3.0725264453151877,0.14552150914031312,
43,10,C,0.6000000000000001,0.4,0.8,30,7.0248204618112595,,0.14552150914031312,0.18075370028120297
43,14,A,0.7276785714285714,0.8125,0.6428571428571429,30,7.264642180943177,,0.1999767438124574,
43,14,B,0.7633928571428572,0.8125,0.7142857142857143,30,7.264642180943177,3.2820322020178616,0.1999767438124574,
43,14,C,0.5044642857142857,0.4375,0.5714285714285714,30,7.264642180943177,,0.1999767438124574,0.2511626332965382
44,6,A,0.6666666666666667,0.4666666666666667,0.8666666666666667,30,8.161950192088653,,0.27672630857209946,
44,6,B,0.6666666666666667,0.4666666666666667,0.8666666666666667,30,8.161950192088653,3.1621533148263032,0.27672630857209946,
44,6,C,0.6333333333333333,0.8,0.4666666666666667,30,8.161950192088653,,0.27672630857209946,0.5392880104099905
44,10,A,0.7333333333333334,0.6666666666666666,0.8,30,7.97730061892449,,0.30429014613879946,
44,10,B,0.7666666666666666,0.9333333333333333,0.6,30,7.97730061892449,2.934261163647323,0.30429014613879946,
44,10,C,0.7666666666666666,0.6,0.9333333333333333,30,7.97730061892449,,0.30429014613879946,0.49606796242858237
44,14,A,0.7455357142857143,0.5625,0.9285714285714286,30,7.7743893370779995,,0.32705402996629696,
44,14,B,0.7008928571428572,0.6875,0.7142857142857143,30,7.7743893370779995,2.33331579564209,0.32705402996629696,
44,14,C,0.5803571428571428,0.375,0.7857142857142857,30,7.7743893370779995,,0.32705402996629696,0.6442653380946327
45,6,A,0.7678571428571428,0.75,0.7857142857142857,30,8.553009439536233,,0.08368387109986825,
45,6,B,0.7633928571428572,0.8125,0.7142857142857143,30,8.553009439536233,4.016422572458359,0.08368387109986825,
45,6,C,0.6205357142857143,0.8125,0.42857142857142855,30,8.553009439536233,,0.08368387109986825,0.1440512543089975
45,10,A,0.6741071428571428,0.5625,0.7857142857142857,30,8.475663304331949,,0.13481163858696882,
45,10,B,0.6339285714285714,0.625,0.6428571428571429,30,8.475663304331949,3.7662039311235547,0.13481163858696882,
45,10,C,0.5,0.0,1.0,30,8.475663304331949,,0.13481163858696882,0.2046525716767793
45,14,A,0.6473214285714286,0.4375,0.8571428571428571,30,8.515503061437292,,0.11534791200883093,
45,14,B,0.5848214285714286,0.3125,0.8571428571428571,30,8.515503061437292,3.5951824742745484,0.11534791200883093,
45,14,C,0.5401785714285714,0.9375,0.14285714285714285,30,8.515503061437292,,0.11534791200883093,0.1202661099309841
46,6,A,0.65625,0.5,0.8125,30,6.766908644323752,,0.16306709255542828,
46,6,B,0.5669642857142857,0.5714285714285714,0.5625,30,6.766908644323752,2.029362169890046,0.16306709255542828,
