subject,study_role,channel,trial_count,peak_frequency_median_hz,peak_distance_from_12_5_hz,three_fold_peak_span_hz,peak_reliability,individualized_median_percent,fixed_narrow_median_percent,fixed_broad_median_percent,individualized_minus_fixed_narrow_median_percent,individualized_minus_fixed_broad_median_percent,individualized_median_db,fixed_narrow_median_db,fixed_broad_median_db,individualized_minus_fixed_narrow_median_db,individualized_qc_excluded_median_percent,fixed_narrow_qc_excluded_median_percent,qc_paired_difference_percent,individualized_negative_trial_fraction,fixed_narrow_negative_trial_fraction,low_individualized_reference_power_candidate_count,individualized_run_6_median_percent,individualized_run_10_median_percent,individualized_run_14_median_percent,fixed_narrow_run_6_median_percent,fixed_narrow_run_10_median_percent,fixed_narrow_run_14_median_percent,fixed_broad_run_6_median_percent,fixed_broad_run_10_median_percent,fixed_broad_run_14_median_percent,individualized_negative_run_count,fixed_narrow_negative_run_count,fixed_broad_negative_run_count,individualized_run_range_percentage_points,fixed_narrow_run_range_percentage_points,fixed_broad_run_range_percentage_points,subject_is_group_observational_unit
17,held_out_method_evaluation,C3,24,11.25,1.25,0.25,stable,-20.48693842890637,-24.0637546304473,-17.91493880720865,3.576816201540929,-2.571999621697721,-0.9960423501790703,-1.1957238494365319,-0.8573588620908865,0.1996814992574616,-20.48693842890637,-24.0637546304473,3.576816201540929,0.7916666666666666,0.6666666666666666,0,-26.34021929125476,-18.074439367864677,-20.48693842890637,-9.756637358921852,-25.6385474910688,-25.05476020414929,-22.33998767897765,-17.91493880720865,-17.419254444220517,3,3,3,8.265779923390081,15.881910132146947,4.920733234757133,True
17,held_out_method_evaluation,C4,24,11.25,1.25,0.25,stable,-26.352479450979715,-30.732830057741275,-24.1311440375573,4.38035060676156,-2.221335413422416,-1.329630875857631,-1.5948125683966001,-1.199712041676626,0.26518169253896917,-26.352479450979715,-30.732830057741275,4.38035060676156,0.7083333333333334,0.8333333333333334,0,-15.293265670471746,-24.840754631351956,-40.819864502156975,-33.16067313572925,-6.714515912035799,-50.32437857173558,-4.082205209192683,-12.727098716885859,-35.41849829769418,3,3,3,25.526598831685227,43.60986265969978,31.336293088501495,True
19,held_out_method_evaluation,C3,22,9.25,3.25,1.25,unstable,-19.073543908738124,-14.494905253538132,-20.89212131628474,-4.578638655199992,1.8185774075466163,-0.9194140891428668,-0.6809163433497756,-1.0195509401053662,-0.23849774579309124,-19.073543908738124,-14.494905253538132,-4.578638655199992,0.6363636363636364,0.5454545454545454,0,-18.092236313999546,7.941002420113726,-49.95374765908743,7.078682478054818,-25.272065272241235,-30.045849206113864,-14.339566921993502,-7.8554257559596055,-47.72895203101878,2,2,3,57.89475007920116,37.12453168416868,39.87352627505917,True
19,held_out_method_evaluation,C4,22,9.25,3.25,1.25,unstable,-25.645312013634243,-34.9129295474177,-29.79848845265542,9.267617533783454,4.153176439021177,-1.288068824450434,-1.8652633390276403,-1.5404060133765913,0.5771945145772064,-25.645312013634243,-34.9129295474177,9.267617533783454,0.7272727272727273,0.7272727272727273,0,-27.35797301924186,-52.193858723454134,-11.732781522179103,-42.85667164580559,-52.846917797545366,-10.433706973170144,-34.034948839398844,-44.435840760285416,-16.67265561301783,3,3,3,40.46107720127503,42.41321082437522,27.763185147267585,True
21,held_out_method_evaluation,C3,24,12.25,0.25,1.0,moderate,-7.759295849277171,-12.259718577176661,5.588561250368569,4.50042272789949,-13.34785709964574,-0.35091712275964004,-0.5686836313767673,0.22326114528065588,0.2177665086171272,-7.759295849277171,-12.259718577176661,4.50042272789949,0.5416666666666666,0.5416666666666666,0,-11.004677235824374,-5.051956391940706,-3.6638134612367734,-15.21950317833304,-12.92355805756922,-4.88811685140222,2.5186975489847914,-11.785650371482548,42.60694937283765,3,3,1,7.340863774587601,10.33138632693082,54.392599744320194,True
21,held_out_method_evaluation,C4,24,12.25,0.25,1.0,moderate,-24.658845621715002,-26.90176377114203,-7.702384540333091,2.2429181494270267,-16.95646108138191,-1.2537249251080258,-1.4081361051002905,-0.3540482952158117,0.15441117999226472,-24.658845621715002,-26.90176377114203,2.2429181494270267,0.625,0.6666666666666666,0,-55.61238226109815,-7.60387814164045,9.16700249038249,-57.58870666362772,-11.4964159537261,5.273918579158291,-25.29272096295659,4.521934528593899,-2.359962541756925,2,2,2,64.77938475148063,62.86262524278601,29.81465549155049,True
23,held_out_method_evaluation,C3,23,10.0,2.5,0.5,stable,-38.667161113135954,-35.50477461258217,-33.72745901694836,-3.1623865005537866,-4.939702096187595,-2.1230693284445374,-1.9047243520426902,-1.7866637762435271,-0.21834497640184725,-44.987246547838126,-41.87974041773584,-3.107506130102287,0.6521739130434783,0.6521739130434783,0,-9.245926782331741,-41.827203830487036,-65.87712817814887,-41.87974041773584,2.1816062738991215,-61.23597374445876,-13.617962850975358,-38.508308556730846,-65.60232671804157,3,2,3,56.63120139581712,63.41758001835788,51.98436386706621,True
23,held_out_method_evaluation,C4,23,10.0,2.5,0.5,stable,-49.51145517679571,-37.293666120911354,-44.99378086019017,-12.217789055884353,-4.517674316605536,-2.9680714632491094,-2.026885894753934,-2.5958820531651154,-0.9411855684951753,-57.34018383464961,-39.596817382654216,-17.743366451995392,0.7391304347826086,0.7391304347826086,0,4.129539423854252,-45.45344962022503,-60.59213287921315,-39.596817382654216,-34.100125153437894,-64.54329035511913,-0.2956872461818468,-41.282478007059346,-60.28595343138579,2,3,3,64.72167230306741,30.443165201681232,59.99026618520394,True
25,held_out_method_evaluation,C3,24,10.5,2.0,0.0,stable,-69.47477695078516,-67.83060241653021,-64.9815228803458,-1.6441745342549439,-4.493254070439349,-5.15468641417882,-4.925990110929799,-4.5582514380843655,-0.2286963032490208,-69.47477695078516,-67.83060241653021,-1.6441745342549439,0.9583333333333334,0.9166666666666666,0,-73.0652220336777,-67.36747775286265,-79.55609449057332,-71.78016724263496,-56.642289072546916,-70.53996131691704,-67.47141427457112,-58.071614239139265,-74.50807210773479,3,3,3,12.18861673771066,15.137878170088044,16.436457868595525,True
25,held_out_method_evaluation,C4,24,10.5,2.0,0.0,stable,-69.20022663487333,-60.2282614363307,-67.43895114466605,-8.971965198542634,-1.7612754902072822,-5.114544421703451,-4.007108707890959,-4.873314196856339,-1.1074357138124924,-72.34457980597382,-63.29974481906109,-9.044834986912733,0.9166666666666666,0.9166666666666666,0,-36.847257198140866,-72.34457980597382,-76.70652378769738,-53.12504836734068,-70.8599506174487,-57.45216885432886,-41.74796994355657,-69.64368460838539,-77.61184359394957,3,3,3,39.85926658955651,17.73490225010802,35.863873650393,True
27,held_out_method_evaluation,C3,22,10.75,1.75,1.0,moderate,-27.755282900901054,-21.574964948228093,-18.894444162114993,-6.1803179526729615,-8.860838738786061,-1.4595301456680567,-1.057537689899052,-0.9096618752189887,-0.40199245576900466,-17.118346331092816,-19.145467614457196,2.02712128336438,0.6818181818181818,0.6363636363636364,1,-17.118346331092816,-8.098724529619561,-48.07432763620263,-24.004462281998986,-24.66353247828159,-2.6086886960991937,-18.181225477252912,-1.0914410497084392,-47.062152897363184,3,3,3,39.97560310658307,22.054843782182395,45.97071184765475,True
27,held_out_method_evaluation,C4,22,10.75,1.75,1.0,moderate,-18.607765017078727,-26.628602294274103,-14.196813912871553,8.020837277195376,-4.410951104207173,-0.8952916257584944,-1.344744061125653,-0.6652423131525118,0.4494524353671585,-16.758395816774144,-26.45623255593336,9.697836739159218,0.5909090909090909,0.5909090909090909,0,-21.741459849399234,43.12952255900037,-58.39954589613254,-37.19499958134662,56.92970370167607,-38.80502378665496,-15.164930895198228,69.84677646750825,-49.74771469759283,2,2,2,101.52906845513292,95.73472748833103,119.59449116510109,True
29,held_out_method_evaluation,C3,22,10.75,1.75,0.75,moderate,-55.87297203516852,-47.68437294869773,-48.35893870879297,-8.188599086470795,-7.514033326375554,-3.5541956031697928,-2.8315338474658294,-2.881820628979065,-0.7226617557039634,-55.87297203516852,-47.68437294869773,-8.188599086470795,0.6818181818181818,0.8181818181818182,0,-42.43798618402336,-33.69574358221263,-57.32494571704024,-32.19437540370744,-42.95112044898771,-69.22829336918666,-44.8599030096554,-28.637295411659135,-52.93175016462746,3,3,3,23.629202134827608,37.03391796547922,24.294454752968324,True
29,held_out_method_evaluation,C4,22,10.75,1.75,0.75,moderate,-64.52466665124842,-58.79576034233682,-58.380609913164335,-5.728906308911604,-6.144056738084089,-4.501043399325656,-3.934910804216914,-3.8070799362001715,-0.5661325951087424,-64.52466665124842,-58.79576034233682,-5.728906308911604,0.8181818181818182,0.9090909090909091,0,-69.24659294738592,-39.034425867130246,-64.10201227292119,-62.08172266211821,-42.22016495975142,-72.69597566990133,-63.99117889996437,-31.77705729535101,-58.98316683811198,3,3,3,30.212167080255675,30.475810710149908,32.214121604613354,True
31,held_out_method_evaluation,C3,23,7.75,4.75,0.0,stable,1.9110005266780679,-10.772546479517386,-19.755442622085813,12.683547006195454,21.666443148763882,0.08221065362453411,-0.49501501251183627,-0.9558441413675585,0.5772256661363704,1.9110005266780679,-10.772546479517386,12.683547006195454,0.4782608695652174,0.7391304347826086,0,15.765311913670356,5.853671035920268,-13.736699423533771,-22.3172898388369,-10.772546479517386,-17.084043570127566,-18.361683960722047,-8.995343719865431,-22.463297370649443,1,3,3,29.502011337204127,11.544743359319513,13.467953650784011,True
31,held_out_method_evaluation,C4,23,7.75,4.75,0.0,stable,5.558485920360487,-26.966482337711476,-4.429184000353414,32.524968258071965,9.987669920713902,0.23493152283627664,-1.36477781043753,-0.1967470589633052,1.5997093332738068,5.558485920360487,-26.966482337711476,32.524968258071965,0.43478260869565216,0.6956521739130435,0,9.85709428629596,-41.147831274746544,36.51832212070494,-27.341427759175737,-1.1641301455483088,-24.860997648013765,-12.310392590194592,-25.131109984699634,4.886274024847308,1,3,2,77.66615339545149,26.177297613627427,30.017384009546944,True
33,held_out_method_evaluation,C3,22,10.5,2.0,0.25,stable,-72.82217184097897,-72.33253395533387,-70.6256201221372,-0.48963788564509514,-2.1965517188417607,-5.716993215756061,-5.582544869519332,-5.325069419925617,-0.13444834623672897,-56.18002738534399,-61.62440872716881,5.444381341824823,0.8636363636363636,0.9090909090909091,0,-68.367348422181,-90.19476802753664,-43.99270634850698,-71.44439534762942,-76.93674392318854,-44.00454277270338,-69.25158746498873,-87.67763571876213,-46.45332862075462,3,3,3,46.20206167902966,32.93220115048516,41.224307098007515,True
33,held_out_method_evaluation,C4,22,10.5,2.0,0.25,stable,-69.17009021145623,-58.80836743229014,-68.22863982361378,-10.361722779166087,-0.9414503878424512,-5.185581804188313,-3.8629190001915648,-4.982852041997692,-1.3226628039967485,-76.82944192664557,-58.80836743229014,-18.02107449435543,0.7727272727272727,0.7727272727272727,0,-36.36238983467513,-81.42262233910932,-19.2171076941935,-55.87911679495862,-70.00070851816011,-2.1313218370827283,-43.284000420235046,-78.60082854870956,-23.70341043031391,3,3,3,62.20551464491582,67.86938668107739,54.89741811839565,True
