subject,baseline_model,csp_model,baseline_balanced_accuracy,csp_balanced_accuracy,csp_minus_baseline_balanced_accuracy,baseline_qc_balanced_accuracy,csp_qc_balanced_accuracy,qc_csp_minus_baseline_balanced_accuracy,csp_folds_above_chance_count,csp_fold_range,csp_fists_recall,csp_feet_recall,qc_candidate_count,matched_subject_and_trials
31,spectral_baseline_6,csp_4_empirical,0.4791666666666667,0.8452380952380952,0.36607142857142855,0.5,0.8660714285714285,0.3660714285714285,3,0.2589285714285714,0.782608695652174,0.9090909090909091,3,True
32,spectral_baseline_6,csp_4_empirical,0.5624999999999999,0.5178571428571429,-0.044642857142856984,0.4603174603174603,0.5456349206349206,0.08531746031746029,1,0.2857142857142858,0.6363636363636364,0.43478260869565216,12,True
33,spectral_baseline_6,csp_4_empirical,0.7291666666666666,0.6636904761904763,-0.06547619047619035,0.8291666666666666,0.6875,-0.1416666666666666,3,0.1517857142857143,0.6818181818181818,0.6521739130434783,10,True
34,spectral_baseline_6,csp_4_empirical,0.7380952380952381,0.880952380952381,0.1428571428571429,0.6920634920634919,0.8380952380952381,0.14603174603174618,3,0.2857142857142857,1.0,0.7619047619047619,5,True
35,spectral_baseline_6,csp_4_empirical,0.8035714285714285,0.9523809523809524,0.14880952380952395,0.8005952380952381,0.9523809523809524,0.1517857142857143,3,0.1428571428571428,1.0,0.9047619047619048,1,True
36,spectral_baseline_6,csp_4_empirical,0.46428571428571425,0.7738095238095238,0.3095238095238096,0.5763888888888888,0.7579365079365079,0.18154761904761907,3,0.1964285714285714,0.6818181818181818,0.8695652173913043,5,True
37,spectral_baseline_6,csp_4_empirical,0.5,0.6190476190476191,0.11904761904761907,0.4079365079365079,0.5952380952380952,0.18730158730158736,2,0.2857142857142857,0.5714285714285714,0.6666666666666666,11,True
38,spectral_baseline_6,csp_4_empirical,0.4613095238095238,0.5267857142857143,0.06547619047619052,0.32261904761904764,0.5041666666666667,0.181547619047619,2,0.044642857142857206,0.6521739130434783,0.4090909090909091,8,True
39,spectral_baseline_6,csp_4_empirical,0.49404761904761907,0.6101190476190476,0.11607142857142849,0.42857142857142855,0.6587301587301587,0.23015873015873017,3,0.1160714285714286,0.5652173913043478,0.6363636363636364,5,True
40,spectral_baseline_6,csp_4_empirical,0.41071428571428575,0.5744047619047619,0.1636904761904761,0.47222222222222227,0.5654761904761905,0.0932539682539682,2,0.1428571428571428,0.18181818181818182,0.9565217391304348,11,True
41,spectral_baseline_6,csp_4_empirical,0.35714285714285715,0.5476190476190476,0.1904761904761904,0.4238095238095238,0.5238095238095238,0.10000000000000003,2,0.0714285714285714,0.8571428571428571,0.23809523809523808,2,True
42,spectral_baseline_6,csp_4_empirical,0.6577380952380952,0.9791666666666666,0.3214285714285714,0.7341269841269842,0.9722222222222223,0.23809523809523814,3,0.0625,0.9583333333333334,1.0,7,True
43,spectral_baseline_6,csp_4_empirical,0.7529761904761906,0.9523809523809524,0.19940476190476186,0.7222222222222222,0.8730158730158731,0.15079365079365092,3,0.1428571428571428,1.0,0.9090909090909091,6,True
44,spectral_baseline_6,csp_4_empirical,0.6041666666666666,0.755952380952381,0.1517857142857144,0.5436507936507936,0.7837301587301587,0.24007936507936511,3,0.1428571428571429,0.782608695652174,0.7272727272727273,4,True
45,spectral_baseline_6,csp_4_empirical,0.6279761904761906,0.5833333333333334,-0.044642857142857206,0.699206349206349,0.6277777777777778,-0.07142857142857129,2,0.1696428571428572,0.5,0.6666666666666666,13,True
46,spectral_baseline_6,csp_4_empirical,0.5982142857142857,0.6904761904761906,0.09226190476190488,0.5047619047619047,0.5011904761904762,-0.0035714285714285587,3,0.07142857142857151,0.7272727272727273,0.6521739130434783,21,True
47,spectral_baseline_6,csp_4_empirical,0.44047619047619047,0.42857142857142855,-0.011904761904761918,0.48611111111111116,0.46230158730158727,-0.02380952380952389,1,0.25,0.391304347826087,0.45454545454545453,7,True
48,spectral_baseline_6,csp_4_empirical,0.6636904761904762,0.7916666666666666,0.12797619047619047,0.7000000000000001,0.8444444444444444,0.14444444444444438,3,0.1339285714285715,0.9166666666666666,0.6666666666666666,12,True
49,spectral_baseline_6,csp_4_empirical,0.7351190476190476,0.6726190476190476,-0.0625,0.7013888888888888,0.7976190476190476,0.09623015873015872,3,0.1607142857142858,0.42857142857142855,0.9166666666666666,2,True
50,spectral_baseline_6,csp_4_empirical,0.5357142857142857,0.6666666666666666,0.13095238095238093,0.5484126984126984,0.6952380952380953,0.14682539682539697,3,0.0357142857142857,0.6666666666666666,0.6666666666666666,8,True
51,spectral_baseline_6,csp_4_empirical,0.5238095238095238,0.6428571428571429,0.11904761904761907,0.5055555555555555,0.3499999999999999,-0.1555555555555556,3,0.1428571428571429,0.9523809523809523,0.3333333333333333,19,True
52,spectral_baseline_6,csp_4_empirical,0.7172619047619048,0.8452380952380952,0.12797619047619047,0.6863095238095238,0.8839285714285715,0.1976190476190477,3,0.1428571428571428,0.8181818181818182,0.8695652173913043,5,True
53,spectral_baseline_6,csp_4_empirical,0.5148809523809524,0.46428571428571425,-0.05059523809523819,0.5248015873015873,0.5029761904761905,-0.02182539682539686,1,0.11607142857142855,0.5217391304347826,0.4090909090909091,2,True
54,spectral_baseline_6,csp_4_empirical,0.6011904761904762,0.6845238095238094,0.08333333333333326,0.40019841269841266,0.6829365079365081,0.2827380952380954,3,0.2410714285714285,0.6086956521739131,0.7727272727272727,8,True
55,spectral_baseline_6,csp_4_empirical,0.4970238095238095,0.9523809523809524,0.45535714285714296,0.5337301587301587,0.9761904761904763,0.44246031746031755,3,0.0714285714285714,0.9565217391304348,0.9545454545454546,1,True
56,spectral_baseline_6,csp_4_empirical,0.4791666666666667,0.8482142857142857,0.369047619047619,0.5813492063492063,0.8505952380952381,0.2692460317460318,3,0.2589285714285714,0.9130434782608695,0.7727272727272727,5,True
57,spectral_baseline_6,csp_4_empirical,0.6994047619047619,0.6190476190476191,-0.0803571428571428,0.691468253968254,0.5565476190476191,-0.13492063492063489,3,0.0803571428571429,0.5909090909090909,0.6521739130434783,1,True
58,spectral_baseline_6,csp_4_empirical,0.5565476190476191,0.7321428571428572,0.17559523809523814,0.43353174603174605,0.6458333333333334,0.21230158730158732,3,0.125,0.782608695652174,0.6818181818181818,2,True
59,spectral_baseline_6,csp_4_empirical,0.4851190476190476,0.5178571428571428,0.03273809523809518,0.47519841269841273,0.4682539682539682,-0.006944444444444531,2,0.1071428571428571,0.3181818181818182,0.7391304347826086,9,True
60,spectral_baseline_6,csp_4_empirical,0.7529761904761906,0.7738095238095237,0.02083333333333315,0.814484126984127,0.8184523809523809,0.003968253968253954,3,0.2946428571428572,0.7142857142857143,0.8333333333333334,3,True
61,spectral_baseline_6,csp_4_empirical,0.511904761904762,0.6904761904761904,0.17857142857142838,0.5422619047619048,0.6428571428571429,0.10059523809523807,3,0.1339285714285714,0.6666666666666666,0.7142857142857143,2,True
62,spectral_baseline_6,csp_4_empirical,0.6428571428571429,0.8958333333333334,0.25297619047619047,0.7777777777777778,0.9444444444444445,0.16666666666666674,3,0.25,0.782608695652174,1.0,13,True
63,spectral_baseline_6,csp_4_empirical,0.4672619047619047,0.5327380952380952,0.06547619047619052,0.5055555555555555,0.47222222222222227,-0.03333333333333327,1,0.2232142857142857,0.2727272727272727,0.8260869565217391,13,True
64,spectral_baseline_6,csp_4_empirical,0.619047619047619,0.4761904761904762,-0.14285714285714274,0.619047619047619,0.4761904761904762,-0.14285714285714274,1,0.14285714285714285,0.3333333333333333,0.6190476190476191,0,True
65,spectral_baseline_6,csp_4_empirical,0.5148809523809524,0.5089285714285714,-0.005952380952381042,0.5402777777777777,0.5555555555555556,0.015277777777777835,2,0.1875,0.36363636363636365,0.6521739130434783,11,True
66,spectral_baseline_6,csp_4_empirical,0.5505952380952381,0.568452380952381,0.017857142857142905,0.5505952380952381,0.568452380952381,0.017857142857142905,2,0.19642857142857145,0.6363636363636364,0.4782608695652174,0,True
67,spectral_baseline_6,csp_4_empirical,0.505952380952381,0.5565476190476191,0.050595238095238027,0.5148809523809524,0.5446428571428571,0.029761904761904656,1,0.1696428571428572,0.5217391304347826,0.5454545454545454,2,True
68,spectral_baseline_6,csp_4_empirical,0.5238095238095238,0.630952380952381,0.1071428571428572,0.5388888888888889,0.5388888888888889,0.0,3,0.0625,0.5909090909090909,0.6521739130434783,15,True
69,spectral_baseline_6,csp_4_empirical,0.5654761904761906,0.6845238095238096,0.11904761904761907,0.5555555555555555,0.6845238095238096,0.12896825396825418,3,0.2053571428571429,0.7727272727272727,0.6086956521739131,4,True
