development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
4,4,shrinkage_lda,14,0.5178571428571428,0.5333333333333333,0.2857142857142857,0.75,2,5,2,6,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,shrinkage_lda,6,0.8452380952380952,0.8461538461538461,0.8333333333333334,0.8571428571428571,5,1,1,6,13,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,shrinkage_lda,10,0.55,0.5714285714285714,0.5,0.6,1,1,2,3,7,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,shrinkage_lda,14,0.5238095238095238,0.5384615384615384,0.3333333333333333,0.7142857142857143,2,4,2,5,13,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,6,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,10,0.5357142857142857,0.5333333333333333,0.5714285714285714,0.5,4,3,4,4,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,14,0.5178571428571428,0.5333333333333333,0.2857142857142857,0.75,2,5,2,6,15,False,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,6,0.8452380952380952,0.8461538461538461,0.8333333333333334,0.8571428571428571,5,1,1,6,13,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,10,0.55,0.5714285714285714,0.5,0.6,1,1,2,3,7,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
4,4,l2_logistic_regression,14,0.5238095238095238,0.5384615384615384,0.3333333333333333,0.7142857142857143,2,4,2,5,13,True,1/2/3/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,6,0.4732142857142857,0.4666666666666667,0.5714285714285714,0.375,4,3,5,3,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,10,0.6607142857142857,0.6666666666666666,0.75,0.5714285714285714,6,2,3,4,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,14,0.4642857142857143,0.4666666666666667,0.5,0.42857142857142855,4,4,4,3,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,6,0.5178571428571428,0.45454545454545453,0.75,0.2857142857142857,3,1,5,2,11,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,10,0.625,0.6428571428571429,0.75,0.5,6,2,3,3,14,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,shrinkage_lda,14,0.625,0.6,0.5,0.75,3,3,1,3,10,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,6,0.33035714285714285,0.3333333333333333,0.2857142857142857,0.375,2,5,5,3,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,10,0.6607142857142857,0.6666666666666666,0.75,0.5714285714285714,6,2,3,4,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,14,0.5267857142857143,0.5333333333333333,0.625,0.42857142857142855,5,3,4,3,15,False,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,6,0.39285714285714285,0.36363636363636365,0.5,0.2857142857142857,2,2,5,2,11,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,10,0.625,0.6428571428571429,0.75,0.5,6,2,3,3,14,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
5,5,l2_logistic_regression,14,0.7083333333333333,0.7,0.6666666666666666,0.75,4,2,1,3,10,True,1/2/3/4/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,6,0.75,0.7333333333333333,1.0,0.5,7,0,4,4,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,10,0.6875,0.6666666666666666,1.0,0.375,7,0,5,3,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,14,0.3214285714285714,0.3333333333333333,0.5,0.14285714285714285,4,4,6,1,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,6,0.75,0.7333333333333333,1.0,0.5,7,0,4,4,15,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,10,0.6875,0.6428571428571429,1.0,0.375,6,0,5,3,14,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,shrinkage_lda,14,0.3214285714285714,0.3333333333333333,0.5,0.14285714285714285,4,4,6,1,15,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,6,0.6875,0.6666666666666666,1.0,0.375,7,0,5,3,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,10,0.6875,0.6666666666666666,1.0,0.375,7,0,5,3,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,14,0.33035714285714285,0.3333333333333333,0.375,0.2857142857142857,3,5,5,2,15,False,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,6,0.6875,0.6666666666666666,1.0,0.375,7,0,5,3,15,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,10,0.6875,0.6428571428571429,1.0,0.375,6,0,5,3,14,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
6,6,l2_logistic_regression,14,0.33035714285714285,0.3333333333333333,0.375,0.2857142857142857,3,5,5,2,15,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,6,0.7410714285714286,0.7333333333333333,0.8571428571428571,0.625,6,1,3,5,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,10,0.7142857142857143,0.7333333333333333,1.0,0.42857142857142855,8,0,4,3,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,14,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,6,0.6857142857142857,0.6666666666666666,0.8,0.5714285714285714,4,1,3,4,12,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,10,0.6666666666666666,0.6923076923076923,1.0,0.3333333333333333,7,0,4,2,13,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,shrinkage_lda,14,0.5833333333333334,0.5833333333333334,1.0,0.16666666666666666,6,0,5,1,12,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,l2_logistic_regression,6,0.6696428571428572,0.6666666666666666,0.7142857142857143,0.625,5,2,3,5,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,l2_logistic_regression,10,0.7142857142857143,0.7333333333333333,1.0,0.42857142857142855,8,0,4,3,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,l2_logistic_regression,14,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,False,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,l2_logistic_regression,6,0.6857142857142857,0.6666666666666666,0.8,0.5714285714285714,4,1,3,4,12,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
7,7,l2_logistic_regression,10,0.6666666666666666,0.6923076923076923,1.0,0.3333333333333333,7,0,4,2,13,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
