subject,historical_primary_mean_balanced_accuracy,three_run_median_balanced_accuracy,minimum_run_balanced_accuracy,maximum_run_balanced_accuracy,run_balanced_accuracy_range,run_balanced_accuracy_population_sd,runs_above_0_5_count,above_chance_run_category,all_runs_at_or_above_0_6,run_range_at_or_above_0_25,one_bad_run_plus_two_good_runs,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,fists_recall_run_6,fists_recall_run_10,fists_recall_run_14,feet_recall_run_6,feet_recall_run_10,feet_recall_run_14,out_of_fold_fists_recall,out_of_fold_feet_recall,feet_minus_fists_recall,task_qc_candidate_count,task_trial_count,task_qc_candidate_fraction,task_qc_fraction_run_6,task_qc_fraction_run_10,task_qc_fraction_run_14,qc_sensitivity_mean_balanced_accuracy,qc_minus_primary_balanced_accuracy,analysis_role
54,0.6845238095238094,0.7232142857142857,0.5446428571428572,0.7857142857142857,0.2410714285714285,0.10214882322458635,3,3_of_3,False,False,False,0.7857142857142857,0.5446428571428572,0.7232142857142857,0.5714285714285714,0.375,0.875,1.0,0.7142857142857143,0.5714285714285714,0.6086956521739131,0.7727272727272727,0.16403162055335962,8,45,0.17777777777777778,0.26666666666666666,0.06666666666666667,0.2,0.6829365079365081,-0.0015873015873013596,post_hoc_descriptive_reliability
55,0.9523809523809524,0.9285714285714286,0.9285714285714286,1.0,0.0714285714285714,0.033671751485073675,3,3_of_3,True,False,False,1.0,0.9285714285714286,0.9285714285714286,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.9565217391304348,0.9545454545454546,-0.0019762845849802257,1,45,0.022222222222222223,0.0,0.06666666666666667,0.0,0.9761904761904763,0.023809523809523836,post_hoc_descriptive_reliability
56,0.8482142857142857,0.9285714285714286,0.6785714285714286,0.9375,0.2589285714285714,0.1200109830574759,3,3_of_3,True,True,False,0.6785714285714286,0.9375,0.9285714285714286,0.8571428571428571,0.875,1.0,0.5,1.0,0.8571428571428571,0.9130434782608695,0.7727272727272727,-0.1403162055335968,5,45,0.1111111111111111,0.2,0.06666666666666667,0.06666666666666667,0.8505952380952381,0.0023809523809523725,post_hoc_descriptive_reliability
57,0.6190476190476191,0.5982142857142857,0.5892857142857143,0.6696428571428572,0.0803571428571429,0.03596144634998387,3,3_of_3,False,False,False,0.6696428571428572,0.5892857142857143,0.5982142857142857,0.7142857142857143,0.42857142857142855,0.625,0.625,0.75,0.5714285714285714,0.5909090909090909,0.6521739130434783,0.06126482213438733,1,45,0.022222222222222223,0.0,0.0,0.06666666666666667,0.5565476190476191,-0.0625,post_hoc_descriptive_reliability
58,0.7321428571428572,0.7321428571428572,0.6696428571428572,0.7946428571428572,0.125,0.05103103630798288,3,3_of_3,True,False,False,0.6696428571428572,0.7321428571428572,0.7946428571428572,0.7142857142857143,0.75,0.875,0.625,0.7142857142857143,0.7142857142857143,0.782608695652174,0.6818181818181818,-0.10079051383399218,2,45,0.044444444444444446,0.06666666666666667,0.06666666666666667,0.0,0.6458333333333334,-0.08630952380952384,post_hoc_descriptive_reliability
59,0.5178571428571428,0.5178571428571428,0.4642857142857143,0.5714285714285714,0.1071428571428571,0.0437408882639853,2,2_of_3,False,False,False,0.4642857142857143,0.5178571428571428,0.5714285714285714,0.5,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.75,1.0,0.3181818181818182,0.7391304347826086,0.42094861660079047,9,45,0.2,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.4682539682539682,-0.049603174603174593,post_hoc_descriptive_reliability
60,0.7738095238095237,0.8660714285714286,0.5803571428571428,0.875,0.2946428571428572,0.1368400468163411,3,3_of_3,False,True,False,0.875,0.5803571428571428,0.8660714285714286,1.0,0.2857142857142857,0.8571428571428571,0.75,0.875,0.875,0.7142857142857143,0.8333333333333334,0.11904761904761907,3,45,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.8184523809523809,0.044642857142857206,post_hoc_descriptive_reliability
61,0.6904761904761904,0.7232142857142857,0.6071428571428572,0.7410714285714286,0.1339285714285714,0.05937481352160713,3,3_of_3,True,False,False,0.7232142857142857,0.6071428571428572,0.7410714285714286,0.875,0.5,0.625,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.04761904761904767,2,45,0.044444444444444446,0.0,0.0,0.13333333333333333,0.6428571428571429,-0.04761904761904745,post_hoc_descriptive_reliability
62,0.8958333333333334,0.9375,0.75,1.0,0.25,0.10622957319984969,3,3_of_3,True,True,False,0.75,1.0,0.9375,0.5,1.0,0.875,1.0,1.0,1.0,0.782608695652174,1.0,0.21739130434782605,13,45,0.28888888888888886,0.2,0.2,0.4666666666666667,0.9444444444444445,0.04861111111111116,post_hoc_descriptive_reliability
63,0.5327380952380952,0.5,0.4375,0.6607142857142857,0.2232142857142857,0.09402124404125782,1,1_of_3,False,False,False,0.4375,0.6607142857142857,0.5,0.0,0.75,0.0,0.875,0.5714285714285714,1.0,0.2727272727272727,0.8260869565217391,0.5533596837944664,13,45,0.28888888888888886,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.47222222222222227,-0.06051587301587297,post_hoc_descriptive_reliability
64,0.4761904761904762,0.4285714285714286,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.06734350297014736,1,1_of_3,False,False,False,0.42857142857142855,0.4285714285714286,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.6190476190476191,0.28571428571428575,0,42,0.0,0.0,0.0,0.0,0.4761904761904762,0.0,post_hoc_descriptive_reliability
65,0.5089285714285714,0.5178571428571428,0.4107142857142857,0.5982142857142857,0.1875,0.07680647559859488,2,2_of_3,False,False,False,0.4107142857142857,0.5982142857142857,0.5178571428571428,0.25,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.625,0.75,0.36363636363636365,0.6521739130434783,0.2885375494071146,11,45,0.24444444444444444,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.5555555555555556,0.04662698412698418,post_hoc_descriptive_reliability
66,0.568452380952381,0.5446428571428572,0.48214285714285715,0.6785714285714286,0.19642857142857145,0.08193988034485837,2,2_of_3,False,False,False,0.48214285714285715,0.5446428571428572,0.6785714285714286,0.7142857142857143,0.375,0.8571428571428571,0.25,0.7142857142857143,0.5,0.6363636363636364,0.4782608695652174,-0.15810276679841895,0,45,0.0,0.0,0.0,0.0,0.568452380952381,0.0,post_hoc_descriptive_reliability
67,0.5565476190476191,0.5,0.5,0.6696428571428572,0.1696428571428572,0.07997040977705006,1,1_of_3,False,False,False,0.5,0.5,0.6696428571428572,1.0,0.0,0.625,0.0,1.0,0.7142857142857143,0.5217391304347826,0.5454545454545454,0.02371541501976282,2,45,0.044444444444444446,0.06666666666666667,0.0,0.06666666666666667,0.5446428571428571,-0.011904761904761973,post_hoc_descriptive_reliability
