subject,method,qc_sensitivity,primary_mean_scenario_test_run_balanced_accuracy,scenario_test_run_balanced_accuracy_range,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
36,source_csp_target_lda_source_scaler,True,0.6398809523809523,0.2946428571428572,0.6375,0.6666666666666666,0.6136363636363636,80,participant
36,target_csp_ledoit_wolf,False,0.6607142857142857,0.2678571428571429,0.6555555555555556,0.8181818181818182,0.5,90,participant
36,target_csp_ledoit_wolf,True,0.6393849206349206,0.2232142857142857,0.625,0.8055555555555556,0.4772727272727273,80,participant
37,source_zero_shot,False,0.5476190476190476,0.0714285714285714,0.5476190476190477,0.7619047619047619,0.3333333333333333,84,participant
37,source_zero_shot,True,0.5277777777777778,0.08333333333333337,0.4838709677419355,0.6428571428571429,0.35294117647058826,62,participant
37,source_csp_target_lda_source_scaler,False,0.48809523809523797,0.14285714285714285,0.4880952380952381,0.6190476190476191,0.35714285714285715,84,participant
37,source_csp_target_lda_source_scaler,True,0.513095238095238,0.19642857142857145,0.5161290322580645,0.6785714285714286,0.38235294117647056,62,participant
37,target_csp_ledoit_wolf,False,0.5238095238095238,0.21428571428571425,0.5238095238095238,0.6428571428571429,0.40476190476190477,84,participant
37,target_csp_ledoit_wolf,True,0.5089285714285715,0.19642857142857145,0.5161290322580645,0.6428571428571429,0.4117647058823529,62,participant
38,source_zero_shot,False,0.5238095238095238,0.21428571428571425,0.5333333333333333,0.9565217391304348,0.09090909090909091,90,participant
38,source_zero_shot,True,0.49444444444444446,0.18333333333333335,0.4594594594594595,0.9411764705882353,0.05,74,participant
38,source_csp_target_lda_source_scaler,False,0.4568452380952381,0.08035714285714285,0.45555555555555555,0.6304347826086957,0.2727272727272727,90,participant
38,source_csp_target_lda_source_scaler,True,0.4529761904761905,0.1375,0.43243243243243246,0.6176470588235294,0.275,74,participant
38,target_csp_ledoit_wolf,False,0.5119047619047619,0.2857142857142858,0.5222222222222223,0.5434782608695652,0.5,90,participant
38,target_csp_ledoit_wolf,True,0.5142857142857143,0.21428571428571436,0.5405405405405406,0.5588235294117647,0.525,74,participant
39,source_zero_shot,False,0.4226190476190476,0.08035714285714285,0.4222222222222222,0.34782608695652173,0.5,90,participant
39,source_zero_shot,True,0.3968253968253968,0.047619047619047616,0.4,0.35,0.45,80,participant
39,source_csp_target_lda_source_scaler,False,0.5952380952380952,0.1517857142857143,0.5888888888888889,0.6086956521739131,0.5681818181818182,90,participant
39,source_csp_target_lda_source_scaler,True,0.5952380952380952,0.20238095238095233,0.5875,0.6,0.575,80,participant
39,target_csp_ledoit_wolf,False,0.5208333333333334,0.1071428571428571,0.5222222222222223,0.6304347826086957,0.4090909090909091,90,participant
39,target_csp_ledoit_wolf,True,0.5178571428571428,0.1547619047619047,0.5125,0.625,0.4,80,participant
40,source_zero_shot,False,0.5208333333333334,0.1875,0.5333333333333333,0.09090909090909091,0.9565217391304348,90,participant
40,source_zero_shot,True,0.5333333333333333,0.09999999999999998,0.5588235294117647,0.0625,1.0,68,participant
40,source_csp_target_lda_source_scaler,False,0.4776785714285714,0.27678571428571436,0.4777777777777778,0.5681818181818182,0.391304347826087,90,participant
40,source_csp_target_lda_source_scaler,True,0.4603174603174603,0.3571428571428571,0.45588235294117646,0.53125,0.3888888888888889,68,participant
40,target_csp_ledoit_wolf,False,0.5267857142857143,0.22321428571428575,0.5222222222222223,0.2727272727272727,0.7608695652173914,90,participant
40,target_csp_ledoit_wolf,True,0.5599206349206349,0.25833333333333336,0.5735294117647058,0.34375,0.7777777777777778,68,participant
41,source_zero_shot,False,0.6428571428571428,0.2857142857142857,0.6428571428571429,0.38095238095238093,0.9047619047619048,84,participant
41,source_zero_shot,True,0.6476190476190476,0.30000000000000004,0.65,0.3684210526315789,0.9047619047619048,80,participant
41,source_csp_target_lda_source_scaler,False,0.5119047619047619,0.2857142857142857,0.5119047619047619,0.47619047619047616,0.5476190476190477,84,participant
41,source_csp_target_lda_source_scaler,True,0.5166666666666667,0.2857142857142857,0.5125,0.47368421052631576,0.5476190476190477,80,participant
41,target_csp_ledoit_wolf,False,0.5238095238095238,0.4285714285714286,0.5238095238095238,0.5952380952380952,0.4523809523809524,84,participant
41,target_csp_ledoit_wolf,True,0.5547619047619047,0.4285714285714286,0.5375,0.631578947368421,0.4523809523809524,80,participant
42,source_zero_shot,False,0.9553571428571429,0.1339285714285714,0.9555555555555556,0.9583333333333334,0.9523809523809523,90,participant
42,source_zero_shot,True,0.9484126984126985,0.15476190476190477,0.9473684210526315,0.9411764705882353,0.9523809523809523,76,participant
42,source_csp_target_lda_source_scaler,False,0.9434523809523809,0.1428571428571428,0.9444444444444444,0.9583333333333334,0.9285714285714286,90,participant
42,source_csp_target_lda_source_scaler,True,0.9365079365079366,0.1428571428571428,0.9342105263157895,0.9411764705882353,0.9285714285714286,76,participant
42,target_csp_ledoit_wolf,False,0.9553571428571429,0.1428571428571428,0.9555555555555556,0.9583333333333334,0.9523809523809523,90,participant
42,target_csp_ledoit_wolf,True,0.9484126984126985,0.1428571428571428,0.9473684210526315,0.9411764705882353,0.9523809523809523,76,participant
43,source_zero_shot,False,0.6369047619047619,0.017857142857142794,0.6444444444444445,1.0,0.2727272727272727,90,participant
43,source_zero_shot,True,0.6507936507936507,0.023809523809523836,0.6410256410256411,1.0,0.3,78,participant
43,source_csp_target_lda_source_scaler,False,0.71875,0.4285714285714286,0.7222222222222222,0.9347826086956522,0.5,90,participant
43,source_csp_target_lda_source_scaler,True,0.7063492063492064,0.4285714285714286,0.7051282051282052,0.9210526315789473,0.5,78,participant
43,target_csp_ledoit_wolf,False,0.7857142857142857,0.3125,0.7777777777777778,0.6304347826086957,0.9318181818181818,90,participant
43,target_csp_ledoit_wolf,True,0.7678571428571429,0.2857142857142858,0.7692307692307693,0.6052631578947368,0.925,78,participant
44,source_zero_shot,False,0.7113095238095237,0.1339285714285715,0.7111111111111111,0.8260869565217391,0.5909090909090909,90,participant
44,source_zero_shot,True,0.7053571428571429,0.16369047619047628,0.7073170731707317,0.8095238095238095,0.6,82,participant
44,source_csp_target_lda_source_scaler,False,0.6919642857142857,0.1339285714285714,0.6888888888888889,0.7608695652173914,0.6136363636363636,90,participant
44,source_csp_target_lda_source_scaler,True,0.6860119047619048,0.16666666666666663,0.6829268292682927,0.7619047619047619,0.6,82,participant
44,target_csp_ledoit_wolf,False,0.5982142857142857,0.32142857142857145,0.5888888888888889,0.5434782608695652,0.6363636363636364,90,participant
44,target_csp_ledoit_wolf,True,0.5912698412698413,0.29761904761904767,0.5853658536585366,0.5476190476190477,0.625,82,participant
45,source_zero_shot,False,0.5625,0.1875,0.5777777777777777,0.7916666666666666,0.3333333333333333,90,participant
45,source_zero_shot,True,0.5476190476190476,0.1428571428571428,0.5,0.7222222222222222,0.21428571428571427,64,participant
45,source_csp_target_lda_source_scaler,False,0.5148809523809524,0.0803571428571428,0.5222222222222223,0.625,0.40476190476190477,90,participant
45,source_csp_target_lda_source_scaler,True,0.5436507936507936,0.26190476190476186,0.515625,0.6111111111111112,0.39285714285714285,64,participant
45,target_csp_ledoit_wolf,False,0.5788690476190476,0.31250000000000006,0.5666666666666667,0.3958333333333333,0.7619047619047619,90,participant
45,target_csp_ledoit_wolf,True,0.5900793650793651,0.25,0.5625,0.3888888888888889,0.7857142857142857,64,participant
46,source_zero_shot,False,0.5982142857142857,0.1517857142857144,0.6,0.5454545454545454,0.6521739130434783,90,participant
46,source_zero_shot,True,0.5511904761904761,0.125,0.5833333333333334,0.3333333333333333,0.7333333333333333,48,participant
46,source_csp_target_lda_source_scaler,False,0.5357142857142857,0.11607142857142849,0.5444444444444444,0.5,0.5869565217391305,90,participant
46,source_csp_target_lda_source_scaler,True,0.5023809523809524,0.25,0.5416666666666666,0.3333333333333333,0.6666666666666666,48,participant
46,target_csp_ledoit_wolf,False,0.636904761904762,0.3571428571428572,0.6333333333333333,0.75,0.5217391304347826,90,participant
46,target_csp_ledoit_wolf,True,0.6964285714285715,0.625,0.6666666666666666,0.8888888888888888,0.5333333333333333,48,participant
47,source_zero_shot,False,0.49702380952380953,0.1339285714285714,0.5111111111111111,0.8695652173913043,0.13636363636363635,90,participant
47,source_zero_shot,True,0.5793650793650794,0.16666666666666663,0.5526315789473685,1.0,0.15,76,participant
47,source_csp_target_lda_source_scaler,False,0.45982142857142855,0.32142857142857145,0.4666666666666667,0.43478260869565216,0.5,90,participant
47,source_csp_target_lda_source_scaler,True,0.49355158730158727,0.40476190476190477,0.5,0.4722222222222222,0.525,76,participant
47,target_csp_ledoit_wolf,False,0.5104166666666666,0.31250000000000006,0.5,0.2608695652173913,0.75,90,participant
47,target_csp_ledoit_wolf,True,0.5238095238095238,0.30357142857142866,0.5394736842105263,0.2777777777777778,0.775,76,participant
48,source_zero_shot,False,0.4791666666666667,0.0625,0.5111111111111111,0.9583333333333334,0.0,90,participant
48,source_zero_shot,True,0.47222222222222227,0.08333333333333331,0.45454545454545453,0.9375,0.0,66,participant
48,source_csp_target_lda_source_scaler,False,0.6741071428571428,0.2678571428571429,0.6666666666666666,0.5625,0.7857142857142857,90,participant
48,source_csp_target_lda_source_scaler,True,0.6638888888888889,0.31666666666666665,0.6666666666666666,0.5625,0.7647058823529411,66,participant
48,target_csp_ledoit_wolf,False,0.7366071428571429,0.2857142857142858,0.7444444444444445,0.8541666666666666,0.6190476190476191,90,participant
48,target_csp_ledoit_wolf,True,0.7166666666666667,0.31666666666666665,0.7121212121212122,0.84375,0.5882352941176471,66,participant
49,source_zero_shot,False,0.5029761904761905,0.1339285714285714,0.5333333333333333,0.047619047619047616,0.9583333333333334,90,participant
49,source_zero_shot,True,0.5,0.14285714285714285,0.5348837209302325,0.05,0.9565217391304348,86,participant
49,source_csp_target_lda_source_scaler,False,0.6428571428571429,0.25,0.6333333333333333,0.7857142857142857,0.5,90,participant
49,source_csp_target_lda_source_scaler,True,0.6602182539682541,0.2321428571428572,0.6511627906976745,0.8,0.5217391304347826,86,participant
49,target_csp_ledoit_wolf,False,0.6339285714285715,0.3035714285714286,0.6555555555555556,0.30952380952380953,0.9583333333333334,90,participant
49,target_csp_ledoit_wolf,True,0.6369047619047619,0.2857142857142857,0.6627906976744186,0.325,0.9565217391304348,86,participant
50,source_zero_shot,False,0.5238095238095238,0.0714285714285714,0.5555555555555556,1.0,0.047619047619047616,90,participant
50,source_zero_shot,True,0.5,0.0,0.5135135135135135,1.0,0.0,74,participant
50,source_csp_target_lda_source_scaler,False,0.5654761904761906,0.3928571428571429,0.5666666666666667,0.5833333333333334,0.5476190476190477,90,participant
50,source_csp_target_lda_source_scaler,True,0.5519841269841269,0.419047619047619,0.5675675675675675,0.5789473684210527,0.5555555555555556,74,participant
50,target_csp_ledoit_wolf,False,0.6651785714285715,0.36607142857142866,0.6555555555555556,0.5208333333333334,0.8095238095238095,90,participant
50,target_csp_ledoit_wolf,True,0.6305555555555555,0.4166666666666666,0.6351351351351351,0.47368421052631576,0.8055555555555556,74,participant
51,source_zero_shot,False,0.4761904761904761,0.28571428571428564,0.47619047619047616,0.5238095238095238,0.42857142857142855,84,participant
51,source_zero_shot,True,0.5944444444444444,0.5,0.6521739130434783,0.6153846153846154,0.7,46,participant
51,source_csp_target_lda_source_scaler,False,0.4761904761904761,0.14285714285714285,0.47619047619047616,0.7619047619047619,0.19047619047619047,84,participant
51,source_csp_target_lda_source_scaler,True,0.4930555555555555,0.4083333333333334,0.5434782608695652,0.8076923076923077,0.2,46,participant
51,target_csp_ledoit_wolf,False,0.6785714285714287,0.2142857142857143,0.6785714285714286,0.8571428571428571,0.5,84,participant
51,target_csp_ledoit_wolf,True,0.5416666666666666,0.25,0.6304347826086957,0.9230769230769231,0.25,46,participant
52,source_zero_shot,False,0.7083333333333334,0.044642857142857095,0.7111111111111111,0.7727272727272727,0.6521739130434783,90,participant
52,source_zero_shot,True,0.7087301587301588,0.08333333333333326,0.7,0.7619047619047619,0.631578947368421,80,participant
52,source_csp_target_lda_source_scaler,False,0.6696428571428571,0.2946428571428572,0.6666666666666666,0.6136363636363636,0.717391304347826,90,participant
52,source_csp_target_lda_source_scaler,True,0.6629960317460318,0.3571428571428572,0.6625,0.6190476190476191,0.7105263157894737,80,participant
52,target_csp_ledoit_wolf,False,0.6979166666666666,0.3303571428571429,0.7,0.5909090909090909,0.8043478260869565,90,participant
52,target_csp_ledoit_wolf,True,0.7156746031746032,0.30952380952380953,0.7125,0.5952380952380952,0.8421052631578947,80,participant
53,source_zero_shot,False,0.5922619047619048,0.2142857142857143,0.6,1.0,0.18181818181818182,90,participant
53,source_zero_shot,True,0.5922619047619048,0.2142857142857143,0.6046511627906976,1.0,0.19047619047619047,86,participant
53,source_csp_target_lda_source_scaler,False,0.5357142857142857,0.1071428571428571,0.5333333333333333,0.45652173913043476,0.6136363636363636,90,participant
53,source_csp_target_lda_source_scaler,True,0.5376984126984127,0.11904761904761907,0.5348837209302325,0.4318181818181818,0.6428571428571429,86,participant
53,target_csp_ledoit_wolf,False,0.5446428571428571,0.2232142857142857,0.5444444444444444,0.6304347826086957,0.45454545454545453,90,participant
53,target_csp_ledoit_wolf,True,0.5362103174603174,0.2232142857142857,0.5348837209302325,0.6136363636363636,0.4523809523809524,86,participant
54,source_zero_shot,False,0.5,0.0,0.4888888888888889,0.0,1.0,90,participant
54,source_zero_shot,True,0.5,0.0,0.4864864864864865,0.0,1.0,74,participant
54,source_csp_target_lda_source_scaler,False,0.6130952380952381,0.2589285714285715,0.6111111111111112,0.4782608695652174,0.75,90,participant
54,source_csp_target_lda_source_scaler,True,0.6179563492063492,0.37500000000000006,0.6216216216216216,0.47368421052631576,0.7777777777777778,74,participant
54,target_csp_ledoit_wolf,False,0.6726190476190476,0.6607142857142858,0.6777777777777778,0.717391304347826,0.6363636363636364,90,participant
54,target_csp_ledoit_wolf,True,0.6607142857142856,0.5833333333333334,0.6756756756756757,0.6842105263157895,0.6666666666666666,74,participant
55,source_zero_shot,False,0.6369047619047619,0.1428571428571429,0.6444444444444445,1.0,0.2727272727272727,90,participant
55,source_zero_shot,True,0.6488095238095238,0.1785714285714286,0.6590909090909091,1.0,0.2857142857142857,88,participant
55,source_csp_target_lda_source_scaler,False,0.8630952380952381,0.1339285714285714,0.8666666666666667,0.9130434782608695,0.8181818181818182,90,participant
55,source_csp_target_lda_source_scaler,True,0.884920634920635,0.08333333333333326,0.8863636363636364,0.9130434782608695,0.8571428571428571,88,participant
