fold_balanced_accuracy_range,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,fold_balanced_accuracy_run_6,folds_above_chance_count,group_observational_unit,included_trial_count,model,out_of_fold_accuracy,out_of_fold_balanced_accuracy,out_of_fold_feet_recall,out_of_fold_fists_recall,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_trial_count,out_of_fold_true_feet_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_fists_predicted_fists,primary_mean_fold_balanced_accuracy,qc_candidate_count,qc_sensitivity,subject
0.2857142857142857,0.5,0.7857142857142857,0.5714285714285714,2,participant,42,csp_4_empirical,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.5714285714285714,0.6181818181818182,0.6077097505668934,42,14,7,9,12,0.6190476190476191,11,False,37
0.2857142857142857,0.7857142857142857,0.5,0.5,1,participant,31,csp_4_empirical,0.5806451612903226,0.5987394957983193,0.4117647058823529,0.7857142857142857,0.5735449735449736,0.5294117647058824,31,7,10,3,11,0.5952380952380952,11,True,37
0.26785714285714285,0.5982142857142857,0.45535714285714285,0.33035714285714285,1,participant,45,spectral_baseline_6,0.4666666666666667,0.46739130434782605,0.5,0.43478260869565216,0.46640316205533594,0.4308300395256917,45,11,11,13,10,0.4613095238095238,8,False,38
0.20833333333333334,0.43333333333333335,0.225,0.30952380952380953,0,participant,37,spectral_baseline_6,0.32432432432432434,0.3176470588235294,0.4,0.23529411764705882,0.3163340724316334,0.3058823529411765,37,8,12,13,4,0.32261904761904764,8,True,38
0.044642857142857206,0.5446428571428572,0.5357142857142857,0.5,2,participant,45,csp_4_empirical,0.5333333333333333,0.5306324110671937,0.4090909090909091,0.6521739130434783,0.5248868778280543,0.5138339920948616,45,9,13,8,15,0.5267857142857143,8,False,38
0.012499999999999956,0.5,0.5125,0.5,1,participant,37,csp_4_empirical,0.4864864864864865,0.4808823529411765,0.55,0.4117647058823529,0.48041389504804144,0.43823529411764706,37,11,9,10,7,0.5041666666666667,8,True,38
0.3214285714285715,0.4642857142857143,0.6696428571428572,0.3482142857142857,1,participant,45,spectral_baseline_6,0.4888888888888889,0.491106719367589,0.5909090909090909,0.391304347826087,0.48481831757093086,0.4901185770750988,45,13,9,14,9,0.49404761904761907,5,False,39
0.1785714285714286,0.4642857142857143,0.5,0.3214285714285714,0,participant,40,spectral_baseline_6,0.425,0.425,0.5,0.35,0.42174732872407295,0.4375,40,10,10,13,7,0.42857142857142855,5,True,39
0.1160714285714286,0.6785714285714286,0.5892857142857143,0.5625,3,participant,45,csp_4_empirical,0.6,0.6007905138339921,0.6363636363636364,0.5652173913043478,0.599802371541502,0.6047430830039525,45,14,8,10,13,0.6101190476190476,5,False,39
0.16666666666666674,0.5476190476190476,0.7142857142857142,0.7142857142857143,3,participant,40,csp_4_empirical,0.65,0.65,0.65,0.65,0.65,0.6525,40,13,7,7,13,0.6587301587301587,5,True,39
0.15178571428571425,0.3392857142857143,0.49107142857142855,0.4017857142857143,0,participant,45,spectral_baseline_6,0.4,0.4031620553359684,0.2608695652173913,0.5454545454545454,0.3891402714932127,0.40118577075098816,45,6,17,10,12,0.41071428571428575,11,False,40
0.04999999999999999,0.45,0.5,0.4666666666666667,0,participant,34,spectral_baseline_6,0.47058823529411764,0.47916666666666663,0.3333333333333333,0.625,0.4631578947368421,0.5069444444444444,34,6,12,6,10,0.47222222222222227,11,True,40
0.1428571428571428,0.5803571428571428,0.6428571428571428,0.5,2,participant,45,csp_4_empirical,0.5777777777777777,0.5691699604743083,0.9565217391304348,0.18181818181818182,0.4973544973544973,0.5118577075098815,45,22,1,18,4,0.5744047619047619,11,False,40
0.125,0.625,0.5714285714285714,0.5,2,participant,34,csp_4_empirical,0.5882352941176471,0.5625,1.0,0.125,0.4711111111111111,0.6180555555555556,34,18,0,14,2,0.5654761904761905,11,True,40
