subject,calibration_run,condition,balanced_accuracy,test_trial_count
16,10,A,0.6339285714285714,30
16,10,B,0.5758928571428572,30
16,10,C,0.5714285714285714,30
16,14,A,0.5625,30
16,14,B,0.5357142857142857,30
16,14,C,0.5625,30
17,6,A,0.6696428571428572,30
17,6,B,0.6651785714285714,30
17,6,C,0.375,30
17,10,A,0.5982142857142857,30
17,10,B,0.5267857142857143,30
17,10,C,0.5401785714285714,30
17,14,A,0.5357142857142857,30
17,14,B,0.5669642857142857,30
17,14,C,0.5758928571428572,30
18,6,A,0.5,30
18,6,B,0.5,30
18,6,C,0.5666666666666667,30
18,10,A,0.5,30
18,10,B,0.5333333333333333,30
18,10,C,0.4,30
18,14,A,0.5,30
18,14,B,0.5044642857142857,30
18,14,C,0.5446428571428572,30
19,6,A,0.39999999999999997,30
19,6,B,0.5333333333333333,30
19,6,C,0.5,30
19,10,A,0.5333333333333333,30
19,10,B,0.6333333333333333,30
19,10,C,0.5333333333333333,30
19,14,A,0.4419642857142857,30
19,14,B,0.5625,30
19,14,C,0.5848214285714286,30
20,6,A,0.5333333333333333,30
20,6,B,0.6,30
20,6,C,0.43333333333333335,30
20,10,A,0.5758928571428572,30
20,10,B,0.5178571428571428,30
20,10,C,0.4598214285714286,30
20,14,A,0.5,30
20,14,B,0.4666666666666667,30
20,14,C,0.5333333333333333,30
