subject,test_run,condition,balanced_accuracy,variant_count
11,14,C,0.7142857142857143,1
12,6,A,0.5982142857142857,2
12,6,B,0.6830357142857142,2
12,6,C,0.6517857142857143,1
12,10,A,0.9375,2
12,10,B,0.8348214285714286,2
12,10,C,0.9285714285714286,1
12,14,A,0.8080357142857143,2
12,14,B,0.5625,2
12,14,C,0.75,1
13,6,A,0.6696428571428572,2
13,6,B,0.5044642857142857,2
13,6,C,0.8035714285714286,1
13,10,A,0.625,2
13,10,B,0.71875,2
13,10,C,0.6428571428571428,1
13,14,A,0.65625,2
13,14,B,0.5535714285714286,2
13,14,C,0.7857142857142857,1
14,6,A,0.6741071428571429,2
14,6,B,0.48660714285714285,2
14,6,C,0.6696428571428572,1
14,10,A,0.5491071428571428,2
14,10,B,0.4955357142857143,2
14,10,C,0.45535714285714285,1
14,14,A,0.6517857142857143,2
14,14,B,0.5758928571428571,2
14,14,C,0.6607142857142857,1
15,6,A,0.7321428571428572,2
15,6,B,0.6473214285714286,2
15,6,C,0.8571428571428572,1
15,10,A,0.6428571428571428,2
15,10,B,0.7767857142857143,2
15,10,C,0.875,1
15,14,A,0.6785714285714286,2
15,14,B,0.71875,2
15,14,C,0.9285714285714286,1
16,6,A,0.53125,2
16,6,B,0.4598214285714286,2
16,6,C,0.6071428571428572,1
16,10,A,0.4375,2
16,10,B,0.4419642857142857,2
16,10,C,0.6517857142857143,1
16,14,A,0.5892857142857142,2
16,14,B,0.5803571428571428,2
16,14,C,0.5178571428571428,1
17,6,A,0.5223214285714286,2
17,6,B,0.39285714285714285,2
17,6,C,0.42857142857142855,1
17,10,A,0.5089285714285714,2
17,10,B,0.5,2
17,10,C,0.4375,1
17,14,A,0.4642857142857143,2
17,14,B,0.6160714285714286,2
17,14,C,0.45535714285714285,1
18,6,A,0.4732142857142857,2
18,6,B,0.4375,2
18,6,C,0.3482142857142857,1
18,10,A,0.3080357142857143,2
18,10,B,0.45982142857142855,2
18,10,C,0.3392857142857143,1
18,14,A,0.5044642857142857,2
18,14,B,0.5,2
18,14,C,0.5357142857142857,1
19,6,A,0.7008928571428572,2
19,6,B,0.65625,2
19,6,C,0.8035714285714286,1
19,10,A,0.5803571428571429,2
19,10,B,0.4375,2
19,10,C,0.8035714285714286,1
19,14,A,0.5223214285714286,2
19,14,B,0.59375,2
19,14,C,0.5357142857142857,1
20,6,A,0.5446428571428572,2
20,6,B,0.4375,2
20,6,C,0.6875,1
20,10,A,0.43303571428571425,2
20,10,B,0.47321428571428575,2
20,10,C,0.5267857142857143,1
20,14,A,0.5803571428571428,2
20,14,B,0.5848214285714286,2
20,14,C,0.6517857142857143,1
