subject,test_run,condition,calibration_test_direction_cosine,calibration_direction_magnitude
47,14,B,0.056519819292587224,2.642663177153882
47,14,C,-0.052030097299377076,1.8674746807736449
48,6,A,0.5812092946343772,3.1576026928484575
48,6,B,0.6027007591614074,4.302784743150652
48,6,C,0.5758731561331576,3.0911342487760827
48,10,A,0.4440897485398436,3.6530573361295557
48,10,B,0.40493065148696294,4.150492587466944
48,10,C,0.4398528498387304,3.494575501974931
48,14,A,0.6034859463352812,3.0388575497678407
48,14,B,0.588914820268534,3.9681756671628206
48,14,C,0.5893318764976766,2.8147458768419282
49,6,A,0.19196771289299017,1.8959654116864186
49,6,B,0.11856806027293976,2.64965292249593
49,6,C,0.20507098130137427,1.8783954706581505
49,10,A,0.08399434888777702,2.04982651811366
49,10,B,0.1542480224031196,2.7023821768500964
49,10,C,0.07129685157010862,2.0817710956615327
49,14,A,0.08532512637721987,2.166937801788676
49,14,B,0.16918443147541154,2.755945551824747
49,14,C,0.13976165778119426,2.0904072463748773
50,6,A,0.2223192586408601,2.2914001780435527
50,6,B,0.1811814041683961,2.919947720927837
50,6,C,0.2107549143012474,2.147416729184062
50,10,A,0.10274957402213038,2.3001603677188482
50,10,B,0.07648135235106909,2.767774468913124
50,10,C,0.09996649026218671,2.25351992146423
50,14,A,0.277017869847476,1.9115503905223439
50,14,B,0.17499603389128013,2.5030651552381884
50,14,C,0.2500960516349947,1.823310648828037
51,6,A,0.1880879887548025,2.4257181051846346
51,6,B,0.019447879235528473,3.0846943305290297
51,6,C,0.1880879887548025,2.425718105184635
51,10,A,0.24430213103075668,2.2885655264465243
51,10,B,0.12899431109214143,2.88457941467987
51,10,C,0.24430213103075668,2.2885655264465243
51,14,A,0.15599912856896084,2.5599468537035768
51,14,B,0.0752639791043565,2.9027945868865452
51,14,C,0.15599912856896084,2.559946853703577
52,6,A,0.22813562288248368,2.6457545019000506
52,6,B,0.11274729834493499,3.5603543398373736
52,6,C,0.22519860872962513,2.584467836788756
52,10,A,-0.11488166414634637,3.2426922971259726
52,10,B,-0.15633499770143627,4.308754019864493
52,10,C,-0.07353618205385275,3.081676762974289
52,14,A,0.22940200967393817,2.862814978249663
52,14,B,0.1413966230146664,3.537668124931794
52,14,C,0.18701205346303998,2.821099776877326
53,6,A,0.0852539245972946,1.6532960565653403
53,6,B,0.06687507282636589,2.157571831014338
53,6,C,0.06759291747874994,1.5806327957870685
53,10,A,0.021948443503525168,1.7903121049372703
53,10,B,-0.020236129302890756,2.4085161941594513
53,10,C,0.031089620070974124,1.7116904694598927
53,14,A,0.08317844573526612,1.8318829565451005
53,14,B,0.04989949897026177,2.2979987555545964
53,14,C,0.07755727420050997,1.7469968739949258
54,6,A,0.19608666314862366,2.300685400117091
54,6,B,0.1413968638495521,2.867272202643992
54,6,C,0.19788189992977415,2.291869706223826
54,10,A,0.07355308056357503,2.2610309237892725
54,10,B,0.026343738381084423,2.9460427959251057
54,10,C,0.10149005905134667,2.2645867326110434
54,14,A,0.13643864371606212,2.2078082873313303
54,14,B,0.0752357920899154,2.804482583908983
54,14,C,0.1537384093918544,2.227671115644717
55,6,A,0.7167545610956624,4.188067780577518
55,6,B,0.6408132060403197,4.338889802926214
55,6,C,0.6989855504255678,3.9715318925823855
55,10,A,0.7356986387157399,4.416593528532291
55,10,B,0.7076474333286128,5.135436859053276
55,10,C,0.7419447045705118,4.137003851651181
55,14,A,0.6382085648321533,5.29801910602468
55,14,B,0.5849540746966015,5.4748090663462285
55,14,C,0.6402182023784456,4.840167202963474
56,6,A,0.12699624660352196,2.3484956303802687
56,6,B,0.11367585389998863,3.207905161715793
56,6,C,0.12994271188698137,2.3445903580086216
56,10,A,0.3548137885222835,2.0627435259304407
56,10,B,0.3983971331397164,2.9014892321139145
56,10,C,0.3460835167842976,2.029083674842082
56,14,A,0.3025751375175906,2.0149920442650897
56,14,B,0.36369414592452526,2.88121208686976
56,14,C,0.33405396326947684,2.0192915505687465
57,6,A,0.06207905400621962,1.8922270080777288
57,6,B,-0.10597166511025113,3.0090276789050807
57,6,C,0.11669096106719058,1.8682181915338147
57,10,A,0.11612447753268562,1.8925549565312276
57,10,B,0.0018105024460903483,2.687258273754007
57,10,C,0.11545898877802463,1.8413031327201899
57,14,A,-0.006683339785094029,2.0617820265083244
57,14,B,0.044726223687405885,2.651621783990138
57,14,C,0.02078757044951727,1.9962446435738241
58,6,A,0.2401885172353536,1.716267534342274
58,6,B,0.129251538624719,1.9625951373758774
58,6,C,0.21805632235302932,1.687853468038471
