subject,condition,balanced_accuracy,fists_recall,feet_recall
72,A,0.9761904761904763,1.0,0.9523809523809524
72,B,0.9761904761904763,1.0,0.9523809523809524
72,C,0.9761904761904763,1.0,0.9523809523809524
73,A,0.6904761904761904,0.5714285714285714,0.8095238095238094
73,B,0.7857142857142857,0.6904761904761904,0.8809523809523809
73,C,0.8333333333333334,0.8571428571428572,0.8095238095238094
74,A,0.4880952380952381,0.3333333333333333,0.6428571428571428
74,B,0.4761904761904762,0.35714285714285715,0.5952380952380952
74,C,0.5,0.19047619047619047,0.8095238095238094
75,A,0.4836309523809524,0.4047619047619048,0.5625
75,B,0.5877976190476191,0.5714285714285714,0.6041666666666666
75,C,0.6904761904761904,0.7142857142857143,0.6666666666666666
76,A,0.4880952380952381,0.5,0.4761904761904762
76,B,0.5357142857142857,0.7619047619047619,0.30952380952380953
76,C,0.5238095238095238,0.7619047619047619,0.2857142857142857
77,A,0.46428571428571425,0.49404761904761907,0.43452380952380953
77,B,0.49553571428571425,0.5029761904761905,0.4880952380952381
77,C,0.44345238095238093,0.36904761904761907,0.5178571428571429
78,A,0.41815476190476186,0.5714285714285714,0.2648809523809524
78,B,0.4538690476190476,0.3005952380952381,0.6071428571428571
78,C,0.49404761904761907,0.41071428571428575,0.5773809523809524
79,A,0.6145833333333334,0.6666666666666666,0.5625
79,B,0.581845238095238,0.8095238095238094,0.3541666666666667
79,C,0.7172619047619048,0.8095238095238094,0.625
80,A,0.6696428571428572,0.625,0.7142857142857143
80,B,0.6964285714285715,0.5833333333333334,0.8095238095238096
80,C,0.6458333333333334,0.625,0.6666666666666666
81,A,0.45089285714285704,0.1607142857142857,0.7410714285714285
81,B,0.5133928571428571,0.24404761904761904,0.7827380952380952
81,C,0.7113095238095237,0.5476190476190476,0.875
82,A,0.5907738095238095,0.5625,0.6190476190476191
82,B,0.5877976190476191,0.6041666666666666,0.5714285714285714
82,C,0.6488095238095238,0.5833333333333334,0.7142857142857143
83,A,0.6845238095238096,0.5565476190476191,0.8125
83,B,0.5535714285714285,0.35714285714285715,0.75
83,C,0.6726190476190476,0.42857142857142855,0.9166666666666666
84,A,0.5699404761904762,0.3630952380952381,0.7767857142857143
84,B,0.5476190476190476,0.7916666666666666,0.30357142857142855
84,C,0.5922619047619048,0.6488095238095238,0.5357142857142857
85,A,0.8139880952380952,0.8273809523809524,0.8005952380952381
85,B,0.9032738095238096,0.8065476190476191,1.0
85,C,0.9375,0.875,1.0
86,A,0.6071428571428571,0.7142857142857141,0.5
86,B,0.5907738095238095,0.6190476190476191,0.5625
86,C,0.9166666666666666,1.0,0.8333333333333334
87,A,0.4776785714285714,0.37797619047619047,0.5773809523809524
87,B,0.581845238095238,0.6011904761904762,0.5625
87,C,0.7321428571428572,0.7857142857142857,0.6785714285714285
89,A,0.5476190476190476,0.3333333333333333,0.7619047619047619
89,B,0.5461309523809524,0.3541666666666667,0.7380952380952381
89,C,0.49404761904761907,0.75,0.23809523809523805
90,A,0.5223214285714285,0.7886904761904763,0.25595238095238093
90,B,0.5267857142857143,0.7619047619047619,0.2916666666666667
90,C,0.5803571428571429,0.4583333333333333,0.7023809523809524
91,A,0.5565476190476191,0.4761904761904761,0.6369047619047619
91,B,0.5580357142857143,0.33035714285714285,0.7857142857142857
91,C,0.75,0.6726190476190476,0.8273809523809524
93,A,0.8809523809523809,0.8928571428571429,0.8690476190476191
93,B,0.7946428571428571,0.7440476190476191,0.8452380952380952
93,C,0.8898809523809524,0.9107142857142857,0.8690476190476191
