subject,method,calibration_size,zero_balanced_accuracy,calibrated_balanced_accuracy,gain_over_matched_zero
75,threshold,12,0.6815476190476191,0.625,-0.05654761904761907
75,threshold,14,0.6815476190476191,0.6309523809523809,-0.05059523809523814
76,threshold,0,0.5,0.5,0.0
76,threshold,4,0.5,0.4761904761904762,-0.02380952380952378
76,threshold,8,0.5,0.46428571428571425,-0.035714285714285754
76,threshold,12,0.5,0.46428571428571425,-0.035714285714285754
76,threshold,14,0.5,0.46428571428571425,-0.035714285714285754
77,threshold,0,0.49107142857142855,0.49107142857142855,0.0
77,threshold,4,0.49107142857142855,0.47172619047619047,-0.019345238095238082
77,threshold,8,0.49107142857142855,0.4583333333333333,-0.03273809523809523
77,threshold,12,0.49107142857142855,0.42410714285714285,-0.0669642857142857
77,threshold,14,0.49107142857142855,0.400297619047619,-0.09077380952380953
78,threshold,0,0.5357142857142857,0.5357142857142857,0.0
78,threshold,4,0.5357142857142857,0.46577380952380953,-0.06994047619047616
78,threshold,8,0.5357142857142857,0.46577380952380953,-0.06994047619047616
78,threshold,12,0.5357142857142857,0.45684523809523814,-0.07886904761904756
78,threshold,14,0.5357142857142857,0.46428571428571425,-0.07142857142857145
79,threshold,0,0.511904761904762,0.511904761904762,0.0
79,threshold,4,0.511904761904762,0.5312499999999999,0.019345238095237915
79,threshold,8,0.511904761904762,0.5133928571428571,0.0014880952380951218
79,threshold,12,0.511904761904762,0.5238095238095238,0.011904761904761862
79,threshold,14,0.511904761904762,0.5580357142857143,0.04613095238095233
80,threshold,0,0.5714285714285714,0.5714285714285714,0.0
80,threshold,4,0.5714285714285714,0.49553571428571425,-0.07589285714285715
80,threshold,8,0.5714285714285714,0.5193452380952381,-0.05208333333333326
80,threshold,12,0.5714285714285714,0.48809523809523814,-0.08333333333333326
80,threshold,14,0.5714285714285714,0.48809523809523814,-0.08333333333333326
81,threshold,0,0.5922619047619048,0.5922619047619048,0.0
81,threshold,4,0.5922619047619048,0.5788690476190476,-0.013392857142857206
81,threshold,8,0.5922619047619048,0.5788690476190476,-0.013392857142857206
81,threshold,12,0.5922619047619048,0.5788690476190476,-0.013392857142857206
81,threshold,14,0.5922619047619048,0.5788690476190476,-0.013392857142857206
82,threshold,0,0.6428571428571429,0.6428571428571429,0.0
82,threshold,4,0.6428571428571429,0.6428571428571429,0.0
82,threshold,8,0.6428571428571429,0.7380952380952381,0.09523809523809523
82,threshold,12,0.6428571428571429,0.7276785714285715,0.0848214285714286
82,threshold,14,0.6428571428571429,0.7202380952380952,0.07738095238095233
83,threshold,0,0.6160714285714285,0.6160714285714285,0.0
83,threshold,4,0.6160714285714285,0.7306547619047619,0.11458333333333337
83,threshold,8,0.6160714285714285,0.7306547619047619,0.11458333333333337
83,threshold,12,0.6160714285714285,0.8005952380952381,0.18452380952380965
83,threshold,14,0.6160714285714285,0.8005952380952381,0.18452380952380965
84,threshold,0,0.5684523809523809,0.5684523809523809,0.0
84,threshold,4,0.5684523809523809,0.5505952380952381,-0.017857142857142794
84,threshold,8,0.5684523809523809,0.53125,-0.03720238095238093
84,threshold,12,0.5684523809523809,0.5297619047619048,-0.038690476190476164
84,threshold,14,0.5684523809523809,0.5297619047619048,-0.038690476190476164
85,threshold,0,0.5,0.5,0.0
