subject,task,model,qc_sensitivity,fold,test_run,training_runs,balanced_accuracy,accuracy,macro_f1,roc_auc,left_recall,right_recall,true_left_predicted_left,true_left_predicted_right,true_right_predicted_left,true_right_predicted_right,trial_count
44,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.3958333333333333,0.42857142857142855,0.37777777777777777,0.5833333333333334,0.625,0.16666666666666666,5,3,5,1,14
44,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.6785714285714285,0.2857142857142857,0.75,2,5,2,6,15
44,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.6071428571428571,0.5714285714285714,0.375,4,3,5,3,15
44,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.6517857142857143,0.6666666666666666,0.6411483253588517,0.75,0.875,0.42857142857142855,7,1,4,3,15
44,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.475,0.5384615384615384,0.4583333333333333,0.4749999999999999,0.2,0.75,1,4,2,6,13
44,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.5714285714285714,0.5714285714285714,0.375,4,3,5,3,15
44,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.6666666666666667,0.6428571428571429,0.641025641025641,0.5833333333333334,0.5,0.8333333333333334,4,4,1,5,14
45,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.3392857142857143,0.3333333333333333,0.33035714285714285,0.2678571428571428,0.25,0.42857142857142855,2,6,4,3,15
45,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.5446428571428572,0.5333333333333333,0.5248868778280543,0.4642857142857143,0.375,0.7142857142857143,3,5,2,5,15
45,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.5535714285714286,0.5333333333333333,0.49760765550239233,0.5714285714285714,0.8571428571428571,0.25,6,1,6,2,15
45,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.375,0.42857142857142855,0.3,0.5833333333333334,0.0,0.75,0,3,1,3,7
45,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.675,0.6666666666666666,0.6666666666666666,0.55,0.6,0.75,3,2,1,3,9
45,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.5714285714285714,0.5714285714285714,0.5333333333333333,0.8163265306122449,0.8571428571428571,0.2857142857142857,6,1,5,2,14
45,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.49107142857142855,0.4666666666666667,0.4,0.33928571428571425,0.125,0.8571428571428571,1,7,1,6,15
45,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.5446428571428572,0.5333333333333333,0.5248868778280543,0.6071428571428572,0.375,0.7142857142857143,3,5,2,5,15
45,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.6607142857142857,0.6666666666666666,0.660633484162896,0.6785714285714286,0.5714285714285714,0.75,4,3,2,6,15
45,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.5,0.42857142857142855,0.3,0.25,1.0,0.0,3,0,4,0,7
45,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.6,0.5555555555555556,0.5,0.5,0.2,1.0,1,4,0,4,9
45,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.5,0.5,0.4269005847953216,0.5918367346938775,0.14285714285714285,0.8571428571428571,1,6,1,6,14
46,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.6160714285714286,0.6,0.5833333333333333,0.6607142857142857,0.375,0.8571428571428571,3,5,1,6,15
46,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.41071428571428575,0.5714285714285714,0.375,4,3,5,3,15
46,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.5,0.5333333333333333,0.34782608695652173,0.5714285714285714,1.0,0.0,8,0,7,0,15
46,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.5119047619047619,0.5384615384615384,0.4583333333333333,0.5952380952380953,0.16666666666666666,0.8571428571428571,1,5,1,6,13
46,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.25,0.2857142857142857,0.2222222222222222,0.0,0.5,0.0,2,2,3,0,7
46,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.7142857142857143,0.5555555555555556,0.55,0.5714285714285714,0.42857142857142855,1.0,3,4,0,2,9
46,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.4642857142857143,0.4666666666666667,0.4642857142857143,0.5178571428571428,0.5,0.42857142857142855,4,4,4,3,15
46,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.42857142857142855,0.4,0.2857142857142857,0.4285714285714286,0.8571428571428571,0.0,6,1,8,0,15
46,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.49107142857142855,0.4666666666666667,0.4,0.6607142857142857,0.125,0.8571428571428571,1,7,1,6,15
46,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.5714285714285714,0.5384615384615384,0.4583333333333333,0.5238095238095238,1.0,0.14285714285714285,6,0,6,1,13
46,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.5833333333333333,0.5714285714285714,0.5714285714285714,0.5,0.5,0.6666666666666666,2,2,1,2,7
46,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.5,0.2222222222222222,0.18181818181818182,0.5714285714285714,0.0,1.0,0,7,0,2,9
47,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.49107142857142855,0.4666666666666667,0.4,0.5714285714285714,0.125,0.8571428571428571,1,7,1,6,15
47,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.6964285714285714,0.75,0.2857142857142857,6,2,5,2,15
47,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.6607142857142857,0.6666666666666666,0.660633484162896,0.8392857142857142,0.75,0.5714285714285714,6,2,3,4,15
47,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.5833333333333334,0.4444444444444444,0.41558441558441556,0.5,0.16666666666666666,1.0,1,5,0,3,9
47,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.5,0.5,0.4857142857142857,0.7222222222222223,0.6666666666666666,0.3333333333333333,4,2,4,2,12
47,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.6,0.6666666666666666,0.5555555555555556,0.5714285714285714,1.0,0.2,7,0,4,1,12
47,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.6607142857142857,0.6666666666666666,0.660633484162896,0.5892857142857142,0.75,0.5714285714285714,6,2,3,4,15
47,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.6607142857142857,0.6666666666666666,0.660633484162896,0.625,0.75,0.5714285714285714,6,2,3,4,15
47,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.5714285714285714,0.75,0.2857142857142857,6,2,5,2,15
47,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.3333333333333333,0.4444444444444444,0.3076923076923077,0.27777777777777773,0.6666666666666666,0.0,4,2,3,0,9
47,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.5,0.5,0.3333333333333333,0.5277777777777778,1.0,0.0,6,0,6,0,12
47,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.7,0.75,0.6974789915966386,0.6,1.0,0.4,7,0,3,2,12
48,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.5982142857142857,0.6,0.5982142857142857,0.6071428571428571,0.625,0.5714285714285714,5,3,3,4,15
48,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.6785714285714286,0.6666666666666666,0.660633484162896,0.6785714285714286,0.8571428571428571,0.5,6,1,4,4,15
48,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.5357142857142857,0.5333333333333333,0.5333333333333333,0.5357142857142858,0.5714285714285714,0.5,4,3,4,4,15
48,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.5,0.5,0.49743589743589745,0.6458333333333334,0.5,0.5,4,4,3,3,14
48,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.5875,0.5384615384615384,0.5357142857142857,0.675,0.8,0.375,4,1,5,3,13
48,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.4642857142857143,0.5714285714285714,0.375,4,3,5,3,15
48,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.6785714285714286,0.6666666666666666,0.660633484162896,0.8571428571428571,0.5,0.8571428571428571,4,4,1,6,15
48,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.6875,0.6666666666666666,0.6411483253588517,0.7321428571428572,1.0,0.375,7,0,5,3,15
48,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.6875,0.6666666666666666,0.6411483253588517,0.6071428571428572,1.0,0.375,7,0,5,3,15
48,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.5208333333333333,0.5,0.49743589743589745,0.6666666666666666,0.375,0.6666666666666666,3,5,2,4,14
48,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.5875,0.5384615384615384,0.5357142857142857,0.8,0.8,0.375,4,1,5,3,13
48,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.6875,0.6666666666666666,0.6411483253588517,0.5535714285714286,1.0,0.375,7,0,5,3,15
49,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.39285714285714285,0.4,0.3891402714932127,0.46428571428571425,0.2857142857142857,0.5,2,5,4,4,15
49,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.4017857142857143,0.4,0.4,0.4107142857142857,0.375,0.42857142857142855,3,5,4,3,15
49,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.39285714285714285,0.4,0.3891402714932127,0.2857142857142857,0.5,0.2857142857142857,4,4,5,2,15
49,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.39285714285714285,0.38461538461538464,0.38095238095238093,0.5238095238095238,0.2857142857142857,0.5,2,5,3,3,13
49,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.33035714285714285,0.3333333333333333,0.33035714285714285,0.33928571428571425,0.375,0.2857142857142857,3,5,5,2,15
49,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.3035714285714286,0.625,0.2857142857142857,5,3,5,2,15
49,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.6785714285714286,0.6666666666666666,0.660633484162896,0.6607142857142858,0.8571428571428571,0.5,6,1,4,4,15
49,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.8125,0.8,0.7963800904977376,0.7857142857142857,0.625,1.0,5,3,0,7,15
49,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.625,0.6,0.55,1.0,0.25,1.0,2,6,0,7,15
49,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.7619047619047619,0.7692307692307693,0.7636363636363637,0.6428571428571428,0.8571428571428571,0.6666666666666666,6,1,2,4,13
49,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.7410714285714286,0.7333333333333333,0.7321428571428572,0.8392857142857142,0.625,0.8571428571428571,5,3,1,6,15
49,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.75,0.7333333333333333,0.7222222222222222,0.9821428571428571,0.5,1.0,4,4,0,7,15
50,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.4642857142857143,0.2857142857142857,0.625,2,5,3,5,15
50,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.5982142857142857,0.6,0.5982142857142857,0.5535714285714286,0.625,0.5714285714285714,5,3,3,4,15
50,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.625,0.625,0.7142857142857143,5,3,2,5,15
50,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.375,0.4,0.375,0.4166666666666667,0.25,0.5,1,3,3,3,10
