development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,training_subjects,target_adaptation_used
11,11,spectral_baseline_6,14,0.48214285714285715,0.4666666666666667,0.7142857142857143,0.25,5,2,6,2,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,csp_4_empirical,6,0.7857142857142857,0.8,1.0,0.5714285714285714,8,0,3,4,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,csp_4_empirical,10,0.5982142857142857,0.6,0.5714285714285714,0.625,4,3,3,5,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,csp_4_empirical,14,0.7232142857142857,0.7333333333333333,0.5714285714285714,0.875,4,3,1,7,15,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
12,12,spectral_baseline_6,6,0.5803571428571428,0.6,0.2857142857142857,0.875,2,5,1,7,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
12,12,spectral_baseline_6,10,0.4642857142857143,0.4666666666666667,0.42857142857142855,0.5,3,4,4,4,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
12,12,spectral_baseline_6,14,0.6785714285714286,0.6666666666666666,0.5,0.8571428571428571,4,4,1,6,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
12,12,csp_4_empirical,6,0.5,0.4666666666666667,1.0,0.0,7,0,8,0,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
12,12,csp_4_empirical,10,0.5,0.4666666666666667,1.0,0.0,7,0,8,0,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
12,12,csp_4_empirical,14,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False
13,13,spectral_baseline_6,6,0.5089285714285714,0.5333333333333333,0.875,0.14285714285714285,7,1,6,1,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
13,13,spectral_baseline_6,10,0.49107142857142855,0.4666666666666667,0.8571428571428571,0.125,6,1,7,1,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
13,13,spectral_baseline_6,14,0.35714285714285715,0.3333333333333333,0.7142857142857143,0.0,5,2,8,0,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
13,13,csp_4_empirical,6,0.7232142857142857,0.7333333333333333,0.875,0.5714285714285714,7,1,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
13,13,csp_4_empirical,10,0.7321428571428572,0.7333333333333333,0.7142857142857143,0.75,5,2,2,6,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
13,13,csp_4_empirical,14,0.7410714285714286,0.7333333333333333,0.8571428571428571,0.625,6,1,3,5,15,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False
14,14,spectral_baseline_6,6,0.49107142857142855,0.4666666666666667,0.125,0.8571428571428571,1,7,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
14,14,spectral_baseline_6,10,0.5446428571428572,0.5333333333333333,0.375,0.7142857142857143,3,5,2,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
14,14,spectral_baseline_6,14,0.42857142857142855,0.4,0.0,0.8571428571428571,0,8,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
14,14,csp_4_empirical,6,0.8125,0.8,0.625,1.0,5,3,0,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
14,14,csp_4_empirical,10,0.5892857142857143,0.6,0.75,0.42857142857142855,6,2,4,3,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
14,14,csp_4_empirical,14,0.5714285714285714,0.6,1.0,0.14285714285714285,8,0,6,1,15,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False
15,15,spectral_baseline_6,6,0.5357142857142857,0.5333333333333333,0.5,0.5714285714285714,4,4,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
15,15,spectral_baseline_6,10,0.7410714285714286,0.7333333333333333,0.8571428571428571,0.625,6,1,3,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
15,15,spectral_baseline_6,14,0.6517857142857143,0.6666666666666666,0.42857142857142855,0.875,3,4,1,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
15,15,csp_4_empirical,6,0.7946428571428572,0.8,0.875,0.7142857142857143,7,1,2,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
15,15,csp_4_empirical,10,0.875,0.8666666666666667,1.0,0.75,7,0,2,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
15,15,csp_4_empirical,14,0.8125,0.8,1.0,0.625,7,0,3,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False
16,16,spectral_baseline_6,6,0.3839285714285714,0.4,0.625,0.14285714285714285,5,3,6,1,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
16,16,spectral_baseline_6,10,0.33035714285714285,0.3333333333333333,0.375,0.2857142857142857,3,5,5,2,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
16,16,spectral_baseline_6,14,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
16,16,csp_4_empirical,6,0.49107142857142855,0.4666666666666667,0.125,0.8571428571428571,1,7,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
16,16,csp_4_empirical,10,0.8035714285714286,0.8,0.75,0.8571428571428571,6,2,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
16,16,csp_4_empirical,14,0.4107142857142857,0.4,0.25,0.5714285714285714,2,6,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False
