subject,test_run,size,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
35,10,18,0.9642857142857143,1.0,0.9285714285714286,2,15
35,10,22,0.9285714285714286,1.0,0.8571428571428571,2,15
35,10,26,0.8928571428571429,1.0,0.7857142857142857,2,15
35,10,28,0.8571428571428572,1.0,0.7142857142857143,1,15
35,14,14,1.0,1.0,1.0,2,15
35,14,18,1.0,1.0,1.0,2,15
35,14,22,1.0,1.0,1.0,2,15
35,14,26,1.0,1.0,1.0,2,15
35,14,28,1.0,1.0,1.0,1,15
36,6,14,0.8616071428571428,0.7857142857142857,0.9375,2,15
36,6,18,0.7857142857142858,0.5714285714285714,1.0,2,15
36,6,22,0.6875,0.5,0.875,2,15
36,6,26,0.7276785714285714,0.6428571428571428,0.8125,2,15
36,6,28,0.7857142857142857,0.5714285714285714,1.0,1,15
36,10,14,0.6071428571428572,0.7142857142857143,0.5,2,15
36,10,18,0.6517857142857143,0.9285714285714286,0.375,2,15
36,10,22,0.6875,1.0,0.375,2,15
36,10,26,0.6160714285714286,0.8571428571428571,0.375,2,15
36,10,28,0.5446428571428572,0.7142857142857143,0.375,1,15
36,14,14,0.6875,0.875,0.5,2,15
36,14,18,0.7633928571428572,0.8125,0.7142857142857143,2,15
36,14,22,0.7008928571428572,0.6875,0.7142857142857142,2,15
36,14,26,0.7366071428571429,0.6875,0.7857142857142857,2,15
36,14,28,0.7321428571428572,0.75,0.7142857142857143,1,15
37,6,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,2,14
37,6,18,0.5714285714285714,0.2857142857142857,0.8571428571428572,2,14
37,6,22,0.6785714285714285,0.7857142857142857,0.5714285714285714,2,14
37,6,26,0.5714285714285714,1.0,0.14285714285714285,2,14
37,6,28,0.5,1.0,0.0,1,14
37,10,14,0.5,0.0,1.0,2,14
37,10,18,0.5,0.0,1.0,2,14
37,10,22,0.5,0.0,1.0,2,14
37,10,26,0.5,0.0,1.0,2,14
37,10,28,0.5,0.0,1.0,1,14
37,14,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,2,14
37,14,18,0.6428571428571428,0.6428571428571428,0.6428571428571428,2,14
37,14,22,0.7142857142857142,0.5,0.9285714285714286,2,14
37,14,26,0.8214285714285714,0.7142857142857143,0.9285714285714286,2,14
37,14,28,0.7857142857142857,0.7142857142857143,0.8571428571428571,1,14
38,6,14,0.4955357142857143,0.0625,0.9285714285714286,2,15
38,6,18,0.5178571428571428,0.75,0.2857142857142857,2,15
38,6,22,0.5401785714285714,0.9375,0.14285714285714285,2,15
38,6,26,0.5,1.0,0.0,2,15
38,6,28,0.375,0.75,0.0,1,15
38,10,14,0.6116071428571428,0.4375,0.7857142857142857,2,15
38,10,18,0.5625,0.125,1.0,2,15
38,10,22,0.53125,0.0625,1.0,2,15
38,10,26,0.6205357142857143,0.3125,0.9285714285714286,2,15
38,10,28,0.5535714285714286,0.25,0.8571428571428571,1,15
38,14,14,0.4955357142857143,0.42857142857142855,0.5625,2,15
38,14,18,0.5982142857142857,0.5714285714285714,0.625,2,15
38,14,22,0.5625,0.5,0.625,2,15
38,14,26,0.5,0.5,0.5,2,15
38,14,28,0.5982142857142857,0.5714285714285714,0.625,1,15
39,6,14,0.4642857142857143,0.0,0.9285714285714286,2,15
39,6,18,0.4910714285714286,0.125,0.8571428571428572,2,15
39,6,22,0.49107142857142855,0.125,0.8571428571428571,2,15
39,6,26,0.5625,0.125,1.0,2,15
39,6,28,0.5625,0.125,1.0,1,15
39,10,14,0.625,1.0,0.25,2,15
39,10,18,0.5491071428571428,0.7857142857142857,0.3125,2,15
39,10,22,0.6026785714285714,0.6428571428571428,0.5625,2,15
39,10,26,0.46875,0.5,0.4375,2,15
39,10,28,0.6696428571428572,0.7142857142857143,0.625,1,15
39,14,14,0.48660714285714285,0.6875,0.2857142857142857,2,15
