accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.6,0.625,0.25,1.0,3,0.55,spectral_baseline_6,False,0.5535714285714286,90,14,6/10,15,2,6,0,7
0.6666666666666666,0.6875,1.0,0.375,1,0.6411483253588517,spectral_baseline_6,True,0.5357142857142857,90,6,10/14,15,7,0,5,3
0.4666666666666667,0.4732142857142857,0.375,0.5714285714285714,2,0.4642857142857143,spectral_baseline_6,True,0.44642857142857145,90,10,6/14,15,3,5,3,4
0.6153846153846154,0.6428571428571428,0.2857142857142857,1.0,3,0.5751633986928104,spectral_baseline_6,True,0.5476190476190476,90,14,6/10,13,2,5,0,6
0.6666666666666666,0.6785714285714286,0.8571428571428571,0.5,1,0.660633484162896,csp_4_empirical,False,0.5357142857142857,90,6,10/14,15,6,1,4,4
0.6,0.6160714285714286,0.375,0.8571428571428571,2,0.5833333333333333,csp_4_empirical,False,0.48214285714285715,90,10,6/14,15,3,5,1,6
0.4666666666666667,0.4464285714285714,0.75,0.14285714285714285,3,0.4,csp_4_empirical,False,0.5535714285714286,90,14,6/10,15,6,2,6,1
0.6,0.5982142857142857,0.5714285714285714,0.625,1,0.5982142857142857,csp_4_empirical,True,0.6785714285714285,90,6,10/14,15,4,3,3,5
0.6,0.6160714285714286,0.375,0.8571428571428571,2,0.5833333333333333,csp_4_empirical,True,0.48214285714285715,90,10,6/14,15,3,5,1,6
0.46153846153846156,0.44047619047619047,0.7142857142857143,0.16666666666666666,3,0.40522875816993464,csp_4_empirical,True,0.5476190476190477,90,14,6/10,13,5,2,5,1
0.4666666666666667,0.4464285714285714,0.14285714285714285,0.75,1,0.4,spectral_baseline_6,False,0.6428571428571428,91,6,10/14,15,1,6,2,6
0.8,0.7857142857142857,1.0,0.5714285714285714,2,0.784688995215311,spectral_baseline_6,False,0.8392857142857142,91,10,6/14,15,8,0,3,4
0.7333333333333333,0.7410714285714286,0.625,0.8571428571428571,3,0.7321428571428572,spectral_baseline_6,False,0.6071428571428571,91,14,6/10,15,5,3,1,6
0.46153846153846156,0.4642857142857143,0.42857142857142855,0.5,1,0.46153846153846156,spectral_baseline_6,True,0.5714285714285714,91,6,10/14,13,3,4,3,3
0.8,0.7857142857142857,1.0,0.5714285714285714,2,0.784688995215311,spectral_baseline_6,True,0.8571428571428572,91,10,6/14,15,8,0,3,4
0.7142857142857143,0.7291666666666667,0.625,0.8333333333333334,3,0.7142857142857143,spectral_baseline_6,True,0.6041666666666666,91,14,6/10,14,5,3,1,5
0.8666666666666667,0.8660714285714286,0.8571428571428571,0.875,1,0.8660714285714286,csp_4_empirical,False,0.7678571428571429,91,6,10/14,15,6,1,1,7
0.6,0.5803571428571428,0.875,0.2857142857142857,2,0.55,csp_4_empirical,False,0.7678571428571428,91,10,6/14,15,7,1,5,2
0.8,0.8035714285714286,0.75,0.8571428571428571,3,0.8,csp_4_empirical,False,0.8392857142857143,91,14,6/10,15,6,2,1,6
0.8461538461538461,0.8452380952380952,0.8571428571428571,0.8333333333333334,1,0.8452380952380952,csp_4_empirical,True,0.7380952380952381,91,6,10/14,13,6,1,1,5
0.6666666666666666,0.6517857142857143,0.875,0.42857142857142855,2,0.6411483253588517,csp_4_empirical,True,0.8035714285714286,91,10,6/14,15,7,1,4,3
0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,3,0.7083333333333333,csp_4_empirical,True,0.8125,91,14,6/10,14,6,2,2,4
0.9333333333333333,0.9285714285714286,0.8571428571428571,1.0,1,0.9321266968325792,spectral_baseline_6,False,0.9464285714285714,93,6,10/14,15,6,1,0,8
0.6666666666666666,0.6785714285714286,0.8571428571428571,0.5,2,0.660633484162896,spectral_baseline_6,False,0.75,93,10,6/14,15,6,1,4,4
0.7333333333333333,0.7410714285714286,0.625,0.8571428571428571,3,0.7321428571428572,spectral_baseline_6,False,0.8750000000000001,93,14,6/10,15,5,3,1,6
0.8888888888888888,0.875,0.75,1.0,1,0.8831168831168831,spectral_baseline_6,True,0.9500000000000001,93,6,10/14,9,3,1,0,5
0.6428571428571429,0.6428571428571428,1.0,0.2857142857142857,2,0.5906432748538011,spectral_baseline_6,True,0.7551020408163265,93,10,6/14,14,7,0,5,2
