subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
42,shrinkage_lda,0.8492063492063493,0.8452380952380952,0.8571428571428572,0.8452380952380952,0.011904761904761973,0.84593837535014,0.8421052631578947,0.8823529411764706,0.8095238095238095,15,2,4,17,38,True,participant,True,False
43,shrinkage_lda,0.6875,0.7232142857142857,0.7321428571428572,0.6071428571428572,0.125,0.6867588932806324,0.6888888888888889,0.782608695652174,0.5909090909090909,18,5,9,13,45,False,participant,True,False
43,shrinkage_lda,0.6944444444444443,0.7023809523809523,0.7142857142857143,0.6666666666666666,0.04761904761904767,0.6934210526315789,0.6923076923076923,0.7368421052631579,0.65,14,5,7,13,39,True,participant,True,False
44,shrinkage_lda,0.7172619047619048,0.8035714285714286,0.6875,0.6607142857142857,0.1428571428571429,0.7144268774703557,0.7111111111111111,0.5652173913043478,0.8636363636363636,13,10,3,19,45,False,participant,True,False
44,shrinkage_lda,0.7172619047619048,0.7738095238095238,0.6875,0.6904761904761905,0.08630952380952384,0.7107142857142856,0.7073170731707317,0.5714285714285714,0.85,12,9,3,17,41,True,participant,True,False
45,shrinkage_lda,0.6964285714285715,0.5535714285714286,0.7410714285714286,0.7946428571428572,0.2410714285714286,0.6964285714285714,0.6888888888888889,0.5833333333333334,0.8095238095238095,14,10,4,17,45,False,participant,True,False
45,shrinkage_lda,0.7253968253968254,0.6428571428571428,0.7,0.8333333333333334,0.19047619047619058,0.7063492063492063,0.6875,0.5555555555555556,0.8571428571428571,10,8,2,12,32,True,participant,True,False
46,shrinkage_lda,0.5773809523809524,0.41964285714285715,0.5892857142857143,0.7232142857142857,0.30357142857142855,0.5731225296442688,0.5777777777777777,0.36363636363636365,0.782608695652174,8,14,5,18,45,False,participant,True,False
46,shrinkage_lda,0.4595238095238095,0.5,0.25,0.6285714285714286,0.37857142857142856,0.5111111111111111,0.5833333333333334,0.2222222222222222,0.8,2,7,3,12,24,True,participant,True,False
47,shrinkage_lda,0.3928571428571428,0.5178571428571428,0.3392857142857143,0.3214285714285714,0.1964285714285714,0.39624505928853754,0.4,0.5652173913043478,0.22727272727272727,13,10,17,5,45,False,participant,True,False
47,shrinkage_lda,0.41865079365079366,0.5178571428571428,0.41666666666666663,0.3214285714285714,0.1964285714285714,0.4305555555555556,0.42105263157894735,0.6111111111111112,0.25,11,7,15,5,38,True,participant,True,False
48,shrinkage_lda,0.7678571428571428,0.8571428571428572,0.7232142857142857,0.7232142857142857,0.1339285714285715,0.7678571428571428,0.7777777777777778,0.9166666666666666,0.6190476190476191,22,2,8,13,45,False,participant,True,False
48,shrinkage_lda,0.7333333333333334,0.8,0.75,0.65,0.15000000000000002,0.7316176470588236,0.7272727272727273,0.875,0.5882352941176471,14,2,7,10,33,True,participant,True,False
49,shrinkage_lda,0.5922619047619048,0.5267857142857143,0.5982142857142857,0.6517857142857143,0.125,0.5922619047619048,0.6,0.47619047619047616,0.7083333333333334,10,11,7,17,45,False,participant,True,False
49,shrinkage_lda,0.5912698412698413,0.5714285714285714,0.5982142857142857,0.6041666666666666,0.03273809523809523,0.5945652173913043,0.6046511627906976,0.45,0.7391304347826086,9,11,6,17,43,True,participant,True,False
50,shrinkage_lda,0.5,0.5,0.5,0.5,0.0,0.5,0.5333333333333333,1.0,0.0,24,0,21,0,45,False,participant,True,False
50,shrinkage_lda,0.5,0.5,0.5,0.5,0.0,0.5,0.5135135135135135,1.0,0.0,19,0,18,0,37,True,participant,True,False
51,shrinkage_lda,0.5238095238095238,0.5,0.42857142857142855,0.6428571428571428,0.21428571428571425,0.5238095238095237,0.5238095238095238,0.6666666666666666,0.38095238095238093,14,7,13,8,42,False,participant,True,False
51,shrinkage_lda,0.6694444444444444,0.5,0.7333333333333334,0.775,0.275,0.6961538461538461,0.6956521739130435,0.6923076923076923,0.7,9,4,3,7,23,True,participant,True,False
52,shrinkage_lda,0.6726190476190476,0.6785714285714286,0.6160714285714286,0.7232142857142857,0.1071428571428571,0.6709486166007905,0.6666666666666666,0.8636363636363636,0.4782608695652174,19,3,12,11,45,False,participant,True,False
52,shrinkage_lda,0.6410714285714286,0.6285714285714286,0.6160714285714286,0.6785714285714286,0.0625,0.6390977443609023,0.65,0.8571428571428571,0.42105263157894735,18,3,11,8,40,True,participant,True,False
53,shrinkage_lda,0.49404761904761907,0.2767857142857143,0.6785714285714286,0.5267857142857143,0.4017857142857143,0.48814229249011853,0.4888888888888889,0.5217391304347826,0.45454545454545453,12,11,12,10,45,False,participant,True,False
53,shrinkage_lda,0.4930555555555556,0.2767857142857143,0.6785714285714286,0.5238095238095238,0.4017857142857143,0.487012987012987,0.4883720930232558,0.5454545454545454,0.42857142857142855,12,10,12,9,43,True,participant,True,False
54,shrinkage_lda,0.6309523809523809,0.5803571428571428,0.625,0.6875,0.1071428571428572,0.6294466403162056,0.6222222222222222,0.30434782608695654,0.9545454545454546,7,16,1,21,45,False,participant,True,False
54,shrinkage_lda,0.6309523809523809,0.5535714285714286,0.625,0.7142857142857143,0.1607142857142857,0.6301169590643274,0.6216216216216216,0.3157894736842105,0.9444444444444444,6,13,1,17,37,True,participant,True,False
55,shrinkage_lda,0.5386904761904762,0.5446428571428572,0.6160714285714286,0.45535714285714285,0.16071428571428575,0.5375494071146245,0.5333333333333333,0.34782608695652173,0.7272727272727273,8,15,6,16,45,False,participant,True,False
55,shrinkage_lda,0.5347222222222222,0.5446428571428572,0.6041666666666667,0.45535714285714285,0.1488095238095239,0.531055900621118,0.5227272727272727,0.34782608695652173,0.7142857142857143,8,15,6,15,44,True,participant,True,False
56,shrinkage_lda,0.5744047619047619,0.5625,0.6428571428571428,0.5178571428571428,0.125,0.5701581027667983,0.5777777777777777,0.9130434782608695,0.22727272727272727,21,2,17,5,45,False,participant,True,False
56,shrinkage_lda,0.5853174603174603,0.5714285714285714,0.6428571428571428,0.5416666666666666,0.10119047619047616,0.575,0.575,0.9,0.25,18,2,15,5,40,True,participant,True,False
57,shrinkage_lda,0.5773809523809524,0.5982142857142857,0.4732142857142857,0.6607142857142857,0.1875,0.5790513833992095,0.5777777777777777,0.6363636363636364,0.5217391304347826,14,8,11,12,45,False,participant,True,False
57,shrinkage_lda,0.5932539682539683,0.5982142857142857,0.4732142857142857,0.7083333333333333,0.23511904761904756,0.5909090909090908,0.5909090909090909,0.6363636363636364,0.5454545454545454,14,8,10,12,44,True,participant,True,False
58,shrinkage_lda,0.6220238095238095,0.4375,0.75,0.6785714285714286,0.3125,0.6284584980237153,0.6222222222222222,0.34782608695652173,0.9090909090909091,8,15,2,20,45,False,participant,True,False
58,shrinkage_lda,0.6101190476190477,0.4375,0.7142857142857143,0.6785714285714286,0.2767857142857143,0.6212121212121212,0.627906976744186,0.3333333333333333,0.9090909090909091,7,14,2,20,43,True,participant,True,False
