balanced_accuracy_run_10,balanced_accuracy_run_14,balanced_accuracy_run_6,feet_recall,fists_recall,group_observational_unit,model,pooled_accuracy,pooled_balanced_accuracy,primary_mean_run_balanced_accuracy,subject,target_adaptation_used,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists,zero_shot
0.49107142857142855,0.4375,0.5089285714285714,0.8695652173913043,0.09090909090909091,participant,spectral_baseline_6,0.4888888888888889,0.48023715415019763,0.4791666666666667,68,False,45,20,3,20,2,True
0.5982142857142857,0.6785714285714286,0.875,0.6086956521739131,0.8181818181818182,participant,csp_4_empirical,0.7111111111111111,0.7134387351778657,0.7172619047619048,68,False,45,14,9,4,18,True
0.6607142857142857,0.5982142857142857,0.5357142857142857,0.6521739130434783,0.5454545454545454,participant,spectral_baseline_6,0.6,0.5988142292490118,0.5982142857142857,69,False,45,15,8,10,12,True
0.5,0.5,0.49107142857142855,0.9565217391304348,0.045454545454545456,participant,csp_4_empirical,0.5111111111111111,0.5009881422924901,0.49702380952380953,69,False,45,22,1,21,1,True
0.4107142857142857,0.5357142857142857,0.6785714285714286,0.6363636363636364,0.43478260869565216,participant,spectral_baseline_6,0.5333333333333333,0.5355731225296443,0.5416666666666666,70,False,45,14,8,13,10,True
0.6428571428571428,0.5625,0.6428571428571428,0.22727272727272727,1.0,participant,csp_4_empirical,0.6222222222222222,0.6136363636363636,0.6160714285714285,70,False,45,5,17,0,23,True
0.5357142857142857,0.6517857142857143,0.8660714285714286,0.7727272727272727,0.6086956521739131,participant,spectral_baseline_6,0.6888888888888889,0.6907114624505929,0.6845238095238096,71,False,45,17,5,9,14,True
0.5,0.7142857142857143,0.5,1.0,0.13043478260869565,participant,csp_4_empirical,0.5555555555555556,0.5652173913043478,0.5714285714285715,71,False,45,22,0,20,3,True
0.7142857142857143,0.7857142857142857,0.8571428571428572,1.0,0.5714285714285714,participant,spectral_baseline_6,0.7857142857142857,0.7857142857142857,0.7857142857142857,72,False,42,21,0,9,12,True
0.7142857142857143,1.0,0.9285714285714286,1.0,0.7619047619047619,participant,csp_4_empirical,0.8809523809523809,0.8809523809523809,0.8809523809523809,72,False,42,21,0,5,16,True
0.2857142857142857,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,participant,spectral_baseline_6,0.42857142857142855,0.42857142857142855,0.42857142857142855,73,False,42,12,9,15,6,True
0.5714285714285714,0.5714285714285714,0.8571428571428572,0.3333333333333333,1.0,participant,csp_4_empirical,0.6666666666666666,0.6666666666666666,0.6666666666666666,73,False,42,7,14,0,21,True
0.6428571428571428,0.6428571428571428,0.42857142857142855,0.2857142857142857,0.8571428571428571,participant,spectral_baseline_6,0.5714285714285714,0.5714285714285714,0.5714285714285714,74,False,42,6,15,3,18,True
0.5,0.5,0.42857142857142855,0.9523809523809523,0.0,participant,csp_4_empirical,0.47619047619047616,0.47619047619047616,0.4761904761904762,74,False,42,20,1,21,0,True
0.4017857142857143,0.7232142857142857,0.7321428571428572,0.6666666666666666,0.5714285714285714,participant,spectral_baseline_6,0.6222222222222222,0.6190476190476191,0.6190476190476191,75,False,45,16,8,9,12,True
0.75,0.7410714285714286,0.5535714285714286,0.4583333333333333,0.9047619047619048,participant,csp_4_empirical,0.6666666666666666,0.6815476190476191,0.6815476190476191,75,False,45,11,13,2,19,True
0.6428571428571428,0.35714285714285715,0.5714285714285714,0.6190476190476191,0.42857142857142855,participant,spectral_baseline_6,0.5238095238095238,0.5238095238095238,0.5238095238095238,76,False,42,13,8,12,9,True
0.42857142857142855,0.5714285714285714,0.5,0.38095238095238093,0.6190476190476191,participant,csp_4_empirical,0.5,0.5,0.5,76,False,42,8,13,8,13,True
0.5446428571428572,0.4732142857142857,0.4107142857142857,0.391304347826087,0.5454545454545454,participant,spectral_baseline_6,0.4666666666666667,0.46837944664031617,0.4761904761904762,77,False,45,9,14,10,12,True
0.26785714285714285,0.625,0.5803571428571428,0.6956521739130435,0.2727272727272727,participant,csp_4_empirical,0.4888888888888889,0.4841897233201581,0.49107142857142855,77,False,45,16,7,16,6,True
0.5357142857142857,0.4107142857142857,0.4017857142857143,0.391304347826087,0.5,participant,spectral_baseline_6,0.4444444444444444,0.44565217391304346,0.44940476190476186,78,False,45,9,14,11,11,True
0.5446428571428572,0.5535714285714286,0.5089285714285714,0.2608695652173913,0.8181818181818182,participant,csp_4_empirical,0.5333333333333333,0.5395256916996047,0.5357142857142857,78,False,45,6,17,4,18,True
0.5267857142857143,0.4642857142857143,0.6875,0.5,0.6190476190476191,participant,spectral_baseline_6,0.5555555555555556,0.5595238095238095,0.5595238095238096,79,False,45,12,12,8,13,True
0.39285714285714285,0.6696428571428572,0.4732142857142857,0.5,0.5238095238095238,participant,csp_4_empirical,0.5111111111111111,0.5119047619047619,0.511904761904762,79,False,45,12,12,10,11,True
0.3839285714285714,0.39285714285714285,0.4464285714285714,0.19047619047619047,0.625,participant,spectral_baseline_6,0.4222222222222222,0.40773809523809523,0.4077380952380952,80,False,45,4,17,9,15,True
0.5803571428571428,0.8035714285714286,0.33035714285714285,0.47619047619047616,0.6666666666666666,participant,csp_4_empirical,0.5777777777777777,0.5714285714285714,0.5714285714285714,80,False,45,10,11,8,16,True
0.2857142857142857,0.4464285714285714,0.4464285714285714,0.6956521739130435,0.09090909090909091,participant,spectral_baseline_6,0.4,0.3932806324110672,0.3928571428571428,81,False,45,16,7,20,2,True
0.375,0.7321428571428572,0.6696428571428572,0.4782608695652174,0.7272727272727273,participant,csp_4_empirical,0.6,0.6027667984189724,0.5922619047619048,81,False,45,11,12,6,16,True
0.5625,0.5535714285714286,0.5446428571428572,0.8571428571428571,0.25,participant,spectral_baseline_6,0.5333333333333333,0.5535714285714286,0.5535714285714286,82,False,45,18,3,18,6,True
0.6160714285714286,0.625,0.6875,0.9523809523809523,0.3333333333333333,participant,csp_4_empirical,0.6222222222222222,0.6428571428571428,0.6428571428571429,82,False,45,20,1,16,8,True
0.4732142857142857,0.4107142857142857,0.6696428571428572,0.43478260869565216,0.5909090909090909,participant,spectral_baseline_6,0.5111111111111111,0.5128458498023716,0.5178571428571428,83,False,45,10,13,9,13,True
0.7232142857142857,0.5,0.625,0.9565217391304348,0.2727272727272727,participant,csp_4_empirical,0.6222222222222222,0.6146245059288538,0.6160714285714285,83,False,45,22,1,16,6,True
0.5803571428571428,0.5535714285714286,0.7321428571428572,0.8260869565217391,0.4090909090909091,participant,spectral_baseline_6,0.6222222222222222,0.6175889328063241,0.6220238095238095,84,False,45,19,4,13,9,True
0.5625,0.5892857142857143,0.5535714285714286,0.2608695652173913,0.8636363636363636,participant,csp_4_empirical,0.5555555555555556,0.5622529644268774,0.5684523809523809,84,False,45,6,17,3,19,True
0.6428571428571428,0.6875,0.5535714285714286,0.9545454545454546,0.30434782608695654,participant,spectral_baseline_6,0.6222222222222222,0.6294466403162056,0.6279761904761905,85,False,45,21,1,16,7,True
0.5,0.5,0.5,1.0,0.0,participant,csp_4_empirical,0.4888888888888889,0.5,0.5,85,False,45,22,0,23,0,True
0.6160714285714286,0.6696428571428572,0.5446428571428572,0.4583333333333333,0.7619047619047619,participant,spectral_baseline_6,0.6,0.6101190476190476,0.6101190476190477,86,False,45,11,13,5,16,True
0.5,0.5,0.5,0.0,1.0,participant,csp_4_empirical,0.4666666666666667,0.5,0.5,86,False,45,0,24,0,21,True
0.6696428571428572,0.5982142857142857,0.48214285714285715,0.5,0.6521739130434783,participant,spectral_baseline_6,0.5777777777777777,0.5760869565217391,0.5833333333333334,87,False,45,11,11,8,15,True
