subject,riemannian_balanced_accuracy,historical_model,historical_balanced_accuracy,riemannian_minus_historical,QC_riemannian_minus_historical
81,0.43452380952380953,csp_4_empirical,0.5922619047619048,-0.15773809523809523,-0.15773809523809523
82,0.6041666666666666,csp_4_empirical,0.6428571428571429,-0.038690476190476275,-0.025793650793650924
83,0.6875,csp_4_empirical,0.6160714285714285,0.07142857142857151,0.053571428571428714
84,0.5744047619047619,csp_4_empirical,0.5684523809523809,0.005952380952380931,0.009722222222222188
85,0.5863095238095238,csp_4_empirical,0.5,0.08630952380952384,0.051587301587301515
86,0.7261904761904763,csp_4_empirical,0.5,0.22619047619047628,0.21626984126984128
87,0.5297619047619048,csp_4_empirical,0.5982142857142857,-0.06845238095238093,-0.05218253968253972
89,0.5803571428571428,csp_4_empirical,0.6577380952380952,-0.07738095238095244,-0.11091269841269846
90,0.4761904761904762,csp_4_empirical,0.5595238095238095,-0.08333333333333331,-0.08829365079365076
91,0.6160714285714285,csp_4_empirical,0.6309523809523809,-0.014880952380952439,0.02182539682539686
93,0.7797619047619048,csp_4_empirical,0.9553571428571429,-0.17559523809523814,-0.20178571428571435
94,0.5773809523809524,csp_4_empirical,0.7559523809523809,-0.1785714285714285,-0.1527777777777778
95,0.7559523809523809,csp_4_empirical,0.5505952380952381,0.2053571428571428,0.19940476190476186
96,0.48214285714285715,csp_4_empirical,0.5535714285714285,-0.07142857142857134,-0.06111111111111106
97,0.4226190476190476,csp_4_empirical,0.4166666666666667,0.005952380952380931,0.01091269841269843
98,0.5267857142857143,csp_4_empirical,0.6309523809523809,-0.10416666666666663,-0.07738095238095233
99,0.48809523809523814,csp_4_empirical,0.5357142857142857,-0.04761904761904756,-0.062499999999999944
101,0.6815476190476191,csp_4_empirical,0.5,0.18154761904761907,0.24404761904761907
102,0.5714285714285714,csp_4_empirical,0.5952380952380952,-0.023809523809523836,-0.017857142857142794
103,0.6875,csp_4_empirical,0.5446428571428571,0.1428571428571429,0.08591269841269844
104,0.37202380952380953,csp_4_empirical,0.5833333333333334,-0.21130952380952384,-0.24781746031746038
105,0.49107142857142855,csp_4_empirical,0.7767857142857144,-0.28571428571428586,-0.29067460317460325
106,0.5446428571428571,csp_4_empirical,0.5,0.044642857142857095,0.031746031746031744
107,0.550595238095238,csp_4_empirical,0.5208333333333334,0.029761904761904656,-0.025396825396825418
108,0.5595238095238094,csp_4_empirical,0.5952380952380952,-0.03571428571428581,-0.05059523809523814
109,0.4702380952380952,csp_4_empirical,0.5,-0.029761904761904823,-0.05396825396825394
