subject,task,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_4,fold_balanced_accuracy_run_8,fold_balanced_accuracy_run_12,fold_balanced_accuracy_range,folds_above_chance_count,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_left_recall,out_of_fold_right_recall,out_of_fold_true_left_predicted_left,out_of_fold_true_left_predicted_right,out_of_fold_true_right_predicted_left,out_of_fold_true_right_predicted_right,out_of_fold_trial_count,included_trial_count,group_observational_unit
76,left_vs_right_fist_imagery,spectral_baseline_6,True,0.1722222222222222,0.08333333333333333,0.16666666666666666,0.26666666666666666,0.18333333333333335,0,0.1801470588235294,0.18181818181818182,0.17880184331797233,0.11029411764705883,0.23529411764705882,0.125,4,13,14,2,33,33,participant
76,left_vs_right_fist_imagery,csp_4_empirical,False,0.4285714285714286,0.4285714285714286,0.5,0.35714285714285715,0.14285714285714285,0,0.42857142857142855,0.42857142857142855,0.3942307692307692,0.36507936507936506,0.19047619047619047,0.6666666666666666,4,17,7,14,42,42,participant
76,left_vs_right_fist_imagery,csp_4_empirical,True,0.4444444444444444,0.5,0.41666666666666663,0.4166666666666667,0.08333333333333337,0,0.4319852941176471,0.42424242424242425,0.3882926829268293,0.32720588235294124,0.17647058823529413,0.6875,3,14,5,11,33,33,participant
77,left_vs_right_fist_imagery,spectral_baseline_6,False,0.49107142857142855,0.4732142857142857,0.5178571428571428,0.48214285714285715,0.044642857142857095,1,0.4910714285714286,0.4888888888888889,0.4888888888888889,0.5257936507936508,0.5238095238095238,0.4583333333333333,11,10,13,11,45,45,participant
77,left_vs_right_fist_imagery,spectral_baseline_6,True,0.6029761904761904,0.4875,0.5714285714285714,0.75,0.2625,2,0.5881642512077294,0.5853658536585366,0.5843768634466309,0.5410628019323671,0.6111111111111112,0.5652173913043478,11,7,10,13,41,41,participant
77,left_vs_right_fist_imagery,csp_4_empirical,False,0.40178571428571425,0.5625,0.33035714285714285,0.3125,0.25,1,0.4017857142857143,0.4,0.4,0.35714285714285715,0.42857142857142855,0.375,9,12,15,9,45,45,participant
77,left_vs_right_fist_imagery,csp_4_empirical,True,0.39384920634920634,0.5,0.2857142857142857,0.3958333333333333,0.2142857142857143,0,0.3683574879227053,0.36585365853658536,0.36547619047619045,0.39371980676328505,0.3888888888888889,0.34782608695652173,7,11,15,8,41,41,participant
78,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5565476190476191,0.6696428571428572,0.5267857142857143,0.4732142857142857,0.1964285714285715,2,0.5573122529644269,0.5555555555555556,0.5535714285714286,0.5731225296442688,0.4782608695652174,0.6363636363636364,11,12,8,14,45,45,participant
78,left_vs_right_fist_imagery,spectral_baseline_6,True,0.6200396825396824,0.7,0.5267857142857143,0.6333333333333333,0.17321428571428565,3,0.6068111455108359,0.6111111111111112,0.60625,0.6687306501547987,0.5294117647058824,0.6842105263157895,9,8,6,13,36,36,participant
78,left_vs_right_fist_imagery,csp_4_empirical,False,0.5982142857142857,0.5892857142857143,0.5803571428571428,0.625,0.044642857142857206,3,0.6037549407114624,0.6,0.590080971659919,0.6067193675889329,0.43478260869565216,0.7727272727272727,10,13,5,17,45,45,participant
78,left_vs_right_fist_imagery,csp_4_empirical,True,0.48134920634920636,0.6,0.4107142857142857,0.43333333333333335,0.18928571428571428,1,0.47213622291021673,0.4722222222222222,0.47181467181467185,0.47678018575851394,0.47058823529411764,0.47368421052631576,8,9,10,9,36,36,participant
79,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5714285714285715,0.5267857142857143,0.5357142857142857,0.6517857142857143,0.125,3,0.5770750988142292,0.5777777777777777,0.5769421078673924,0.6620553359683794,0.5454545454545454,0.6086956521739131,12,10,9,14,45,45,participant
