subject,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_6,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,folds_above_chance_count,fold_balanced_accuracy_range,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_fists_recall,out_of_fold_feet_recall,out_of_fold_true_fists_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_feet_predicted_feet,out_of_fold_trial_count,qc_candidate_count,included_trial_count,group_observational_unit
9,spectral_baseline_9,False,0.5059523809523809,0.5982142857142857,0.45535714285714285,0.4642857142857143,1,0.14285714285714285,0.5098814229249011,0.5111111111111111,0.5089285714285714,0.5889328063241107,0.5652173913043478,0.45454545454545453,13,10,12,10,45,2,45,participant
9,spectral_baseline_9,True,0.5545634920634921,0.6190476190476191,0.5089285714285714,0.5357142857142857,3,0.11011904761904767,0.5616883116883117,0.5581395348837209,0.5493656922228352,0.5692640692640693,0.7142857142857143,0.4090909090909091,15,6,13,9,43,2,43,participant
9,csp_4_empirical,False,0.6339285714285713,0.6428571428571428,0.6607142857142857,0.5982142857142857,3,0.0625,0.6413043478260869,0.6444444444444445,0.6356275303643725,0.7252964426877471,0.782608695652174,0.5,18,5,11,11,45,2,45,participant
9,csp_4_empirical,True,0.6071428571428571,0.6428571428571428,0.6071428571428572,0.5714285714285714,3,0.0714285714285714,0.6028138528138528,0.6046511627906976,0.6012002182214948,0.6991341991341992,0.5238095238095238,0.6818181818181818,11,10,7,15,43,2,43,participant
9,csp_4_ledoit_wolf,False,0.6041666666666666,0.6428571428571428,0.6428571428571428,0.5267857142857143,3,0.11607142857142849,0.6175889328063241,0.6222222222222222,0.6025974025974026,0.6897233201581028,0.8260869565217391,0.4090909090909091,19,4,13,9,45,2,45,participant
9,csp_4_ledoit_wolf,True,0.5803571428571428,0.6428571428571428,0.5982142857142857,0.5,2,0.1428571428571428,0.5649350649350648,0.5581395348837209,0.5208211143695014,0.6796536796536796,0.8571428571428571,0.2727272727272727,18,3,16,6,43,2,43,participant
9,csp_6_ledoit_wolf,False,0.5446428571428571,0.5714285714285714,0.5267857142857143,0.5357142857142857,3,0.044642857142857095,0.5513833992094861,0.5555555555555556,0.537037037037037,0.6442687747035574,0.7391304347826086,0.36363636363636365,17,6,14,8,45,2,45,participant
9,csp_6_ledoit_wolf,True,0.5297619047619048,0.5714285714285714,0.4464285714285714,0.5714285714285714,2,0.125,0.5367965367965368,0.5348837209302325,0.5326086956521738,0.5865800865800865,0.6190476190476191,0.45454545454545453,13,8,12,10,43,2,43,participant
10,spectral_baseline_6,False,0.7351190476190476,0.8035714285714286,0.75,0.6517857142857143,3,0.1517857142857143,0.733201581027668,0.7333333333333333,0.733201581027668,0.7707509881422925,0.7391304347826086,0.7272727272727273,17,6,6,16,45,10,45,participant
10,spectral_baseline_6,True,0.6740079365079366,0.8333333333333333,0.5428571428571429,0.6458333333333333,3,0.29047619047619033,0.630718954248366,0.6285714285714286,0.6273546273546273,0.7320261437908496,0.5555555555555556,0.7058823529411765,10,8,5,12,35,10,35,participant
10,spectral_baseline_9,False,0.7113095238095238,0.8035714285714286,0.7410714285714286,0.5892857142857143,3,0.2142857142857143,0.7104743083003953,0.7111111111111111,0.7105393369619001,0.7411067193675889,0.7391304347826086,0.6818181818181818,17,6,7,15,45,10,45,participant
10,spectral_baseline_9,True,0.6978174603174603,0.8333333333333333,0.6142857142857143,0.6458333333333333,3,0.21904761904761894,0.6584967320261439,0.6571428571428571,0.6568627450980392,0.7450980392156863,0.6111111111111112,0.7058823529411765,11,7,5,12,35,10,35,participant
10,csp_4_empirical,False,0.6815476190476191,0.5714285714285714,0.75,0.7232142857142857,3,0.1785714285714286,0.6926877470355731,0.6888888888888889,0.6811740890688258,0.8043478260869565,0.5217391304347826,0.8636363636363636,12,11,3,19,45,10,45,participant
10,csp_4_empirical,True,0.8373015873015873,0.6666666666666666,0.9285714285714286,0.9166666666666667,3,0.261904761904762,0.8872549019607843,0.8857142857142857,0.8856209150326797,0.9084967320261439,0.8333333333333334,0.9411764705882353,15,3,1,16,35,10,35,participant
10,csp_4_ledoit_wolf,False,0.6815476190476191,0.5714285714285714,0.75,0.7232142857142857,3,0.1785714285714286,0.6926877470355731,0.6888888888888889,0.6811740890688258,0.8043478260869565,0.5217391304347826,0.8636363636363636,12,11,3,19,45,10,45,participant
10,csp_4_ledoit_wolf,True,0.8134920634920636,0.6666666666666666,0.8571428571428572,0.9166666666666667,3,0.2500000000000001,0.8594771241830066,0.8571428571428571,0.8566748566748568,0.9052287581699346,0.7777777777777778,0.9411764705882353,14,4,1,16,35,10,35,participant
10,csp_6_ledoit_wolf,False,0.6815476190476191,0.5714285714285714,0.75,0.7232142857142857,3,0.1785714285714286,0.6926877470355731,0.6888888888888889,0.6811740890688258,0.7924901185770751,0.5217391304347826,0.8636363636363636,12,11,3,19,45,10,45,participant
10,csp_6_ledoit_wolf,True,0.7817460317460317,0.5,0.9285714285714286,0.9166666666666667,2,0.4285714285714286,0.8594771241830066,0.8571428571428571,0.8566748566748568,0.8856209150326797,0.7777777777777778,0.9411764705882353,14,4,1,16,35,10,35,participant
11,spectral_baseline_6,False,0.3363095238095238,0.39285714285714285,0.26785714285714285,0.3482142857142857,0,0.125,0.3359683794466403,0.3333333333333333,0.325,0.23715415019762845,0.45454545454545453,0.21739130434782608,10,12,18,5,45,1,45,participant
11,spectral_baseline_6,True,0.2976190476190476,0.39285714285714285,0.2857142857142857,0.21428571428571427,0,0.17857142857142858,0.29545454545454547,0.29545454545454547,0.28623757195185767,0.23760330578512395,0.4090909090909091,0.18181818181818182,9,13,18,4,44,1,44,participant
11,spectral_baseline_9,False,0.3511904761904762,0.39285714285714285,0.26785714285714285,0.39285714285714285,0,0.125,0.3557312252964427,0.35555555555555557,0.35555555555555557,0.2964426877470356,0.36363636363636365,0.34782608695652173,8,14,15,8,45,1,45,participant
11,spectral_baseline_9,True,0.3333333333333333,0.3214285714285714,0.2857142857142857,0.39285714285714285,0,0.10714285714285715,0.34090909090909094,0.3409090909090909,0.3405684754521964,0.2871900826446281,0.36363636363636365,0.3181818181818182,8,14,15,7,44,1,44,participant
11,csp_4_empirical,False,0.5565476190476191,0.5,0.45535714285714285,0.7142857142857143,1,0.25892857142857145,0.5780632411067194,0.5777777777777777,0.5777777777777777,0.567193675889328,0.5909090909090909,0.5652173913043478,13,9,10,13,45,1,45,participant
11,csp_4_empirical,True,0.5267857142857143,0.5,0.42857142857142855,0.6517857142857143,1,0.22321428571428575,0.5454545454545454,0.5454545454545454,0.5445134575569358,0.5557851239669422,0.5909090909090909,0.5,13,9,11,11,44,1,44,participant
11,csp_4_ledoit_wolf,False,0.5565476190476191,0.5,0.45535714285714285,0.7142857142857143,1,0.25892857142857145,0.5780632411067194,0.5777777777777777,0.5777777777777777,0.5691699604743083,0.5909090909090909,0.5652173913043478,13,9,10,13,45,1,45,participant
11,csp_4_ledoit_wolf,True,0.5267857142857143,0.5,0.42857142857142855,0.6517857142857143,1,0.22321428571428575,0.5454545454545454,0.5454545454545454,0.5445134575569358,0.5557851239669421,0.5909090909090909,0.5,13,9,11,11,44,1,44,participant
11,csp_6_ledoit_wolf,False,0.5357142857142857,0.5,0.3839285714285714,0.7232142857142857,1,0.3392857142857143,0.5563241106719368,0.5555555555555556,0.5553359683794465,0.5810276679841897,0.5909090909090909,0.5217391304347826,13,9,11,12,45,1,45,participant
11,csp_6_ledoit_wolf,True,0.5059523809523809,0.5,0.3571428571428571,0.6607142857142857,1,0.3035714285714286,0.5227272727272727,0.5227272727272727,0.5204981837052414,0.5619834710743801,0.5909090909090909,0.45454545454545453,13,9,12,10,44,1,44,participant
12,spectral_baseline_6,False,0.38095238095238093,0.2589285714285714,0.5446428571428572,0.3392857142857143,1,0.2857142857142858,0.37747035573122534,0.37777777777777777,0.37747035573122534,0.3201581027667984,0.36363636363636365,0.391304347826087,8,14,14,9,45,4,45,participant
12,spectral_baseline_6,True,0.28373015873015867,0.1875,0.39285714285714285,0.2708333333333333,0,0.20535714285714285,0.294047619047619,0.2926829268292683,0.2909958258795468,0.26904761904761904,0.23809523809523808,0.35,5,16,13,7,41,4,41,participant
12,spectral_baseline_9,False,0.49107142857142855,0.4017857142857143,0.5982142857142857,0.4732142857142857,1,0.1964285714285714,0.48814229249011853,0.4888888888888889,0.48787728847105394,0.4822134387351779,0.45454545454545453,0.5217391304347826,10,12,11,12,45,4,45,participant
12,spectral_baseline_9,True,0.4503968253968254,0.35416666666666663,0.5595238095238095,0.4375,1,0.2053571428571429,0.44166666666666665,0.43902439024390244,0.4336336336336336,0.4666666666666666,0.3333333333333333,0.55,7,14,9,11,41,4,41,participant
12,csp_4_empirical,False,0.8392857142857143,0.6517857142857143,0.9285714285714286,0.9375,3,0.2857142857142857,0.841897233201581,0.8444444444444444,0.8416289592760181,0.9367588932806324,0.7272727272727273,0.9565217391304348,16,6,1,22,45,4,45,participant
12,csp_4_empirical,True,0.7152777777777777,0.6041666666666666,1.0,0.5416666666666667,3,0.45833333333333326,0.7119047619047619,0.7073170731707317,0.6985294117647058,0.8642857142857143,0.5238095238095238,0.9,11,10,2,18,41,4,41,participant
12,csp_4_ledoit_wolf,False,0.7767857142857143,0.6517857142857143,0.9285714285714286,0.75,3,0.2767857142857143,0.7737154150197629,0.7777777777777778,0.7685185185185185,0.9328063241106719,0.5909090909090909,0.9565217391304348,13,9,1,22,45,4,45,participant
12,csp_4_ledoit_wolf,True,0.8472222222222222,0.6041666666666666,1.0,0.9375,3,0.39583333333333337,0.8559523809523809,0.8536585365853658,0.8528708133971292,0.8690476190476191,0.7619047619047619,0.95,16,5,1,19,41,4,41,participant
12,csp_6_ledoit_wolf,False,0.8690476190476191,0.7946428571428572,1.0,0.8125,3,0.2053571428571428,0.8646245059288538,0.8666666666666667,0.865,0.9466403162055336,0.7727272727272727,0.9565217391304348,17,5,1,22,45,4,45,participant
12,csp_6_ledoit_wolf,True,0.8263888888888888,0.6041666666666666,1.0,0.875,3,0.39583333333333337,0.8321428571428571,0.8292682926829268,0.8276276276276276,0.8690476190476191,0.7142857142857143,0.95,15,6,1,19,41,4,41,participant
13,spectral_baseline_6,False,0.6190476190476191,0.6607142857142857,0.5982142857142857,0.5982142857142857,3,0.0625,0.6225296442687747,0.6222222222222222,0.6222222222222222,0.5909090909090909,0.6363636363636364,0.6086956521739131,14,8,9,14,45,7,45,participant
13,spectral_baseline_6,True,0.5880952380952381,0.675,0.5,0.5892857142857143,2,0.17500000000000004,0.5742296918767507,0.5789473684210527,0.5742296918767507,0.5854341736694678,0.5294117647058824,0.6190476190476191,9,8,8,13,38,7,38,participant
13,spectral_baseline_9,False,0.5148809523809524,0.4732142857142857,0.4732142857142857,0.5982142857142857,1,0.125,0.5108695652173914,0.5111111111111111,0.5108695652173914,0.624505928853755,0.5,0.5217391304347826,11,11,11,12,45,7,45,participant
13,spectral_baseline_9,True,0.5950396825396825,0.675,0.5833333333333333,0.5267857142857143,3,0.14821428571428574,0.5798319327731092,0.5789473684210527,0.5777777777777777,0.5966386554621849,0.5882352941176471,0.5714285714285714,10,7,9,12,38,7,38,participant
13,csp_4_empirical,False,0.7708333333333334,0.8035714285714286,0.7142857142857143,0.7946428571428572,3,0.0892857142857143,0.7747035573122529,0.7777777777777778,0.7722672064777327,0.8063241106719368,0.6363636363636364,0.9130434782608695,14,8,2,21,45,7,45,participant
13,csp_4_empirical,True,0.8521825396825397,1.0,0.8333333333333333,0.7232142857142857,3,0.2767857142857143,0.8291316526610644,0.8421052631578947,0.8347826086956522,0.8739495798319328,0.7058823529411765,0.9523809523809523,12,5,1,20,38,7,38,participant
13,csp_4_ledoit_wolf,False,0.7440476190476191,0.8035714285714286,0.6428571428571428,0.7857142857142857,3,0.1607142857142858,0.7509881422924901,0.7555555555555555,0.7428571428571429,0.790513833992095,0.5454545454545454,0.9565217391304348,12,10,1,22,45,7,45,participant
13,csp_4_ledoit_wolf,True,0.7757936507936507,1.0,0.6666666666666666,0.6607142857142857,3,0.3392857142857143,0.7464985994397759,0.7631578947368421,0.7490829053558328,0.8683473389355743,0.5882352941176471,0.9047619047619048,10,7,2,19,38,7,38,participant
13,csp_6_ledoit_wolf,False,0.6577380952380952,0.7321428571428572,0.6428571428571428,0.5982142857142857,3,0.1339285714285715,0.6640316205533596,0.6666666666666666,0.660633484162896,0.7747035573122529,0.5454545454545454,0.782608695652174,12,10,5,18,45,7,45,participant
13,csp_6_ledoit_wolf,True,0.6825396825396827,0.75,0.5833333333333334,0.7142857142857143,3,0.16666666666666663,0.6764705882352942,0.7105263157894737,0.6570959803117309,0.8487394957983194,0.35294117647058826,1.0,6,11,0,21,38,7,38,participant
14,spectral_baseline_6,False,0.4136904761904761,0.2767857142857143,0.5803571428571428,0.3839285714285714,1,0.3035714285714285,0.41369047619047616,0.4222222222222222,0.40789473684210525,0.373015873015873,0.5416666666666666,0.2857142857142857,13,11,15,6,45,10,45,participant
14,spectral_baseline_6,True,0.3446428571428572,0.07142857142857142,0.5625,0.4,1,0.4910714285714286,0.31666666666666665,0.34285714285714286,0.30663221360895776,0.22000000000000003,0.5,0.13333333333333333,10,10,13,2,35,10,35,participant
14,spectral_baseline_9,False,0.44345238095238093,0.2767857142857143,0.5892857142857143,0.4642857142857143,1,0.3125,0.44345238095238093,0.4444444444444444,0.44334487877288475,0.4087301587301587,0.4583333333333333,0.42857142857142855,11,13,12,9,45,10,45,participant
14,spectral_baseline_9,True,0.3365079365079365,0.14285714285714285,0.5,0.3666666666666667,0,0.35714285714285715,0.33333333333333337,0.34285714285714286,0.33416046319272125,0.3066666666666667,0.4,0.26666666666666666,8,12,11,4,35,10,35,participant
14,csp_4_empirical,False,0.5684523809523809,0.7321428571428572,0.3839285714285714,0.5892857142857143,2,0.3482142857142858,0.5684523809523809,0.5777777777777777,0.5639979602243753,0.6091269841269842,0.7083333333333334,0.42857142857142855,17,7,12,9,45,10,45,participant
14,csp_4_empirical,True,0.5736111111111111,0.7,0.4375,0.5833333333333334,2,0.26249999999999996,0.5583333333333333,0.6,0.5359848484848485,0.6466666666666666,0.85,0.26666666666666666,17,3,11,4,35,10,35,participant
14,csp_4_ledoit_wolf,False,0.5952380952380952,0.6696428571428572,0.45535714285714285,0.6607142857142857,2,0.21428571428571436,0.5952380952380952,0.6,0.595,0.6170634920634921,0.6666666666666666,0.5238095238095238,16,8,10,11,45,10,45,participant
