subject,method,calibration_size,qc_sensitivity,primary_mean_test_run_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,trial_prediction_appearances,group_observational_unit
42,threshold,8,False,0.9791666666666666,0.9777777777777777,0.9583333333333334,1.0,90,participant
42,threshold,8,True,0.9722222222222223,0.9736842105263158,0.9411764705882353,1.0,76,participant
42,threshold,12,False,0.9791666666666666,0.9777777777777777,0.9583333333333334,1.0,90,participant
42,threshold,12,True,0.9722222222222223,0.9736842105263158,0.9411764705882353,1.0,76,participant
42,threshold,14,False,0.9672619047619048,0.9666666666666667,0.9583333333333334,0.9761904761904762,90,participant
42,threshold,14,True,0.9603174603174603,0.9605263157894737,0.9411764705882353,0.9761904761904762,76,participant
43,threshold,0,False,0.6369047619047619,0.6444444444444445,1.0,0.2727272727272727,90,participant
43,threshold,0,True,0.6507936507936507,0.6410256410256411,1.0,0.3,78,participant
43,threshold,4,False,0.7261904761904763,0.7222222222222222,0.8478260869565217,0.5909090909090909,90,participant
43,threshold,4,True,0.744047619047619,0.7435897435897436,0.868421052631579,0.625,78,participant
43,threshold,8,False,0.7261904761904763,0.7222222222222222,0.8478260869565217,0.5909090909090909,90,participant
43,threshold,8,True,0.744047619047619,0.7435897435897436,0.868421052631579,0.625,78,participant
43,threshold,12,False,0.7604166666666669,0.7555555555555555,0.717391304347826,0.7954545454545454,90,participant
43,threshold,12,True,0.7797619047619048,0.782051282051282,0.7631578947368421,0.8,78,participant
43,threshold,14,False,0.7604166666666669,0.7555555555555555,0.717391304347826,0.7954545454545454,90,participant
43,threshold,14,True,0.7797619047619048,0.782051282051282,0.7631578947368421,0.8,78,participant
44,threshold,0,False,0.7113095238095237,0.7111111111111111,0.8260869565217391,0.5909090909090909,90,participant
44,threshold,0,True,0.7053571428571429,0.7073170731707317,0.8095238095238095,0.6,82,participant
44,threshold,4,False,0.6979166666666666,0.7,0.8913043478260869,0.5,90,participant
44,threshold,4,True,0.6894841269841271,0.6951219512195121,0.8809523809523809,0.5,82,participant
44,threshold,8,False,0.7202380952380952,0.7222222222222222,0.9565217391304348,0.4772727272727273,90,participant
44,threshold,8,True,0.7152777777777777,0.7195121951219512,0.9523809523809523,0.475,82,participant
44,threshold,12,False,0.7202380952380952,0.7222222222222222,0.9565217391304348,0.4772727272727273,90,participant
44,threshold,12,True,0.7152777777777777,0.7195121951219512,0.9523809523809523,0.475,82,participant
44,threshold,14,False,0.71875,0.7111111111111111,0.8043478260869565,0.6136363636363636,90,participant
44,threshold,14,True,0.7033730158730158,0.6951219512195121,0.7857142857142857,0.6,82,participant
45,threshold,0,False,0.5625,0.5777777777777777,0.7916666666666666,0.3333333333333333,90,participant
45,threshold,0,True,0.5476190476190476,0.5,0.7222222222222222,0.21428571428571427,64,participant
45,threshold,4,False,0.5208333333333334,0.5222222222222223,0.5416666666666666,0.5,90,participant
45,threshold,4,True,0.5119047619047619,0.453125,0.5,0.39285714285714285,64,participant
45,threshold,8,False,0.5119047619047619,0.5111111111111111,0.5,0.5238095238095238,90,participant
45,threshold,8,True,0.5119047619047619,0.453125,0.4722222222222222,0.42857142857142855,64,participant
45,threshold,12,False,0.5119047619047619,0.5111111111111111,0.5,0.5238095238095238,90,participant
45,threshold,12,True,0.5119047619047619,0.453125,0.4722222222222222,0.42857142857142855,64,participant
45,threshold,14,False,0.5119047619047619,0.5111111111111111,0.5,0.5238095238095238,90,participant
45,threshold,14,True,0.5119047619047619,0.453125,0.4722222222222222,0.42857142857142855,64,participant
46,threshold,0,False,0.5982142857142857,0.6,0.5454545454545454,0.6521739130434783,90,participant
46,threshold,0,True,0.5511904761904761,0.5833333333333334,0.3333333333333333,0.7333333333333333,48,participant
46,threshold,4,False,0.5565476190476191,0.5555555555555556,0.6590909090909091,0.45652173913043476,90,participant
46,threshold,4,True,0.5303571428571429,0.5208333333333334,0.4444444444444444,0.5666666666666667,48,participant
46,threshold,8,False,0.5565476190476191,0.5555555555555556,0.6590909090909091,0.45652173913043476,90,participant
46,threshold,8,True,0.5303571428571429,0.5208333333333334,0.4444444444444444,0.5666666666666667,48,participant
46,threshold,12,False,0.5758928571428572,0.5777777777777777,0.5681818181818182,0.5869565217391305,90,participant
46,threshold,12,True,0.48392857142857143,0.5208333333333334,0.2777777777777778,0.6666666666666666,48,participant
46,threshold,14,False,0.5758928571428572,0.5777777777777777,0.5681818181818182,0.5869565217391305,90,participant
46,threshold,14,True,0.48392857142857143,0.5208333333333334,0.2777777777777778,0.6666666666666666,48,participant
47,threshold,0,False,0.49702380952380953,0.5111111111111111,0.8695652173913043,0.13636363636363635,90,participant
47,threshold,0,True,0.5793650793650794,0.5526315789473685,1.0,0.15,76,participant
47,threshold,4,False,0.46577380952380953,0.4777777777777778,0.8913043478260869,0.045454545454545456,90,participant
47,threshold,4,True,0.5138888888888888,0.4868421052631579,0.9722222222222222,0.05,76,participant
47,threshold,8,False,0.44196428571428575,0.45555555555555555,0.5434782608695652,0.36363636363636365,90,participant
47,threshold,8,True,0.4494047619047619,0.47368421052631576,0.5833333333333334,0.375,76,participant
47,threshold,12,False,0.45089285714285704,0.4444444444444444,0.2391304347826087,0.6590909090909091,90,participant
47,threshold,12,True,0.4513888888888889,0.47368421052631576,0.2222222222222222,0.7,76,participant
47,threshold,14,False,0.45089285714285704,0.4444444444444444,0.2391304347826087,0.6590909090909091,90,participant
47,threshold,14,True,0.4513888888888889,0.47368421052631576,0.2222222222222222,0.7,76,participant
48,threshold,0,False,0.4791666666666667,0.5111111111111111,0.9583333333333334,0.0,90,participant
48,threshold,0,True,0.47222222222222227,0.45454545454545453,0.9375,0.0,66,participant
48,threshold,4,False,0.6815476190476191,0.6888888888888889,0.7916666666666666,0.5714285714285714,90,participant
48,threshold,4,True,0.6777777777777777,0.6666666666666666,0.8125,0.5294117647058824,66,participant
48,threshold,8,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,90,participant
48,threshold,8,True,0.6555555555555554,0.6515151515151515,0.65625,0.6470588235294118,66,participant
48,threshold,12,False,0.6726190476190478,0.6666666666666666,0.5833333333333334,0.7619047619047619,90,participant
48,threshold,12,True,0.6972222222222223,0.696969696969697,0.625,0.7647058823529411,66,participant
48,threshold,14,False,0.6726190476190478,0.6666666666666666,0.5833333333333334,0.7619047619047619,90,participant
48,threshold,14,True,0.6972222222222223,0.696969696969697,0.625,0.7647058823529411,66,participant
49,threshold,0,False,0.5029761904761905,0.5333333333333333,0.047619047619047616,0.9583333333333334,90,participant
49,threshold,0,True,0.5,0.5348837209302325,0.05,0.9565217391304348,86,participant
