subject,method,similarity_run_6_vs_10,similarity_run_6_vs_14,similarity_run_10_vs_14,mean_pairwise_subspace_similarity,minimum_pairwise_subspace_similarity,sign_order_and_rotation_invariant,analysis_role
45,target_csp_ledoit_wolf,0.22504513012567035,0.2109311574550039,0.18247300993309584,0.20614976583792335,0.18247300993309584,True,post_primary_exploratory_stability
46,target_csp_ledoit_wolf,0.17085434582562145,0.10111494482225619,0.13464534100732,0.13553821055173257,0.10111494482225619,True,post_primary_exploratory_stability
47,target_csp_ledoit_wolf,0.04303625722579321,0.12319426787241113,0.1080533404458539,0.09142795518135276,0.04303625722579321,True,post_primary_exploratory_stability
48,target_csp_ledoit_wolf,0.2796823232241419,0.2634149136412224,0.23336417558779196,0.25882047081771875,0.23336417558779196,True,post_primary_exploratory_stability
49,target_csp_ledoit_wolf,0.04168871984568154,0.06409080771112012,0.10435423610519434,0.07004458788733199,0.04168871984568154,True,post_primary_exploratory_stability
50,target_csp_ledoit_wolf,0.1532210775463554,0.10899191419402346,0.14441929028736272,0.1355440940092472,0.10899191419402346,True,post_primary_exploratory_stability
51,target_csp_ledoit_wolf,0.3395999320793043,0.13295865112606617,0.35402763550442706,0.2755287395699325,0.13295865112606617,True,post_primary_exploratory_stability
52,target_csp_ledoit_wolf,0.15851267420406176,0.22283023758635515,0.10806991173951613,0.16313760784331102,0.10806991173951613,True,post_primary_exploratory_stability
53,target_csp_ledoit_wolf,0.1362510927743713,0.10426902261801133,0.06335046988482797,0.10129019509240354,0.06335046988482797,True,post_primary_exploratory_stability
54,target_csp_ledoit_wolf,0.17959833741208497,0.14321335531366375,0.19200098941735264,0.17160422738103379,0.14321335531366375,True,post_primary_exploratory_stability
55,target_csp_ledoit_wolf,0.22127693149437253,0.10490736148533925,0.21638621518496248,0.18085683605489142,0.10490736148533925,True,post_primary_exploratory_stability
56,target_csp_ledoit_wolf,0.22931659335940457,0.18650900455449415,0.25176380921656083,0.22252980237681985,0.18650900455449415,True,post_primary_exploratory_stability
57,target_csp_ledoit_wolf,0.07257951245781877,0.11975273482039703,0.10418013934084908,0.09883746220635496,0.07257951245781877,True,post_primary_exploratory_stability
58,target_csp_ledoit_wolf,0.20847096960633382,0.1495275598960692,0.20895420065135298,0.18898424338458533,0.1495275598960692,True,post_primary_exploratory_stability
59,target_csp_ledoit_wolf,0.23001021133856972,0.06178475111984424,0.21866027097676421,0.17015174447839274,0.06178475111984424,True,post_primary_exploratory_stability
60,target_csp_ledoit_wolf,0.1409785307410625,0.2809520663618359,0.24307401751914093,0.2216682048740131,0.1409785307410625,True,post_primary_exploratory_stability
61,target_csp_ledoit_wolf,0.18891820228244538,0.14129281601449964,0.07481398477784489,0.1350083343582633,0.07481398477784489,True,post_primary_exploratory_stability
62,target_csp_ledoit_wolf,0.22150295463105996,0.09298735090279486,0.26143441828842257,0.1919749079407591,0.09298735090279486,True,post_primary_exploratory_stability
63,target_csp_ledoit_wolf,0.08637140046664558,0.06106073431677307,0.0562845709101685,0.06790556856452905,0.0562845709101685,True,post_primary_exploratory_stability
64,target_csp_ledoit_wolf,0.09828356834695673,0.09794878850532898,0.0779369444573157,0.09138976710320046,0.0779369444573157,True,post_primary_exploratory_stability
65,target_csp_ledoit_wolf,0.10427799236818652,0.1128556891202891,0.1294470632409182,0.11552691490979794,0.10427799236818652,True,post_primary_exploratory_stability
66,target_csp_ledoit_wolf,0.11170232862170745,0.0796174419103706,0.15719051050140964,0.11617009367782923,0.0796174419103706,True,post_primary_exploratory_stability
67,target_csp_ledoit_wolf,0.07393423428949421,0.09829271595473071,0.12932060577016566,0.10051585200479685,0.07393423428949421,True,post_primary_exploratory_stability
68,target_csp_ledoit_wolf,0.07202259364405168,0.08918327407248433,0.17043031571834089,0.1105453944782923,0.07202259364405168,True,post_primary_exploratory_stability
69,target_csp_ledoit_wolf,0.09399286251803853,0.20407383163101858,0.16701819823919528,0.1550282974627508,0.09399286251803853,True,post_primary_exploratory_stability
70,target_csp_ledoit_wolf,0.1303948171888712,0.12825863505116583,0.15987048052058445,0.1395079775868738,0.12825863505116583,True,post_primary_exploratory_stability
71,target_csp_ledoit_wolf,0.1984046139582148,0.1617069201530916,0.3519026024589299,0.2373380455234121,0.1617069201530916,True,post_primary_exploratory_stability
72,target_csp_ledoit_wolf,0.19805378124655487,0.45637415731316455,0.21142696888974113,0.2886183024831535,0.19805378124655487,True,post_primary_exploratory_stability
73,target_csp_ledoit_wolf,0.13779029326022235,0.0641250407844124,0.13289780621710803,0.1116043800872476,0.0641250407844124,True,post_primary_exploratory_stability
74,target_csp_ledoit_wolf,0.06210693056107362,0.05705324339001715,0.04608645925476616,0.05508221106861897,0.04608645925476616,True,post_primary_exploratory_stability
75,target_csp_ledoit_wolf,0.10870315247443887,0.32872662835581756,0.03949617803570267,0.15897531962198636,0.03949617803570267,True,post_primary_exploratory_stability
76,target_csp_ledoit_wolf,0.13824686194070507,0.0939652472988328,0.07620242164123689,0.10280484362692492,0.07620242164123689,True,post_primary_exploratory_stability
77,target_csp_ledoit_wolf,0.1287668466594909,0.08537029663657333,0.08731908294396008,0.10048540874667478,0.08537029663657333,True,post_primary_exploratory_stability
78,target_csp_ledoit_wolf,0.1269030486472785,0.10942042514257554,0.10503337267244786,0.11378561548743397,0.10503337267244786,True,post_primary_exploratory_stability
79,target_csp_ledoit_wolf,0.230076052290617,0.29214299178172115,0.1782658203820676,0.2334949548181353,0.1782658203820676,True,post_primary_exploratory_stability
80,target_csp_ledoit_wolf,0.10684656322446273,0.1181844489840623,0.07125497855240874,0.09876199692031125,0.07125497855240874,True,post_primary_exploratory_stability
81,target_csp_ledoit_wolf,0.0717777657199061,0.08573094802999329,0.11936546272926934,0.09229139215972292,0.0717777657199061,True,post_primary_exploratory_stability
82,target_csp_ledoit_wolf,0.07683313513415993,0.14065196649388262,0.05986275135342216,0.0924492843271549,0.05986275135342216,True,post_primary_exploratory_stability
83,target_csp_ledoit_wolf,0.3864051516808154,0.07367670160326917,0.05772085026256092,0.17260090118221516,0.05772085026256092,True,post_primary_exploratory_stability
84,target_csp_ledoit_wolf,0.2412806012181491,0.06524650208327784,0.10831942129575331,0.13828217486572678,0.06524650208327784,True,post_primary_exploratory_stability
85,target_csp_ledoit_wolf,0.2444754959031747,0.17831483232738796,0.25900212340368056,0.22726415054474772,0.17831483232738796,True,post_primary_exploratory_stability
86,target_csp_ledoit_wolf,0.2150471076467534,0.0724117642951435,0.08904564446111508,0.12550150546767067,0.0724117642951435,True,post_primary_exploratory_stability
87,target_csp_ledoit_wolf,0.1506644061936546,0.11751862120854104,0.1233517486648989,0.13051159202236484,0.11751862120854104,True,post_primary_exploratory_stability
89,target_csp_ledoit_wolf,0.09463565733399631,0.1058551261686788,0.09723737718572247,0.09924272022946586,0.09463565733399631,True,post_primary_exploratory_stability
90,target_csp_ledoit_wolf,0.08653349478719428,0.13949600000979695,0.10699071404442065,0.11100673628047064,0.08653349478719428,True,post_primary_exploratory_stability
91,target_csp_ledoit_wolf,0.11339074985047873,0.21688112737862014,0.18338536878938744,0.1712190820061621,0.11339074985047873,True,post_primary_exploratory_stability
93,target_csp_ledoit_wolf,0.2301962526711098,0.25276214497626437,0.20119540839552974,0.22805126868096795,0.20119540839552974,True,post_primary_exploratory_stability
94,target_csp_ledoit_wolf,0.17347338584935437,0.3345638615812296,0.11822894760702027,0.2087553983458681,0.11822894760702027,True,post_primary_exploratory_stability
95,target_csp_ledoit_wolf,0.16291604277445693,0.11688843052803924,0.17037250618215338,0.15005899316154983,0.11688843052803924,True,post_primary_exploratory_stability
96,target_csp_ledoit_wolf,0.11544981583597808,0.1208408516614912,0.10664068289656095,0.1143104501313434,0.10664068289656095,True,post_primary_exploratory_stability
97,target_csp_ledoit_wolf,0.1622430147679878,0.1492075471389031,0.10414472348470769,0.13853176179719953,0.10414472348470769,True,post_primary_exploratory_stability
98,target_csp_ledoit_wolf,0.34430452417515983,0.2889731951877873,0.33178188806118397,0.3216865358080437,0.2889731951877873,True,post_primary_exploratory_stability
