subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
27,shrinkage_lda,14,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,6,0.625,0.6,0.75,0.5,3,1,3,3,10,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,10,0.5,0.5,0.5,0.5,3,3,3,3,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
27,shrinkage_lda,14,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,6,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,10,0.45535714285714285,0.4666666666666667,0.2857142857142857,0.625,2,5,3,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,14,0.5357142857142857,0.5333333333333333,0.5,0.5714285714285714,4,4,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,6,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,10,0.5428571428571429,0.5,0.2857142857142857,0.8,2,5,1,4,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
28,shrinkage_lda,14,0.5833333333333333,0.5833333333333334,0.5,0.6666666666666666,3,3,2,4,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,6,0.6160714285714286,0.6,0.375,0.8571428571428571,3,5,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,10,0.9375,0.9333333333333333,1.0,0.875,7,0,1,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,14,0.8571428571428572,0.8666666666666667,0.7142857142857143,1.0,5,2,0,8,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,6,0.7142857142857143,0.6923076923076923,0.42857142857142855,1.0,3,4,0,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,10,0.9166666666666667,0.8888888888888888,1.0,0.8333333333333334,3,0,1,5,9,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
29,shrinkage_lda,14,0.8571428571428572,0.8666666666666667,0.7142857142857143,1.0,5,2,0,8,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,6,0.5625,0.5333333333333333,0.125,1.0,1,7,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,10,0.5625,0.5333333333333333,0.125,1.0,1,7,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,14,0.42857142857142855,0.4,0.0,0.8571428571428571,0,8,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,6,0.5,0.5,0.0,1.0,0,6,0,6,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,10,0.5,0.5384615384615384,0.0,1.0,0,6,0,7,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
30,shrinkage_lda,14,0.5,0.4166666666666667,0.0,1.0,0,7,0,5,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,6,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,10,0.6517857142857143,0.6666666666666666,0.42857142857142855,0.875,3,4,1,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,14,0.4732142857142857,0.4666666666666667,0.375,0.5714285714285714,3,5,3,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,6,0.6071428571428572,0.6153846153846154,0.7142857142857143,0.5,5,2,3,3,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,10,0.6428571428571428,0.6428571428571429,0.42857142857142855,0.8571428571428571,3,4,1,6,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
31,shrinkage_lda,14,0.4732142857142857,0.4666666666666667,0.375,0.5714285714285714,3,5,3,4,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
