subject,test_run,condition,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
33,6,B,0.6339285714285714,0.6428571428571428,0.625,2,15
33,6,C,0.7410714285714286,0.8571428571428571,0.625,1,15
33,10,A,0.5089285714285714,0.375,0.6428571428571428,2,15
33,10,B,0.5089285714285714,0.375,0.6428571428571428,2,15
33,10,C,0.6607142857142857,0.75,0.5714285714285714,1,15
33,14,A,0.6294642857142858,0.5714285714285714,0.6875,2,15
33,14,B,0.4642857142857143,0.4285714285714286,0.5,2,15
33,14,C,0.5892857142857143,0.42857142857142855,0.75,1,15
34,6,A,0.9642857142857143,0.9285714285714286,1.0,2,14
34,6,B,1.0,1.0,1.0,2,14
34,6,C,1.0,1.0,1.0,1,14
34,10,A,0.7857142857142857,1.0,0.5714285714285714,2,14
34,10,B,0.7142857142857142,0.7857142857142857,0.6428571428571428,2,14
34,10,C,0.7142857142857143,1.0,0.42857142857142855,1,14
34,14,A,0.8214285714285714,0.8571428571428572,0.7857142857142857,2,14
34,14,B,0.8214285714285714,0.8571428571428572,0.7857142857142857,2,14
34,14,C,0.9285714285714286,1.0,0.8571428571428571,1,14
35,6,A,1.0,1.0,1.0,2,15
35,6,B,0.90625,0.8125,1.0,2,15
35,6,C,1.0,1.0,1.0,1,15
35,10,A,0.8928571428571429,1.0,0.7857142857142857,2,15
35,10,B,0.8928571428571429,1.0,0.7857142857142857,2,15
35,10,C,0.8571428571428572,1.0,0.7142857142857143,1,15
35,14,A,1.0,1.0,1.0,2,15
35,14,B,1.0,1.0,1.0,2,15
35,14,C,1.0,1.0,1.0,1,15
36,6,A,0.7098214285714286,0.8571428571428572,0.5625,2,15
36,6,B,0.8616071428571428,0.7857142857142857,0.9375,2,15
36,6,C,0.7857142857142857,0.5714285714285714,1.0,1,15
36,10,A,0.7142857142857143,0.9285714285714286,0.5,2,15
36,10,B,0.6071428571428572,0.7142857142857143,0.5,2,15
36,10,C,0.5446428571428572,0.7142857142857143,0.375,1,15
36,14,A,0.5580357142857143,0.6875,0.42857142857142855,2,15
36,14,B,0.6875,0.875,0.5,2,15
36,14,C,0.7946428571428572,0.875,0.7142857142857143,1,15
37,6,A,0.5,0.5,0.5,2,14
37,6,B,0.5714285714285714,0.5714285714285714,0.5714285714285714,2,14
37,6,C,0.5,1.0,0.0,1,14
37,10,A,0.4642857142857143,0.42857142857142855,0.5,2,14
37,10,B,0.5,0.0,1.0,2,14
37,10,C,0.5,0.0,1.0,1,14
37,14,A,0.6071428571428571,1.0,0.21428571428571427,2,14
37,14,B,0.5714285714285714,0.5714285714285714,0.5714285714285714,2,14
37,14,C,0.7857142857142857,0.7142857142857143,0.8571428571428571,1,14
38,6,A,0.4464285714285714,0.75,0.14285714285714285,2,15
38,6,B,0.4955357142857143,0.0625,0.9285714285714286,2,15
38,6,C,0.5,1.0,0.0,1,15
38,10,A,0.5357142857142857,0.5,0.5714285714285714,2,15
38,10,B,0.6116071428571428,0.4375,0.7857142857142857,2,15
38,10,C,0.48214285714285715,0.25,0.7142857142857143,1,15
38,14,A,0.5535714285714286,0.35714285714285715,0.75,2,15
38,14,B,0.4955357142857143,0.42857142857142855,0.5625,2,15
38,14,C,0.39285714285714285,0.2857142857142857,0.5,1,15
39,6,A,0.5044642857142857,0.4375,0.5714285714285714,2,15
39,6,B,0.4642857142857143,0.0,0.9285714285714286,2,15
39,6,C,0.5625,0.125,1.0,1,15
39,10,A,0.5089285714285714,0.6428571428571428,0.375,2,15
39,10,B,0.625,1.0,0.25,2,15
39,10,C,0.6785714285714286,0.8571428571428571,0.5,1,15
39,14,A,0.5491071428571428,0.8125,0.2857142857142857,2,15
39,14,B,0.48660714285714285,0.6875,0.2857142857142857,2,15
39,14,C,0.5892857142857143,0.75,0.42857142857142855,1,15
40,6,A,0.4642857142857143,0.0,0.9285714285714286,2,15
40,6,B,0.4776785714285714,0.3125,0.6428571428571428,2,15
40,6,C,0.42857142857142855,0.0,0.8571428571428571,1,15
40,10,A,0.5535714285714286,0.3571428571428571,0.75,2,15
40,10,B,0.6160714285714286,0.3571428571428571,0.875,2,15
40,10,C,0.5803571428571428,0.2857142857142857,0.875,1,15
40,14,A,0.5625,0.5,0.625,2,15
40,14,B,0.7991071428571429,0.7857142857142857,0.8125,2,15
40,14,C,0.6428571428571428,0.2857142857142857,1.0,1,15
41,6,A,0.5,0.6428571428571428,0.35714285714285715,2,14
41,6,B,0.75,0.9285714285714286,0.5714285714285714,2,14
41,6,C,0.5714285714285714,0.8571428571428571,0.2857142857142857,1,14
41,10,A,0.5714285714285714,0.42857142857142855,0.7142857142857142,2,14
41,10,B,0.5,0.9285714285714286,0.07142857142857142,2,14
41,10,C,0.5,0.7142857142857143,0.2857142857142857,1,14
41,14,A,0.5,0.7142857142857142,0.2857142857142857,2,14
41,14,B,0.6071428571428571,0.42857142857142855,0.7857142857142857,2,14
41,14,C,0.7142857142857143,1.0,0.42857142857142855,1,14
42,6,A,0.96875,0.9375,1.0,2,15
42,6,B,1.0,1.0,1.0,2,15
42,6,C,1.0,1.0,1.0,1,15
42,10,A,1.0,1.0,1.0,2,15
42,10,B,1.0,1.0,1.0,2,15
42,10,C,1.0,1.0,1.0,1,15
42,14,A,0.8973214285714286,0.9375,0.8571428571428572,2,15
42,14,B,0.96875,0.9375,1.0,2,15
42,14,C,0.9375,0.875,1.0,1,15
43,6,A,0.8080357142857143,0.6875,0.9285714285714286,2,15
43,6,B,0.7366071428571429,0.6875,0.7857142857142857,2,15
43,6,C,0.8571428571428572,1.0,0.7142857142857143,1,15
43,10,A,0.71875,0.4375,1.0,2,15
43,10,B,0.8348214285714286,0.8125,0.8571428571428572,2,15
43,10,C,1.0,1.0,1.0,1,15
43,14,A,0.8303571428571428,0.7857142857142857,0.875,2,15
43,14,B,0.7901785714285714,0.6428571428571428,0.9375,2,15
43,14,C,1.0,1.0,1.0,1,15
44,6,A,0.5089285714285714,0.375,0.6428571428571428,2,15
44,6,B,0.7053571428571428,0.625,0.7857142857142857,2,15
44,6,C,0.8035714285714286,0.75,0.8571428571428571,1,15
44,10,A,0.6428571428571428,0.5,0.7857142857142857,2,15
44,10,B,0.6116071428571429,0.4375,0.7857142857142857,2,15
44,10,C,0.6607142857142857,0.75,0.5714285714285714,1,15
44,14,A,0.6428571428571429,0.7857142857142857,0.5,2,15
44,14,B,0.7321428571428572,0.7142857142857142,0.75,2,15
44,14,C,0.8035714285714286,0.8571428571428571,0.75,1,15
45,6,A,0.5848214285714286,0.3125,0.8571428571428571,2,15
