subject,model,qc_sensitivity,fold,test_run,training_runs,balanced_accuracy,accuracy,macro_f1,roc_auc,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count
5,spectral_baseline_6,True,3,14,6/10,0.5833333333333333,0.6,0.5833333333333333,0.49999999999999994,0.6666666666666666,0.5,4,2,2,2,10
5,spectral_baseline_9,False,1,6,10/14,0.39285714285714285,0.4,0.3891402714932127,0.32142857142857145,0.2857142857142857,0.5,2,5,4,4,15
5,spectral_baseline_9,False,2,10,6/14,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.5892857142857142,0.625,0.2857142857142857,5,3,5,2,15
5,spectral_baseline_9,False,3,14,6/10,0.45535714285714285,0.4666666666666667,0.4444444444444444,0.4464285714285714,0.625,0.2857142857142857,5,3,5,2,15
5,spectral_baseline_9,True,1,6,10/14,0.26785714285714285,0.2727272727272727,0.26666666666666666,0.2857142857142857,0.25,0.2857142857142857,1,3,5,2,11
5,spectral_baseline_9,True,2,10,6/14,0.5416666666666666,0.5714285714285714,0.5333333333333333,0.6250000000000001,0.75,0.3333333333333333,6,2,4,2,14
5,spectral_baseline_9,True,3,14,6/10,0.375,0.4,0.375,0.375,0.5,0.25,3,3,3,1,10
5,csp_4_empirical,False,1,6,10/14,0.5535714285714286,0.5333333333333333,0.49760765550239233,0.5892857142857143,0.8571428571428571,0.25,6,1,6,2,15
5,csp_4_empirical,False,2,10,6/14,0.6875,0.6666666666666666,0.6411483253588517,0.8035714285714286,0.375,1.0,3,5,0,7,15
5,csp_4_empirical,False,3,14,6/10,0.7857142857142857,0.8,0.784688995215311,0.8928571428571428,1.0,0.5714285714285714,8,0,3,4,15
5,csp_4_empirical,True,1,6,10/14,0.6071428571428572,0.6363636363636364,0.6071428571428572,0.5714285714285714,0.5,0.7142857142857143,2,2,2,5,11
5,csp_4_empirical,True,2,10,6/14,0.5833333333333333,0.5714285714285714,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,4,4,2,4,14
5,csp_4_empirical,True,3,14,6/10,0.6666666666666667,0.7,0.6703296703296704,0.875,0.8333333333333334,0.5,5,1,2,2,10
5,csp_4_ledoit_wolf,False,1,6,10/14,0.6071428571428572,0.6,0.5982142857142857,0.5357142857142858,0.7142857142857143,0.5,5,2,4,4,15
5,csp_4_ledoit_wolf,False,2,10,6/14,0.625,0.6,0.55,0.8392857142857142,0.25,1.0,2,6,0,7,15
5,csp_4_ledoit_wolf,False,3,14,6/10,0.6517857142857143,0.6666666666666666,0.6411483253588517,0.75,0.875,0.42857142857142855,7,1,4,3,15
5,csp_4_ledoit_wolf,True,1,6,10/14,0.4642857142857143,0.45454545454545453,0.45,0.5714285714285714,0.5,0.42857142857142855,2,2,4,3,11
5,csp_4_ledoit_wolf,True,2,10,6/14,0.5208333333333333,0.5,0.49743589743589745,0.5833333333333333,0.375,0.6666666666666666,3,5,2,4,14
5,csp_4_ledoit_wolf,True,3,14,6/10,0.6666666666666667,0.7,0.6703296703296704,0.75,0.8333333333333334,0.5,5,1,2,2,10
5,csp_6_ledoit_wolf,False,1,6,10/14,0.4464285714285714,0.4666666666666667,0.4,0.5178571428571429,0.14285714285714285,0.75,1,6,2,6,15
5,csp_6_ledoit_wolf,False,2,10,6/14,0.5982142857142857,0.6,0.5982142857142857,0.6964285714285714,0.625,0.5714285714285714,5,3,3,4,15
5,csp_6_ledoit_wolf,False,3,14,6/10,0.6517857142857143,0.6666666666666666,0.6411483253588517,0.8035714285714285,0.875,0.42857142857142855,7,1,4,3,15
5,csp_6_ledoit_wolf,True,1,6,10/14,0.5714285714285714,0.45454545454545453,0.4107142857142857,0.6071428571428571,1.0,0.14285714285714285,4,0,6,1,11
5,csp_6_ledoit_wolf,True,2,10,6/14,0.4791666666666667,0.42857142857142855,0.37777777777777777,0.75,0.125,0.8333333333333334,1,7,1,5,14
5,csp_6_ledoit_wolf,True,3,14,6/10,0.6666666666666667,0.7,0.6703296703296704,0.5416666666666667,0.8333333333333334,0.5,5,1,2,2,10
6,spectral_baseline_6,False,1,6,10/14,0.3839285714285714,0.4,0.354066985645933,0.5714285714285714,0.14285714285714285,0.625,1,6,3,5,15
6,spectral_baseline_6,False,2,10,6/14,0.5535714285714286,0.5333333333333333,0.49760765550239233,0.6071428571428572,0.8571428571428571,0.25,6,1,6,2,15
6,spectral_baseline_6,False,3,14,6/10,0.6428571428571428,0.6666666666666666,0.6031746031746031,0.7857142857142857,1.0,0.2857142857142857,8,0,5,2,15
6,spectral_baseline_6,True,1,6,10/14,0.3839285714285714,0.4,0.354066985645933,0.5714285714285714,0.14285714285714285,0.625,1,6,3,5,15
6,spectral_baseline_6,True,2,10,6/14,0.5416666666666667,0.5,0.47593582887700536,0.5416666666666666,0.8333333333333334,0.25,5,1,6,2,14
6,spectral_baseline_6,True,3,14,6/10,0.5714285714285714,0.6,0.48863636363636365,0.6428571428571428,1.0,0.14285714285714285,8,0,6,1,15
6,spectral_baseline_9,False,1,6,10/14,0.39285714285714285,0.4,0.3891402714932127,0.5,0.2857142857142857,0.5,2,5,4,4,15
6,spectral_baseline_9,False,2,10,6/14,0.6160714285714286,0.6,0.5833333333333333,0.6428571428571429,0.8571428571428571,0.375,6,1,5,3,15
6,spectral_baseline_9,False,3,14,6/10,0.5714285714285714,0.6,0.48863636363636365,0.7321428571428571,1.0,0.14285714285714285,8,0,6,1,15
6,spectral_baseline_9,True,1,6,10/14,0.39285714285714285,0.4,0.3891402714932127,0.5,0.2857142857142857,0.5,2,5,4,4,15
6,spectral_baseline_9,True,2,10,6/14,0.6041666666666667,0.5714285714285714,0.5625,0.5833333333333334,0.8333333333333334,0.375,5,1,5,3,14
6,spectral_baseline_9,True,3,14,6/10,0.5714285714285714,0.6,0.48863636363636365,0.625,1.0,0.14285714285714285,8,0,6,1,15
6,csp_4_empirical,False,1,6,10/14,0.4375,0.4666666666666667,0.3181818181818182,0.3928571428571429,0.0,0.875,0,7,1,7,15
6,csp_4_empirical,False,2,10,6/14,0.35714285714285715,0.3333333333333333,0.25,0.5357142857142858,0.7142857142857143,0.0,5,2,8,0,15
6,csp_4_empirical,False,3,14,6/10,0.5,0.5333333333333333,0.34782608695652173,0.5535714285714286,1.0,0.0,8,0,7,0,15
6,csp_4_empirical,True,1,6,10/14,0.4375,0.4666666666666667,0.3181818181818182,0.4464285714285714,0.0,0.875,0,7,1,7,15
6,csp_4_empirical,True,2,10,6/14,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.47916666666666663,0.6666666666666666,0.0,4,2,8,0,14
6,csp_4_empirical,True,3,14,6/10,0.5,0.5333333333333333,0.34782608695652173,0.21428571428571427,1.0,0.0,8,0,7,0,15
6,csp_4_ledoit_wolf,False,1,6,10/14,0.4375,0.4666666666666667,0.3181818181818182,0.32142857142857145,0.0,0.875,0,7,1,7,15
6,csp_4_ledoit_wolf,False,2,10,6/14,0.35714285714285715,0.3333333333333333,0.25,0.5357142857142858,0.7142857142857143,0.0,5,2,8,0,15
6,csp_4_ledoit_wolf,False,3,14,6/10,0.5714285714285714,0.6,0.48863636363636365,0.8928571428571428,1.0,0.14285714285714285,8,0,6,1,15
6,csp_4_ledoit_wolf,True,1,6,10/14,0.4375,0.4666666666666667,0.3181818181818182,0.4285714285714286,0.0,0.875,0,7,1,7,15
6,csp_4_ledoit_wolf,True,2,10,6/14,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.47916666666666663,0.6666666666666666,0.0,4,2,8,0,14
6,csp_4_ledoit_wolf,True,3,14,6/10,0.5,0.5333333333333333,0.34782608695652173,0.23214285714285712,1.0,0.0,8,0,7,0,15
6,csp_6_ledoit_wolf,False,1,6,10/14,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.46428571428571436,0.2857142857142857,0.75,2,5,2,6,15
6,csp_6_ledoit_wolf,False,2,10,6/14,0.35714285714285715,0.3333333333333333,0.25,0.5892857142857143,0.7142857142857143,0.0,5,2,8,0,15
6,csp_6_ledoit_wolf,False,3,14,6/10,0.5,0.5333333333333333,0.34782608695652173,0.8928571428571428,1.0,0.0,8,0,7,0,15
6,csp_6_ledoit_wolf,True,1,6,10/14,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.4642857142857143,0.2857142857142857,0.75,2,5,2,6,15
6,csp_6_ledoit_wolf,True,2,10,6/14,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.5208333333333334,0.6666666666666666,0.0,4,2,8,0,14
