subject,model,within_subject_balanced_accuracy,cross_subject_balanced_accuracy,cross_minus_within_balanced_accuracy,within_minus_cross_balanced_accuracy,analysis_role
81,csp_4_empirical,0.6220238095238095,0.5922619047619048,-0.029761904761904767,0.029761904761904767,post_primary_exploratory_matched_comparison
82,spectral_baseline_6,0.6666666666666666,0.5535714285714286,-0.11309523809523803,0.11309523809523803,post_primary_exploratory_matched_comparison
82,csp_4_empirical,0.6190476190476191,0.6428571428571429,0.023809523809523836,-0.023809523809523836,post_primary_exploratory_matched_comparison
83,spectral_baseline_6,0.6726190476190476,0.5178571428571428,-0.15476190476190477,0.15476190476190477,post_primary_exploratory_matched_comparison
83,csp_4_empirical,0.6517857142857143,0.6160714285714285,-0.03571428571428581,0.03571428571428581,post_primary_exploratory_matched_comparison
84,spectral_baseline_6,0.5892857142857143,0.6220238095238095,0.03273809523809523,-0.03273809523809523,post_primary_exploratory_matched_comparison
84,csp_4_empirical,0.5922619047619048,0.5684523809523809,-0.023809523809523836,0.023809523809523836,post_primary_exploratory_matched_comparison
85,spectral_baseline_6,0.8363095238095238,0.6279761904761905,-0.20833333333333337,0.20833333333333337,post_primary_exploratory_matched_comparison
85,csp_4_empirical,0.9375,0.5,-0.4375,0.4375,post_primary_exploratory_matched_comparison
86,spectral_baseline_6,0.6428571428571429,0.6101190476190477,-0.03273809523809523,0.03273809523809523,post_primary_exploratory_matched_comparison
86,csp_4_empirical,0.7946428571428571,0.5,-0.2946428571428571,0.2946428571428571,post_primary_exploratory_matched_comparison
87,spectral_baseline_6,0.5,0.5833333333333334,0.08333333333333337,-0.08333333333333337,post_primary_exploratory_matched_comparison
87,csp_4_empirical,0.6696428571428572,0.5982142857142857,-0.07142857142857151,0.07142857142857151,post_primary_exploratory_matched_comparison
89,spectral_baseline_6,0.6190476190476191,0.44345238095238093,-0.17559523809523814,0.17559523809523814,post_primary_exploratory_matched_comparison
89,csp_4_empirical,0.49404761904761907,0.6577380952380952,0.16369047619047616,-0.16369047619047616,post_primary_exploratory_matched_comparison
90,spectral_baseline_6,0.5327380952380952,0.43154761904761907,-0.10119047619047616,0.10119047619047616,post_primary_exploratory_matched_comparison
90,csp_4_empirical,0.5803571428571429,0.5595238095238095,-0.02083333333333337,0.02083333333333337,post_primary_exploratory_matched_comparison
91,spectral_baseline_6,0.6577380952380952,0.4672619047619048,-0.1904761904761904,0.1904761904761904,post_primary_exploratory_matched_comparison
91,csp_4_empirical,0.75,0.6309523809523809,-0.11904761904761907,0.11904761904761907,post_primary_exploratory_matched_comparison
93,spectral_baseline_6,0.7827380952380952,0.7470238095238096,-0.03571428571428559,0.03571428571428559,post_primary_exploratory_matched_comparison
93,csp_4_empirical,0.8898809523809524,0.9553571428571429,0.06547619047619047,-0.06547619047619047,post_primary_exploratory_matched_comparison
94,spectral_baseline_6,0.5416666666666666,0.6845238095238096,0.14285714285714302,-0.14285714285714302,post_primary_exploratory_matched_comparison
94,csp_4_empirical,0.7053571428571429,0.7559523809523809,0.050595238095238027,-0.050595238095238027,post_primary_exploratory_matched_comparison
95,spectral_baseline_6,0.7142857142857143,0.5029761904761905,-0.21130952380952384,0.21130952380952384,post_primary_exploratory_matched_comparison
95,csp_4_empirical,0.7529761904761904,0.5505952380952381,-0.20238095238095222,0.20238095238095222,post_primary_exploratory_matched_comparison
96,spectral_baseline_6,0.49404761904761907,0.4702380952380952,-0.02380952380952389,0.02380952380952389,post_primary_exploratory_matched_comparison
96,csp_4_empirical,0.5029761904761905,0.5535714285714285,0.050595238095238027,-0.050595238095238027,post_primary_exploratory_matched_comparison
97,spectral_baseline_6,0.6369047619047619,0.5238095238095238,-0.11309523809523803,0.11309523809523803,post_primary_exploratory_matched_comparison
97,csp_4_empirical,0.8035714285714285,0.4166666666666667,-0.3869047619047618,0.3869047619047618,post_primary_exploratory_matched_comparison
98,spectral_baseline_6,0.6666666666666666,0.5238095238095238,-0.1428571428571428,0.1428571428571428,post_primary_exploratory_matched_comparison
98,csp_4_empirical,0.7559523809523809,0.6309523809523809,-0.125,0.125,post_primary_exploratory_matched_comparison
99,spectral_baseline_6,0.4761904761904761,0.5297619047619048,0.05357142857142866,-0.05357142857142866,post_primary_exploratory_matched_comparison
99,csp_4_empirical,0.6428571428571428,0.5357142857142857,-0.1071428571428571,0.1071428571428571,post_primary_exploratory_matched_comparison
101,spectral_baseline_6,0.40178571428571425,0.47321428571428575,0.07142857142857151,-0.07142857142857151,post_primary_exploratory_matched_comparison
101,csp_4_empirical,0.44047619047619047,0.5,0.059523809523809534,-0.059523809523809534,post_primary_exploratory_matched_comparison
102,spectral_baseline_6,0.5476190476190476,0.5238095238095238,-0.023809523809523725,0.023809523809523725,post_primary_exploratory_matched_comparison
102,csp_4_empirical,0.5238095238095238,0.5952380952380952,0.0714285714285714,-0.0714285714285714,post_primary_exploratory_matched_comparison
103,spectral_baseline_6,0.5148809523809524,0.5148809523809524,0.0,0.0,post_primary_exploratory_matched_comparison
103,csp_4_empirical,0.6934523809523809,0.5446428571428571,-0.14880952380952384,0.14880952380952384,post_primary_exploratory_matched_comparison
104,spectral_baseline_6,0.625,0.5505952380952381,-0.07440476190476186,0.07440476190476186,post_primary_exploratory_matched_comparison
104,csp_4_empirical,0.7797619047619048,0.5833333333333334,-0.1964285714285714,0.1964285714285714,post_primary_exploratory_matched_comparison
105,spectral_baseline_6,0.6369047619047619,0.5476190476190476,-0.0892857142857143,0.0892857142857143,post_primary_exploratory_matched_comparison
105,csp_4_empirical,0.6458333333333334,0.7767857142857144,0.13095238095238104,-0.13095238095238104,post_primary_exploratory_matched_comparison
106,spectral_baseline_6,0.6547619047619048,0.5833333333333334,-0.0714285714285714,0.0714285714285714,post_primary_exploratory_matched_comparison
106,csp_4_empirical,0.6428571428571429,0.5,-0.1428571428571429,0.1428571428571429,post_primary_exploratory_matched_comparison
107,spectral_baseline_6,0.5952380952380953,0.4613095238095239,-0.13392857142857145,0.13392857142857145,post_primary_exploratory_matched_comparison
107,csp_4_empirical,0.6577380952380952,0.5208333333333334,-0.13690476190476186,0.13690476190476186,post_primary_exploratory_matched_comparison
108,spectral_baseline_6,0.6458333333333334,0.5714285714285715,-0.07440476190476186,0.07440476190476186,post_primary_exploratory_matched_comparison
108,csp_4_empirical,0.5654761904761906,0.5952380952380952,0.029761904761904656,-0.029761904761904656,post_primary_exploratory_matched_comparison
109,spectral_baseline_6,0.5773809523809524,0.5,-0.07738095238095244,0.07738095238095244,post_primary_exploratory_matched_comparison
109,csp_4_empirical,0.5863095238095238,0.5,-0.08630952380952384,0.08630952380952384,post_primary_exploratory_matched_comparison
