comparison_name,subject,candidate_method,reference_method,reference_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_reference,QC_candidate_minus_reference
B_minus_A,53,source_csp_target_lda_source_scaler,source_zero_shot,0.5922619047619048,0.5357142857142857,-0.05654761904761907,-0.05456349206349209
B_minus_A,54,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.6130952380952381,0.11309523809523814,0.11795634920634923
B_minus_A,55,source_csp_target_lda_source_scaler,source_zero_shot,0.6369047619047619,0.8630952380952381,0.22619047619047628,0.23611111111111116
B_minus_A,56,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.6592261904761906,0.15922619047619058,0.15535714285714275
B_minus_A,57,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.5565476190476191,0.05654761904761907,0.05654761904761907
B_minus_A,58,source_csp_target_lda_source_scaler,source_zero_shot,0.6339285714285714,0.5565476190476191,-0.07738095238095233,-0.07688492063492058
B_minus_A,59,source_csp_target_lda_source_scaler,source_zero_shot,0.6071428571428572,0.5461309523809523,-0.06101190476190488,-0.10615079365079377
B_minus_A,60,source_csp_target_lda_source_scaler,source_zero_shot,0.7023809523809524,0.7514880952380952,0.049107142857142794,0.10386904761904758
B_minus_A,61,source_csp_target_lda_source_scaler,source_zero_shot,0.6964285714285715,0.5610119047619048,-0.13541666666666674,-0.15446428571428583
B_minus_A,62,source_csp_target_lda_source_scaler,source_zero_shot,0.8660714285714285,0.7857142857142857,-0.0803571428571428,-0.11111111111111116
B_minus_A,63,source_csp_target_lda_source_scaler,source_zero_shot,0.49702380952380953,0.48214285714285704,-0.014880952380952495,-0.04444444444444445
B_minus_A,64,source_csp_target_lda_source_scaler,source_zero_shot,0.7142857142857143,0.5595238095238094,-0.15476190476190488,-0.15476190476190488
B_minus_A,65,source_csp_target_lda_source_scaler,source_zero_shot,0.5833333333333334,0.5372023809523809,-0.04613095238095244,-0.08958333333333324
B_minus_A,66,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.4285714285714286,-0.0714285714285714,-0.0714285714285714
B_minus_A,67,source_csp_target_lda_source_scaler,source_zero_shot,0.5208333333333334,0.5535714285714286,0.03273809523809523,0.044642857142857095
B_minus_A,68,source_csp_target_lda_source_scaler,source_zero_shot,0.7172619047619048,0.6755952380952381,-0.04166666666666663,-0.0805555555555556
B_minus_A,69,source_csp_target_lda_source_scaler,source_zero_shot,0.49702380952380953,0.6636904761904762,0.16666666666666663,0.1572420634920635
B_minus_A,70,source_csp_target_lda_source_scaler,source_zero_shot,0.6160714285714285,0.9032738095238096,0.28720238095238115,0.2666666666666666
B_minus_A,71,source_csp_target_lda_source_scaler,source_zero_shot,0.5714285714285715,0.7157738095238096,0.14434523809523814,0.17460317460317476
B_minus_A,72,source_csp_target_lda_source_scaler,source_zero_shot,0.8809523809523809,0.9761904761904763,0.09523809523809534,0.05555555555555569
B_minus_A,73,source_csp_target_lda_source_scaler,source_zero_shot,0.6666666666666666,0.7619047619047619,0.09523809523809523,0.05753968253968256
B_minus_A,74,source_csp_target_lda_source_scaler,source_zero_shot,0.4761904761904762,0.5595238095238095,0.08333333333333331,0.0896825396825397
B_minus_A,75,source_csp_target_lda_source_scaler,source_zero_shot,0.6815476190476191,0.5535714285714286,-0.12797619047619047,-0.12103174603174605
B_minus_A,76,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.46428571428571425,-0.035714285714285754,-0.04563492063492075
B_minus_A,77,source_csp_target_lda_source_scaler,source_zero_shot,0.49107142857142855,0.5654761904761905,0.07440476190476192,0.08432539682539669
B_minus_A,78,source_csp_target_lda_source_scaler,source_zero_shot,0.5357142857142857,0.4449404761904761,-0.09077380952380959,-0.13194444444444448
B_minus_A,79,source_csp_target_lda_source_scaler,source_zero_shot,0.511904761904762,0.5431547619047619,0.03124999999999989,-0.01666666666666672
B_minus_A,80,source_csp_target_lda_source_scaler,source_zero_shot,0.5714285714285714,0.4255952380952381,-0.14583333333333331,-0.13561507936507938
B_minus_A,81,source_csp_target_lda_source_scaler,source_zero_shot,0.5922619047619048,0.5208333333333334,-0.0714285714285714,-0.05753968253968256
B_minus_A,82,source_csp_target_lda_source_scaler,source_zero_shot,0.6428571428571429,0.625,-0.017857142857142905,-0.05753968253968256
B_minus_A,83,source_csp_target_lda_source_scaler,source_zero_shot,0.6160714285714285,0.6979166666666669,0.08184523809523836,0.07291666666666674
B_minus_A,84,source_csp_target_lda_source_scaler,source_zero_shot,0.5684523809523809,0.48214285714285715,-0.08630952380952378,-0.03690476190476194
B_minus_A,85,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.8318452380952381,0.33184523809523814,0.35218253968253965
B_minus_A,86,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.7008928571428571,0.2008928571428571,0.25843253968253954
B_minus_A,87,source_csp_target_lda_source_scaler,source_zero_shot,0.5982142857142857,0.5520833333333334,-0.04613095238095233,-0.027380952380952506
B_minus_A,89,source_csp_target_lda_source_scaler,source_zero_shot,0.6577380952380952,0.5922619047619048,-0.06547619047619047,-0.0760912698412699
B_minus_A,90,source_csp_target_lda_source_scaler,source_zero_shot,0.5595238095238095,0.48660714285714285,-0.07291666666666669,-0.06498015873015872
B_minus_A,91,source_csp_target_lda_source_scaler,source_zero_shot,0.6309523809523809,0.5327380952380952,-0.0982142857142857,-0.14930555555555558
B_minus_A,93,source_csp_target_lda_source_scaler,source_zero_shot,0.9553571428571429,0.8779761904761906,-0.07738095238095233,-0.08928571428571441
B_minus_A,94,source_csp_target_lda_source_scaler,source_zero_shot,0.7559523809523809,0.7514880952380952,-0.004464285714285698,-0.007936507936507908
B_minus_A,95,source_csp_target_lda_source_scaler,source_zero_shot,0.5505952380952381,0.6711309523809524,0.1205357142857143,0.19444444444444453
B_minus_A,96,source_csp_target_lda_source_scaler,source_zero_shot,0.5535714285714285,0.6160714285714285,0.0625,0.07053571428571437
B_minus_A,97,source_csp_target_lda_source_scaler,source_zero_shot,0.4166666666666667,0.6041666666666667,0.18750000000000006,0.2237103174603175
B_minus_A,98,source_csp_target_lda_source_scaler,source_zero_shot,0.6309523809523809,0.6220238095238095,-0.008928571428571397,0.022817460317460347
B_minus_A,99,source_csp_target_lda_source_scaler,source_zero_shot,0.5357142857142857,0.53125,-0.004464285714285698,0.017857142857142794
B_minus_A,101,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.4226190476190476,-0.07738095238095238,-0.06388888888888894
B_minus_A,102,source_csp_target_lda_source_scaler,source_zero_shot,0.5952380952380952,0.5476190476190476,-0.04761904761904767,-0.05912698412698403
B_minus_A,103,source_csp_target_lda_source_scaler,source_zero_shot,0.5446428571428571,0.5595238095238095,0.014880952380952439,-0.013888888888889062
B_minus_A,104,source_csp_target_lda_source_scaler,source_zero_shot,0.5833333333333334,0.7038690476190478,0.12053571428571441,0.12996031746031755
B_minus_A,105,source_csp_target_lda_source_scaler,source_zero_shot,0.7767857142857144,0.6904761904761904,-0.08630952380952406,-0.125
B_minus_A,106,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.5163690476190476,0.01636904761904756,0.03888888888888886
B_minus_A,107,source_csp_target_lda_source_scaler,source_zero_shot,0.5208333333333334,0.6160714285714286,0.09523809523809523,0.10942460317460301
B_minus_A,108,source_csp_target_lda_source_scaler,source_zero_shot,0.5952380952380952,0.44047619047619047,-0.15476190476190477,-0.16319444444444436
B_minus_A,109,source_csp_target_lda_source_scaler,source_zero_shot,0.5,0.5014880952380952,0.0014880952380952328,-0.015476190476190421
C_minus_B,21,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5148809523809522,0.53125,0.016369047619047783,-0.0010912698412697264
C_minus_B,22,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.4761904761904762,0.6279761904761905,0.15178571428571425,0.1291666666666667
C_minus_B,23,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5833333333333334,0.5714285714285715,-0.011904761904761862,-0.011904761904761862
C_minus_B,24,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.4970238095238095,0.48065476190476186,-0.016369047619047616,-0.016369047619047616
C_minus_B,25,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.7827380952380952,0.6160714285714285,-0.16666666666666674,-0.18700396825396826
C_minus_B,26,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5967261904761905,0.4836309523809524,-0.11309523809523808,-0.08829365079365076
C_minus_B,27,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5967261904761905,0.662202380952381,0.06547619047619058,0.06547619047619047
C_minus_B,28,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5223214285714286,0.6086309523809524,0.08630952380952384,0.07500000000000007
C_minus_B,29,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.9330357142857143,0.9776785714285715,0.044642857142857206,0.037698412698412787
C_minus_B,30,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6101190476190476,0.6101190476190477,1.1102230246251565e-16,0.023015873015873045
C_minus_B,31,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6086309523809524,0.7470238095238096,0.1383928571428572,0.1195436507936507
C_minus_B,32,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5014880952380952,0.5580357142857143,0.05654761904761907,0.1145833333333332
C_minus_B,33,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5491071428571429,0.59375,0.044642857142857095,0.09305555555555556
C_minus_B,34,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.8095238095238096,0.8571428571428571,0.04761904761904745,0.03134920634920624
C_minus_B,35,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.9553571428571429,0.9642857142857144,0.008928571428571508,-0.0014880952380952328
C_minus_B,36,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6354166666666667,0.6607142857142857,0.025297619047618958,-0.0004960317460317443
C_minus_B,37,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.48809523809523797,0.5238095238095238,0.035714285714285865,-0.004166666666666541
C_minus_B,38,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.4568452380952381,0.5119047619047619,0.05505952380952378,0.06130952380952387
C_minus_B,39,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5952380952380952,0.5208333333333334,-0.07440476190476186,-0.07738095238095244
C_minus_B,40,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.4776785714285714,0.5267857142857143,0.049107142857142905,0.09960317460317464
C_minus_B,41,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5119047619047619,0.5238095238095238,0.011904761904761973,0.03809523809523796
C_minus_B,42,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.9434523809523809,0.9553571428571429,0.011904761904761973,0.011904761904761862
C_minus_B,43,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.71875,0.7857142857142857,0.0669642857142857,0.06150793650793651
C_minus_B,44,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6919642857142857,0.5982142857142857,-0.09375,-0.09474206349206349
C_minus_B,45,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5148809523809524,0.5788690476190476,0.06398809523809512,0.046428571428571486
C_minus_B,46,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5357142857142857,0.636904761904762,0.10119047619047628,0.19404761904761914
C_minus_B,47,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.45982142857142855,0.5104166666666666,0.05059523809523808,0.030257936507936567
C_minus_B,48,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6741071428571428,0.7366071428571429,0.06250000000000011,0.05277777777777781
C_minus_B,49,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6428571428571429,0.6339285714285715,-0.008928571428571397,-0.023313492063492203
C_minus_B,50,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5654761904761906,0.6651785714285715,0.09970238095238093,0.07857142857142863
C_minus_B,51,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.4761904761904761,0.6785714285714287,0.2023809523809526,0.048611111111111105
C_minus_B,52,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.6696428571428571,0.6979166666666666,0.028273809523809534,0.05267857142857135
C_minus_B,53,target_csp_ledoit_wolf,source_csp_target_lda_source_scaler,0.5357142857142857,0.5446428571428571,0.008928571428571397,-0.0014880952380952328
