subject,condition,balanced_accuracy,fists_recall,feet_recall
58,A,0.626984126984127,0.3444444444444444,0.9095238095238095
58,B,0.6507936507936508,0.6666666666666666,0.6349206349206349
58,C,0.6275793650793652,0.6027777777777777,0.6523809523809524
59,A,0.5222222222222221,0.044444444444444446,1.0
59,B,0.5726190476190476,0.6063492063492063,0.5388888888888889
59,C,0.5354166666666668,0.35555555555555557,0.7152777777777777
60,A,0.5625,1.0,0.125
60,B,0.7470238095238094,0.7857142857142857,0.7083333333333334
60,C,0.6800595238095238,0.5476190476190476,0.8125
61,A,0.6726190476190478,0.5833333333333334,0.7619047619047619
61,B,0.6651785714285715,0.6875,0.6428571428571429
61,C,0.4836309523809524,0.3958333333333333,0.5714285714285715
62,A,0.6349206349206349,1.0,0.2698412698412698
62,B,0.7425595238095237,0.7374999999999999,0.7476190476190476
62,C,0.7929563492063493,0.6541666666666667,0.9317460317460317
63,A,0.5587301587301586,0.6396825396825396,0.4777777777777777
63,B,0.5357142857142857,0.5714285714285715,0.5
63,C,0.5311507936507937,0.36507936507936506,0.6972222222222223
64,A,0.5238095238095238,0.5238095238095238,0.5238095238095238
64,B,0.6190476190476191,0.5714285714285715,0.6666666666666666
64,C,0.4166666666666667,0.4047619047619047,0.42857142857142855
65,A,0.46507936507936504,0.4079365079365079,0.5222222222222221
65,B,0.46507936507936504,0.519047619047619,0.41111111111111115
65,C,0.49374999999999997,0.7222222222222223,0.2652777777777778
66,A,0.3857142857142857,0.6825396825396824,0.08888888888888889
66,B,0.3464285714285715,0.3650793650793651,0.3277777777777778
66,C,0.42559523809523814,0.565079365079365,0.28611111111111115
67,A,0.4666666666666666,0.43333333333333335,0.5
67,B,0.4666666666666666,0.43333333333333335,0.5
67,C,0.47847222222222224,0.2791666666666666,0.6777777777777777
68,A,0.7108134920634921,0.5952380952380952,0.826388888888889
68,B,0.661607142857143,0.6412698412698412,0.6819444444444445
68,C,0.4615079365079365,0.33968253968253964,0.5833333333333334
69,A,0.5778769841269841,0.6349206349206349,0.5208333333333334
69,B,0.5875992063492063,0.6349206349206349,0.5402777777777777
69,C,0.5682539682539683,0.5587301587301587,0.5777777777777778
70,A,0.5735119047619048,0.826388888888889,0.3206349206349206
70,B,0.6009920634920635,0.6083333333333333,0.5936507936507937
70,C,0.6304563492063493,0.4847222222222222,0.7761904761904761
71,A,0.5215277777777777,0.04305555555555555,1.0
71,B,0.747718253968254,0.7875,0.707936507936508
71,C,0.6113095238095237,0.6305555555555555,0.5920634920634921
72,A,0.7857142857142857,0.5714285714285714,1.0
72,B,0.9404761904761904,0.9047619047619048,0.9761904761904763
72,C,0.9285714285714285,1.0,0.8571428571428572
73,A,0.5714285714285715,0.8095238095238094,0.3333333333333333
73,B,0.7142857142857143,0.7619047619047619,0.6666666666666666
73,C,0.5714285714285715,0.5476190476190476,0.5952380952380952
74,A,0.5,0.047619047619047616,0.9523809523809524
74,B,0.6190476190476191,0.619047619047619,0.6190476190476191
74,C,0.5119047619047619,0.16666666666666666,0.8571428571428571
75,A,0.5863095238095238,0.7142857142857143,0.4583333333333333
75,B,0.5922619047619048,0.6428571428571428,0.5416666666666666
75,C,0.4613095238095239,0.5476190476190476,0.375
76,A,0.5714285714285714,0.7619047619047619,0.38095238095238093
76,B,0.5357142857142857,0.5714285714285715,0.49999999999999994
76,C,0.5238095238095238,0.5238095238095238,0.5238095238095238
77,A,0.46418650793650795,0.3603174603174603,0.5680555555555555
77,B,0.44196428571428575,0.3603174603174603,0.5236111111111111
77,C,0.4845238095238096,0.6301587301587301,0.33888888888888885
78,A,0.5608134920634921,0.8619047619047618,0.2597222222222222
78,B,0.5643849206349206,0.607936507936508,0.5208333333333334
78,C,0.48373015873015873,0.48412698412698413,0.4833333333333334
79,A,0.6071428571428572,0.38095238095238093,0.8333333333333334
79,B,0.5952380952380952,0.5238095238095238,0.6666666666666666
79,C,0.5907738095238094,0.619047619047619,0.5625
80,A,0.49702380952380953,0.375,0.6190476190476191
80,B,0.46875,0.4375,0.5
80,C,0.49553571428571425,0.5625,0.4285714285714286
81,A,0.435515873015873,0.046031746031746035,0.8250000000000001
81,B,0.508829365079365,0.4746031746031745,0.5430555555555555
81,C,0.4591269841269841,0.24603174603174602,0.6722222222222222
82,A,0.6041666666666666,0.5416666666666666,0.6666666666666666
82,B,0.613095238095238,0.5833333333333334,0.6428571428571428
