subject,size,balanced_accuracy,fists_recall,feet_recall
41,28,0.5952380952380952,0.8571428571428571,0.3333333333333333
42,14,0.9895833333333334,0.9791666666666666,1.0
42,18,0.9791666666666666,0.9583333333333334,1.0
42,22,0.9791666666666666,0.9583333333333334,1.0
42,26,0.9791666666666666,0.9583333333333334,1.0
42,28,0.9791666666666666,0.9583333333333334,1.0
43,14,0.787202380952381,0.7142857142857143,0.8601190476190476
43,18,0.8258928571428572,0.7470238095238096,0.9047619047619048
43,22,0.9002976190476191,0.9166666666666666,0.8839285714285715
43,26,0.9107142857142857,0.9375,0.8839285714285715
43,28,0.8898809523809524,0.9166666666666666,0.8630952380952381
44,14,0.6830357142857143,0.5922619047619048,0.7738095238095237
44,18,0.7648809523809524,0.75,0.7797619047619048
44,22,0.7544642857142857,0.7053571428571429,0.8035714285714285
44,26,0.7232142857142857,0.8095238095238096,0.6369047619047619
44,28,0.7113095238095237,0.7857142857142857,0.6369047619047619
45,14,0.5610119047619048,0.4791666666666667,0.6428571428571428
45,18,0.6636904761904762,0.5416666666666666,0.7857142857142856
45,22,0.5758928571428571,0.6041666666666666,0.5476190476190476
45,26,0.6130952380952382,0.5833333333333334,0.6428571428571429
45,28,0.6547619047619048,0.5,0.8095238095238094
46,14,0.7038690476190476,0.8839285714285715,0.5238095238095238
46,18,0.6815476190476191,0.8392857142857143,0.5238095238095238
46,22,0.6696428571428572,0.75,0.5892857142857143
46,26,0.65625,0.7261904761904762,0.5863095238095238
46,28,0.6458333333333334,0.7261904761904763,0.5654761904761905
47,14,0.44196428571428575,0.6041666666666666,0.27976190476190477
47,18,0.43303571428571425,0.2261904761904762,0.6398809523809524
47,22,0.49702380952380953,0.23214285714285712,0.7619047619047619
47,26,0.4092261904761905,0.11904761904761903,0.6994047619047619
47,28,0.375,0.14285714285714285,0.6071428571428571
48,14,0.7574404761904763,0.8958333333333334,0.6190476190476191
48,18,0.7232142857142857,0.875,0.5714285714285715
48,22,0.7366071428571429,0.8541666666666666,0.6190476190476191
48,26,0.75,0.8333333333333334,0.6666666666666666
48,28,0.7738095238095238,0.8333333333333334,0.7142857142857143
49,14,0.6339285714285715,0.30952380952380953,0.9583333333333334
49,18,0.7276785714285715,0.4761904761904761,0.9791666666666666
49,22,0.7336309523809524,0.5714285714285714,0.8958333333333334
49,26,0.7782738095238096,0.6190476190476191,0.9375
49,28,0.7648809523809524,0.5714285714285714,0.9583333333333334
50,14,0.5982142857142857,0.625,0.5714285714285714
50,18,0.6711309523809524,0.6041666666666666,0.7380952380952381
50,22,0.6235119047619048,0.6041666666666666,0.6428571428571429
50,26,0.6651785714285715,0.6875,0.6428571428571428
50,28,0.6875,0.7083333333333334,0.6666666666666666
51,14,0.6071428571428571,0.6428571428571429,0.5714285714285714
51,18,0.6190476190476191,0.8095238095238094,0.42857142857142855
51,22,0.6666666666666666,0.9047619047619048,0.42857142857142855
51,26,0.6666666666666666,0.9523809523809524,0.38095238095238093
51,28,0.6428571428571429,0.9523809523809524,0.3333333333333333
52,14,0.8348214285714285,0.7321428571428571,0.9375
52,18,0.8110119047619048,0.8214285714285715,0.8005952380952381
52,22,0.8452380952380952,0.8214285714285715,0.8690476190476191
52,26,0.84375,0.8422619047619048,0.8452380952380952
52,28,0.8214285714285715,0.8214285714285715,0.8214285714285715
53,14,0.4523809523809524,0.47321428571428575,0.43154761904761907
53,18,0.5505952380952381,0.47321428571428575,0.6279761904761905
53,22,0.5967261904761906,0.3601190476190476,0.8333333333333334
53,26,0.5997023809523809,0.4375,0.7619047619047619
53,28,0.4702380952380952,0.4166666666666667,0.5238095238095238
54,14,0.7038690476190478,0.7529761904761904,0.6547619047619048
54,18,0.6904761904761906,0.6815476190476191,0.6994047619047619
54,22,0.7098214285714285,0.6994047619047619,0.7202380952380952
54,26,0.693452380952381,0.6636904761904762,0.7232142857142857
54,28,0.7261904761904763,0.6904761904761904,0.7619047619047619
55,14,0.8973214285714285,0.9523809523809524,0.8422619047619048
55,18,0.9642857142857144,0.9523809523809524,0.9761904761904763
55,22,0.9538690476190478,0.9315476190476191,0.9761904761904763
55,26,0.9538690476190478,0.9315476190476191,0.9761904761904763
55,28,0.9315476190476191,0.9107142857142857,0.9523809523809524
56,14,0.7767857142857143,1.0,0.5535714285714286
56,18,0.8244047619047619,0.9583333333333334,0.6904761904761904
56,22,0.8020833333333334,0.8898809523809524,0.7142857142857143
56,26,0.8139880952380952,0.8660714285714285,0.7619047619047619
56,28,0.8244047619047619,0.9107142857142857,0.7380952380952381
57,14,0.6205357142857143,0.36607142857142855,0.875
57,18,0.6592261904761905,0.6160714285714285,0.7023809523809524
57,22,0.5848214285714286,0.49702380952380953,0.6726190476190476
57,26,0.6086309523809524,0.5416666666666666,0.6755952380952381
57,28,0.6220238095238094,0.6369047619047619,0.6071428571428571
58,14,0.5952380952380952,0.8333333333333334,0.35714285714285715
58,18,0.6592261904761905,0.8928571428571429,0.42559523809523814
58,22,0.6785714285714285,0.8005952380952381,0.5565476190476191
58,26,0.7440476190476191,0.8214285714285715,0.6666666666666666
58,28,0.7767857142857144,0.8214285714285715,0.7321428571428572
59,14,0.5625,0.47321428571428575,0.6517857142857143
59,18,0.5491071428571429,0.42857142857142855,0.6696428571428571
59,22,0.5074404761904762,0.30952380952380953,0.7053571428571429
59,26,0.53125,0.35714285714285715,0.7053571428571429
59,28,0.49702380952380953,0.30952380952380953,0.6845238095238096
60,14,0.6622023809523809,0.5952380952380952,0.7291666666666666
60,18,0.7113095238095238,0.7142857142857143,0.7083333333333334
60,22,0.7991071428571429,0.7857142857142857,0.8125
60,26,0.8005952380952381,0.8095238095238096,0.7916666666666666
60,28,0.7738095238095238,0.7142857142857143,0.8333333333333334
61,14,0.6473214285714285,0.6041666666666666,0.6904761904761904
61,18,0.6026785714285715,0.3958333333333333,0.8095238095238094
61,22,0.6517857142857143,0.5416666666666666,0.7619047619047619
61,26,0.581845238095238,0.5208333333333334,0.6428571428571428
61,28,0.5863095238095238,0.4583333333333333,0.7142857142857143
62,14,0.9479166666666666,0.8958333333333334,1.0
62,18,0.9270833333333334,0.8541666666666666,1.0
62,22,0.9657738095238096,0.9791666666666666,0.9523809523809524
62,26,0.9166666666666666,0.8333333333333334,1.0
62,28,0.9375,0.875,1.0
63,14,0.5104166666666666,0.09226190476190477,0.9285714285714285
63,18,0.5565476190476191,0.38988095238095233,0.7232142857142857
63,22,0.5773809523809524,0.3422619047619047,0.8125
63,26,0.5654761904761905,0.25,0.8809523809523809
63,28,0.5386904761904762,0.125,0.9523809523809524
64,14,0.5238095238095237,0.5714285714285713,0.4761904761904762
64,18,0.5,0.7142857142857143,0.2857142857142857
64,22,0.5357142857142857,0.5952380952380952,0.4761904761904761
64,26,0.5,0.3095238095238095,0.6904761904761904
64,28,0.4761904761904761,0.2857142857142857,0.6666666666666666
65,14,0.5952380952380952,0.7946428571428571,0.3958333333333333
65,18,0.5639880952380952,0.5059523809523809,0.6220238095238095
65,22,0.6011904761904762,0.5892857142857143,0.613095238095238
65,26,0.5788690476190476,0.5684523809523809,0.5892857142857143
65,28,0.49702380952380953,0.4166666666666667,0.5773809523809524
66,14,0.4836309523809524,0.4523809523809524,0.5148809523809524
66,18,0.5014880952380952,0.550595238095238,0.4523809523809524
66,22,0.574404761904762,0.7380952380952381,0.41071428571428575
66,26,0.5758928571428572,0.7619047619047619,0.3898809523809524
66,28,0.5654761904761906,0.7380952380952381,0.39285714285714285
67,14,0.48660714285714285,0.1875,0.7857142857142857
67,18,0.5044642857142857,0.4375,0.5714285714285715
67,22,0.5461309523809524,0.5208333333333334,0.5714285714285714
67,26,0.5386904761904762,0.4583333333333333,0.6190476190476191
67,28,0.5357142857142857,0.5,0.5714285714285715
68,14,0.6235119047619048,0.5922619047619048,0.6547619047619048
68,18,0.6517857142857143,0.6875,0.6160714285714285
68,22,0.5714285714285714,0.5029761904761905,0.6398809523809524
68,26,0.6041666666666666,0.7083333333333334,0.5
68,28,0.5803571428571429,0.7738095238095238,0.38690476190476186
69,14,0.5788690476190476,0.4672619047619048,0.6904761904761904
69,18,0.6145833333333334,0.6041666666666666,0.625
69,22,0.6339285714285715,0.6458333333333334,0.6220238095238095
69,26,0.6502976190476191,0.7202380952380952,0.5803571428571429
69,28,0.6220238095238096,0.7678571428571429,0.4761904761904762
70,14,0.8764880952380952,0.9375,0.8154761904761904
70,18,0.9136904761904763,0.9166666666666666,0.9107142857142857
70,22,0.9255952380952381,0.9166666666666666,0.9345238095238096
70,26,0.9449404761904763,0.9583333333333334,0.9315476190476191
70,28,0.9761904761904763,1.0,0.9523809523809524
71,14,0.8110119047619048,0.6696428571428571,0.9523809523809524
71,18,0.8214285714285715,0.6904761904761904,0.9523809523809524
71,22,0.8333333333333334,0.6904761904761904,0.9761904761904763
71,26,0.8318452380952381,0.7113095238095237,0.9523809523809524
71,28,0.8422619047619048,0.7321428571428571,0.9523809523809524
72,14,0.9761904761904763,1.0,0.9523809523809524
72,18,0.9761904761904763,1.0,0.9523809523809524
72,22,0.9761904761904763,1.0,0.9523809523809524
72,26,0.9761904761904763,1.0,0.9523809523809524
72,28,0.9761904761904763,1.0,0.9523809523809524
73,14,0.7857142857142857,0.6904761904761904,0.8809523809523809
73,18,0.75,0.6428571428571428,0.8571428571428572
73,22,0.8452380952380952,0.8571428571428572,0.8333333333333334
73,26,0.8571428571428572,0.8809523809523809,0.8333333333333334
73,28,0.8333333333333334,0.8571428571428572,0.8095238095238094
74,14,0.4761904761904762,0.35714285714285715,0.5952380952380952
74,18,0.5,0.38095238095238093,0.6190476190476191
74,22,0.5,0.30952380952380953,0.6904761904761904
74,26,0.46428571428571425,0.3333333333333333,0.5952380952380952
74,28,0.5,0.19047619047619047,0.8095238095238094
75,14,0.5877976190476191,0.5714285714285714,0.6041666666666666
75,18,0.59375,0.6666666666666666,0.5208333333333334
75,22,0.5833333333333334,0.6666666666666666,0.5
75,26,0.6473214285714286,0.6904761904761906,0.6041666666666666
75,28,0.6904761904761904,0.7142857142857143,0.6666666666666666
76,14,0.5357142857142857,0.7619047619047619,0.30952380952380953
76,18,0.5,0.6428571428571429,0.35714285714285715
76,22,0.5,0.6190476190476191,0.38095238095238093
76,26,0.5119047619047619,0.738095238095238,0.2857142857142857
76,28,0.5238095238095238,0.7619047619047619,0.2857142857142857
77,14,0.49553571428571425,0.5029761904761905,0.4880952380952381
77,18,0.519345238095238,0.5535714285714285,0.4851190476190476
77,22,0.5089285714285714,0.4851190476190476,0.5327380952380952
77,26,0.4925595238095239,0.38392857142857145,0.6011904761904762
77,28,0.5238095238095238,0.4880952380952381,0.5595238095238095
78,14,0.4538690476190476,0.3005952380952381,0.6071428571428571
78,18,0.4806547619047619,0.38095238095238093,0.5803571428571429
78,22,0.45089285714285715,0.5178571428571428,0.38392857142857145
78,26,0.4985119047619047,0.4970238095238095,0.5
78,28,0.5148809523809524,0.4583333333333333,0.5714285714285715
79,14,0.581845238095238,0.8095238095238094,0.3541666666666667
79,18,0.568452380952381,0.7619047619047619,0.375
79,22,0.6026785714285714,0.8095238095238094,0.3958333333333333
