development_fold,subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
6,6,l2_logistic_regression,0.5684523809523809,0.6875,0.6875,0.33035714285714285,0.35714285714285715,0.5602766798418972,0.5555555555555556,0.7727272727272727,0.34782608695652173,17,5,15,8,45,False,participant,True,False
6,6,l2_logistic_regression,0.5684523809523809,0.6875,0.6875,0.33035714285714285,0.35714285714285715,0.5548654244306418,0.5454545454545454,0.7619047619047619,0.34782608695652173,16,5,15,8,44,True,participant,True,False
7,7,shrinkage_lda,0.6726190476190476,0.7410714285714286,0.7142857142857143,0.5625,0.1785714285714286,0.6729249011857708,0.6666666666666666,0.9545454545454546,0.391304347826087,21,1,14,9,45,False,participant,True,False
7,7,shrinkage_lda,0.6452380952380953,0.6857142857142857,0.6666666666666666,0.5833333333333334,0.10238095238095235,0.6564327485380117,0.6486486486486487,0.9444444444444444,0.3684210526315789,17,1,12,7,37,True,participant,True,False
7,7,l2_logistic_regression,0.6488095238095238,0.6696428571428572,0.7142857142857143,0.5625,0.1517857142857143,0.650197628458498,0.6444444444444445,0.9090909090909091,0.391304347826087,20,2,14,9,45,False,participant,True,False
7,7,l2_logistic_regression,0.6452380952380953,0.6857142857142857,0.6666666666666666,0.5833333333333334,0.10238095238095235,0.6564327485380117,0.6486486486486487,0.9444444444444444,0.3684210526315789,17,1,12,7,37,True,participant,True,False
8,8,shrinkage_lda,0.6875,0.9285714285714286,0.5267857142857143,0.6071428571428572,0.4017857142857143,0.6897233201581028,0.6888888888888889,0.6521739130434783,0.7272727272727273,15,8,6,16,45,False,participant,True,False
8,8,shrinkage_lda,0.6833333333333332,0.9,0.65,0.5,0.4,0.7207792207792207,0.72,0.7142857142857143,0.7272727272727273,10,4,3,8,25,True,participant,True,False
8,8,l2_logistic_regression,0.7351190476190476,0.9285714285714286,0.5267857142857143,0.75,0.4017857142857143,0.7351778656126482,0.7333333333333333,0.6521739130434783,0.8181818181818182,15,8,4,18,45,False,participant,True,False
8,8,l2_logistic_regression,0.7666666666666666,0.9,0.65,0.75,0.25,0.8116883116883117,0.8,0.7142857142857143,0.9090909090909091,10,4,1,10,25,True,participant,True,False
9,9,shrinkage_lda,0.5386904761904763,0.4107142857142857,0.7410714285714286,0.4642857142857143,0.3303571428571429,0.5355731225296443,0.5333333333333333,0.43478260869565216,0.6363636363636364,10,13,8,14,45,False,participant,True,False
9,9,shrinkage_lda,0.5248015873015873,0.369047619047619,0.7410714285714286,0.4642857142857143,0.3720238095238096,0.5324675324675324,0.5348837209302325,0.42857142857142855,0.6363636363636364,9,12,8,14,43,True,participant,True,False
9,9,l2_logistic_regression,0.49404761904761907,0.3482142857142857,0.6696428571428572,0.4642857142857143,0.3214285714285715,0.491106719367589,0.4888888888888889,0.391304347826087,0.5909090909090909,9,14,9,13,45,False,participant,True,False
9,9,l2_logistic_regression,0.5009920634920636,0.369047619047619,0.6696428571428572,0.4642857142857143,0.3005952380952382,0.5097402597402597,0.5116279069767442,0.42857142857142855,0.5909090909090909,9,12,9,13,43,True,participant,True,False
10,10,shrinkage_lda,0.6398809523809524,0.4464285714285714,0.6696428571428572,0.8035714285714286,0.3571428571428572,0.6472332015810276,0.6444444444444445,0.5217391304347826,0.7727272727272727,12,11,5,17,45,False,participant,True,False
10,10,shrinkage_lda,0.6607142857142857,0.3333333333333333,0.8571428571428572,0.7916666666666667,0.523809523809524,0.7173202614379085,0.7142857142857143,0.6111111111111112,0.8235294117647058,11,7,3,14,35,True,participant,True,False
10,10,l2_logistic_regression,0.7053571428571429,0.5178571428571428,0.7321428571428572,0.8660714285714286,0.3482142857142858,0.7124505928853755,0.7111111111111111,0.6521739130434783,0.7727272727272727,15,8,5,17,45,False,participant,True,False
10,10,l2_logistic_regression,0.727579365079365,0.5,0.8285714285714285,0.8541666666666667,0.35416666666666674,0.7712418300653594,0.7714285714285715,0.7777777777777778,0.7647058823529411,14,4,4,13,35,True,participant,True,False
